NPCId,Title,GenericName,InteractOptionDisplayNameOverride,ConversationStateId1,ConversationStateId2,ConversationStateId3,ConversationStateId4,ConversationStateId5,ConversationStateId6,ConversationStateId7,ConversationStateId8,ConversationStateId9,ConversationStateId10,ConversationStateId11,ConversationStateId12,ConversationStateId13,ConversationStateId14,ConversationStateId15,ConversationStateId16,ConversationStateId17,ConversationStateId18,ConversationStateId19,ConversationStateId20
0402a_Magistrate,@0402a_Magistrate_title,@0402a_Magistrate,,0402a_Magistrate_00,0402a_Magistrate_02,0402a_Magistrate_03,0402a_Magistrate_04,0402a_Magistrate_05,0402a_04A_Magistrate_TaskTopic_ReturnStaff,0402a_Magistrate_TaskTopic_ChooseInstrument,0402a_Magistrate_TaskConversation_PlayForTown,0402a_Magistrate_TaskTopic_PlayForTown,,,,,,,,,,,
0403a_HuntsmanLee,@0403a_HuntsmanLee_title,@0403a_HuntsmanLee,,0403a_00_HuntsmanLee,0403a_01_HuntsmanLee,0403a_02_HuntsmanLee,0403a_Huntsman_TaskTopic_DeliverPotions,0403a_01A_HuntsmanLee_TaskTopic_Adiana,,,,,,,,,,,,,,,
0404a_Constable,@0404a_Constable_title,@0404a_Constable,,0404a_Constable_00,0404a_Constable_02,0404a_Constable_03,0404a_Constable_04,0404a_Constable_05,0404a_Constable_TaskTopic_ChooseInstrument,0404a_Constable_TaskConversation_PlayForTown,0404a_Constable_TaskTopic_PlayForTown,0404a_04A_Constable_TaskTopic_ReturnStaff,0404a_04A_Constable_TaskTopic_UseStaff,0404a_04A_Constable_TaskTopic_Rumors,0404a_04A_Constable_TaskTopic_PostRumor,,,,,,,,
0405a_ArtificerPetrowski,@0405a_ArtificerPetrowski_title,@0405a_ArtificerPetrowski,,0405a_00_ArtificerPetrowski,0405a_00_ArtificerPetrowski_01,0405a_00_ArtificerPetrowski_TaskTopic,,,,,,,,,,,,,,,,,
0405a_ArtificerPetrowski_01,@0405a_ArtificerPetrowski_title,@0405a_ArtificerPetrowski,,0405a_01_ArtificerPetrowski_00,0405a_01_ArtificerPetrowski_01,0405a_01_ArtificerPetrowski_01a,0405a_01_ArtificerPetrowski_02,0405a_01_ArtificerPetrowski_03,,,,,,,,,,,,,,,
0405a_ArtificerPetrowski_02,@0405a_ArtificerPetrowski_title,@0405a_ArtificerPetrowski,,0405a_02_ArtificerPetrowski_00,0405a_02_ArtificerPetrowski_01,0405a_02_ArtificerPetrowski_02,0405a_02_ArtificerPetrowski_03,,,,,,,,,,,,,,,,
0407a_Commander,@0407_Commander_title,@0407_Commander,,0407_00_Commander,0407_01_Commander,0407_02_Commander,,,,,,,,,,,,,,,,,
0408a_Alchemist,@0408_Alchemist_title,@0408_Alchemist,,0408_00_Alchemist,0408_01_Alchemist,0408_02_Alchemist,,,,,,,,,,,,,,,,,
0409a_Adjudicator,@0409_Adjudicator_title,@0409_Adjudicator,,0409_00_Adjudicator,0409_01_Adjudicator,0409_02_Adjudicator,,,,,,,,,,,,,,,,,
0410a_BarkeepPolly,@0410a_BarkeepPolly_title,@0410a_BarkeepPolly,,0410a_00_Barkeep,0410a_01_Barkeep,0410a_Barkeep_TaskTopic_SaveBar,0410a_Barkeep_TaskConversation_PlayForTown,0410a_Barkeep_TaskTopic_PlayForTown,,,,,,,,,,,,,,,
0411a_WilliamHeron,@0411a_WilliamHeron_title,@0411a_WilliamHeron,,0411a_00_WilliamHeron,0411a_00_WilliamHeron_01,0411a_00_WilliamHeron_02,0411a_00_WilliamHeron_03,0411a_00_WilliamHeron_04,,,,,,,,,,,,,,,
0411a_WilliamHeron_01,@0411a_WilliamHeron_title,@0411a_WilliamHeron,,0411a_01_WilliamHeron_00,0411a_01_WilliamHeron_01,0411a_01_WilliamHeron_02,0411a_01_WilliamHeron_03,0411a_01_WilliamHeron_04,0411a_01_WilliamHeron_05,,,,,,,,,,,,,,
0422_Innkeep,@0422_Innkeep_title,@0422_Innkeep,,0422_00_Innkeep,,,,,,,,,,,,,,,,,,,
0424_Yeti_WW_NPC,@0424_Yeti_WW_NPC_title,@0424_Yeti_WW_NPC,,0424_00_Yeti_WW_NPC,0424_01_Yeti_WW_NPC,0424_02_Yeti_WW_NPC,0424_03_Yeti_WW_NPC,0424_04_Yeti_WW_NPC,0424_05_Yeti_WW_NPC,,,,,,,,,,,,,,
0428_Jones,@0428_Jones_title,@0428_Jones,,0428_00_Jones,0428_01_Jones,,,,,,,,,,,,,,,,,,
0430_PVPArena,@0430_PVPArena_title,@0430_PVPArena,,0430_00_PVPArena,0430_01_PVPArena,0430_02_PVPArena,,,,,,,,,,,,,,,,,
0435_Announcer,@0435_Announcer_title,@0435_Announcer,,0435_00_Announcer,,,,,,,,,,,,,,,,,,,
0436a_TamraAyad,@0436a_TamraAyad_title,@0436a_TamraAyad,,0436a_00_TamraAyad,0436a_00_TamraAyad_01,0436a_00_TamraAyad_02,,,,,,,,,,,,,,,,,
0436a_TamraAyad_01,@0436a_TamraAyad_title,@0436a_TamraAyad,,0436a_01_TamraAyad_00,0436a_01_TamraAyad_01,0436a_01_TamraAyad_02,,,,,,,,,,,,,,,,,
0437a_FelixLivius,@0437a_FelixLivius_title,@0437a_FelixLivius,,0437a_00_FelixLivius,0437a_00_FelixLivius_01,0437a_00_FelixLivius_02,,,,,,,,,,,,,,,,,
0438a_JacobEvans,@0438a_JacobEvans_title,@0438a_JacobEvans,,0438a_00_JacobEvans,0438a_00_JacobEvans_01,0438a_00_JacobEvans_02,0438a_00_JacobEvans_03,0438a_00_JacobEvans_04,,,,,,,,,,,,,,,
0438a_JacobEvans_01,@0438a_JacobEvans_title,@0438a_JacobEvans,,0438a_01_JacobEvans,,,,,,,,,,,,,,,,,,,
0439a_AnwirHughes,@0439a_AnwirHughes_title,@0439a_AnwirHughes,,0439a_00_AnwirHughes,0439a_00_AnwirHughes_01,,,,,,,,,,,,,,,,,,
0439a_AnwirHughes_01,@0439a_AnwirHughes_title,@0439a_AnwirHughes,,0439a_01_AnwirHughes,0439a_01_AnwirHughes_01,0439a_01_AnwirHughes_02,,,,,,,,,,,,,,,,,
0439a_AnwirHughes_02,@0439a_AnwirHughes_title,@0439a_AnwirHughes,,0439a_02_AnwirHughes,,,,,,,,,,,,,,,,,,,
0440a_AtticusDelphi,@0440a_AtticusDelphi_title,@0440a_AtticusDelphi,,0440a_00_AtticusDelphi,0440a_00_AtticusDelphi_01,0440a_00_AtticusDelphi_02,0440a_00_AtticusDelphi_03,0440a_00_AtticusDelphi_04,0440a_00_AtticusDelphi_05,0440a_00_AtticusDelphi_06,0440a_00_AtticusDelphi_07,0440a_00_AtticusDelphi_TaskTopic_DeliverPotions,0440a_00_AtticusDelphi_TaskTopic_MSQRumors,,,,,,,,,,
0440a_AtticusDelphi_02,@0440a_AtticusDelphi_title_musician,@0440a_AtticusDelphi,,0440a_01_AtticusDelphi,0440a_01_AtticusDelphi_01,0440a_00_AtticusDelphi_TaskTopic_DeliverPotions,0440a_00_AtticusDelphi_TaskTopic_MSQRumors,,,,,,,,,,,,,,,,
0441a_SairaYangandul,@0441a_SairaYangandul_title,@0441a_SairaYangandul,,0441a_00_SairaYangandul,0441a_00_SairaYangandul_01,0441a_00_SairaYangandul_02,0441a_00_SairaYangandul_03,0441a_00_SairaYangandul_04,0441a_SairaYangandul_TaskTopic_EarnAudience_01,0441a_SairaYangandul_TaskTopic_EarnAudience_02,0441a_00_SairaYangandul_TaskTopic,,,,,,,,,,,,
0442a_ConcettaSacco,@0442a_ConcettaSacco_title,@0442a_ConcettaSacco,,0442a_00_ConcettaSacco,0442a_00_ConcettaSacco_02,0442a_00_ConcettaSacco_03,0442a_00_ConcettaSacco_04,0442a_ConcettaSacco_TaskTopic_EarnPatron,0442a_ConcettaSacco_TaskTopic_EarnPatron_02,,,,,,,,,,,,,,
0443a_OuShen,@0443a_OuShen_title,@0443a_OuShen,,0443a_00_OuShen,0443a_00_OuShen_02,0443a_00_OuShen_03,0443a_00_OuShen_04,0443a_OuShen_TaskTopic_EarnPatron,0443a_OuShen_TaskTopic_EarnPatron_02,,,,,,,,,,,,,,
0444a_LostAlchemy,,@0444a_LostAlchemy,@0444a_LostAlchemy_InteractOverride,0444a_00_LostAlchemy,0444a_00_LostAlchemy_01,0444a_00_LostAlchemy_02,,,,,,,,,,,,,,,,,
0445a_RequisitionNote,,@0445a_RequisitionNote,@0445a_RequisitionNote_InteractOverride,0445a_00_RequisitionNote,0445a_00_RequisitionNote01,0445a_00_RequisitionNote_02,,,,,,,,,,,,,,,,,
0446a_AncientScroll,,@0446a_AncientScroll,@0446a_AncientScroll_InteractOverride,0446a_00_AncientScroll,0446a_00_AncientScroll_01,0446a_00_AncientScroll_02,,,,,,,,,,,,,,,,,
0447a_Locket,,@0447a_Locket,@0447a_Locket_InteractOverride,0447a_00_Locket,0447a_00_Locket_01,0447a_00_Locket_02,,,,,,,,,,,,,,,,,
