NPCId,Title,GenericName,ConversationStateId1,ConversationStateId2,ConversationStateId3,ConversationStateId4,ConversationStateId5,ConversationStateId6,ConversationStateId7,ConversationStateId8,ConversationStateId9,ConversationStateId10,ConversationStateId11,ConversationStateId12,ConversationStateId13,ConversationStateId14,ConversationStateId15,ConversationStateId16,ConversationStateId17,ConversationStateId18,ConversationStateId19,ConversationStateId20
1403_Survivalist,@1403_Survivalist_Title,@1403_Survivalist,1403_Survivalist_00,1403_Survivalist_01,1403_Survivalist_02,1403_Survivalist_03,1403_Survivalist_04,,,,,,,,,,,,,,,
1403_SurvivalistA,@1403_Survivalist_Title,@1403_Survivalist,1403_Survivalist_05,1403_Survivalist_06,1403_Survivalist_07,1403_Survivalist_08,1403_Survivalist_09,,,,,,,,,,,,,,,
1407_Commander,,@1407_Commander,1407_Commander_00,1407_Commander_01pre,1407_Commander_01,,,,,,,,,,,,,,,,,
1408_Alchemist,,@1408_Alchemist,1408_Alchemist_00,1408_Alchemist_01pre,1408_Alchemist_01,,,,,,,,,,,,,,,,,
1409_Adjudicator,,@1409_Adjudicator,1409_Adjudicator_00,1409_Adjudicator_01pre,1409_Adjudicator_01,,,,,,,,,,,,,,,,,
1416_Warden,@1416_Warden_Title,@1416_Warden,1416_Warden_00,1416_Warden_01,1416_Warden_02,1416_Warden_03,,,,,,,,,,,,,,,,
1418_Ranger,@1418_Ranger_Title,@1418_Ranger,1418_Ranger_00,1418_Ranger_01,1418_Ranger_02,1418_Ranger_03a,1418_Ranger_03,1418_Ranger_04,1418_Ranger_05,,,,,,,,,,,,,
1419_Ranger,@1419_Ranger_Title,@1419_Ranger,1419_Ranger_00,1419_Ranger_01,,,,,,,,,,,,,,,,,,
1420_Ranger,@1420_Ranger_Title,@1420_Ranger,1420_Ranger_00,1420_Ranger_01,,,,,,,,,,,,,,,,,,
1421_Ranger,@1421_Ranger_Title,@1421_Ranger,1421_Ranger_00,1421_Ranger_01,,,,,,,,,,,,,,,,,,
1412_Watcher,@1412_Watcher_Title,@1412_Watcher,1412_01_INIT,,,,,,,,,,,,,,,,,,,
1413_Watcher,@1413_Watcher_Title,@1413_Watcher,1413_Watcher_00,1413_Watcher_01,1413_Watcher_02,,,,,,,,,,,,,,,,,
1414_Watcher,@1414_Watcher_Title,@1414_Watcher,1414_01_INIT,1414_02_INIT,,,,,,,,,,,,,,,,,,
1415_Watcher,@1415_Watcher_Title,@1415_Watcher,1415_01_INIT,,,,,,,,,,,,,,,,,,,
1417_Warden,@1417_Warden_Title,@1417_Warden,1417_01_INIT,,,,,,,,,,,,,,,,,,,
1422_Innkeep,@1422_Innkeep_Title,@1422_Innkeep,1422_00_Innkeep,,,,,,,,,,,,,,,,,,,
1423_Innkeep,@1423_Innkeep_Title,@1423_Innkeep,1423_00_Innkeep,,,,,,,,,,,,,,,,,,,
1424_Fisher,@1424_Fisher_Title,@1424_Fisher,1424_01_INIT,1424_02_INIT,1424_03_INIT,,,,,,,,,,,,,,,,,
1425_Prospector,,@1425_Prospector,1425_00_Prospector,,,,,,,,,,,,,,,,,,,
