NPCId,Title,GenericName,InteractOptionDisplayNameOverride,ConversationStateId1,ConversationStateId2,ConversationStateId3,ConversationStateId4,ConversationStateId5,ConversationStateId6,ConversationStateId7,ConversationStateId8,ConversationStateId9,ConversationStateId10,ConversationStateId11,ConversationStateId12,ConversationStateId13,ConversationStateId14,ConversationStateId15,ConversationStateId16,ConversationStateId17,ConversationStateId18,ConversationStateId19,ConversationStateId20
99B_Yonas_p1,@99B_Yonas_title,@99B_Yonas,,99B_Yonas_00,99B_Yonas_p1_01,,,,,,,,,,,,,,,,,,
99B_Yonas_p2,@99B_Yonas_title,@99B_Yonas,,99B_Yonas_00,99B_Yonas_p2_01,,,,,,,,,,,,,,,,,,
99B_Yonas_p3,@99B_Yonas_title,@99B_Yonas,,99B_Yonas_00,99B_Yonas_p3_01,99B_Yonas_p3_02,,,,,,,,,,,,,,,,,
99B_Yonas_p4,@99B_Yonas_title,@99B_Yonas,,99B_Yonas_00,,,,,,,,,,,,,,,,,,,
99B_Yonas_p5,@99B_Yonas_title,@99B_Yonas,,99B_Yonas_00,99B_Yonas_p4_01,,,,,,,,,,,,,,,,,,
99B_Yonas_p6,@99B_Yonas_title,@99B_Yonas,,99B_Yonas_00,99B_Yonas_p5_01,99B_Yonas_p5_02,,,,,,,,,,,,,,,,,
99B_Yonas_p7,@99B_Yonas_title,@99B_Yonas,,99B_Yonas_00,99B_Yonas_p6_01,,,,,,,,,,,,,,,,,,
99B_Yonas_p8,@99B_Yonas_title,@99B_Yonas,,99B_Yonas_00,99B_Yonas_p7_01a,99B_Yonas_p7_01,99B_Yonas_p7_02,,,,,,,,,,,,,,,,
99B_Yonas_p9,@99B_Yonas_title,@99B_Yonas,,99B_Yonas_00,99B_Yonas_p8_01,99B_Yonas_p8_02,,,,,,,,,,,,,,,,,
99B_Galahad_p1,@99B_Galahad_title,@99B_Galahad,,99B_Galahad_00,99B_Galahad_p1_01,99B_Galahad_p1_02,,,,,,,,,,,,,,,,,
99B_Galahad_p2,@99B_Galahad_title,@99B_Galahad,,99B_Galahad_00,99B_Galahad_p2_01,99B_Galahad_p2_01a,,,,,,,,,,,,,,,,,
99B_Galahad_p3,@99B_Galahad_title,@99B_Galahad,,99B_Galahad_00,99B_Galahad_p3_02,,,,,,,,,,,,,,,,,,
99B_Galahad_p4,@99B_Galahad_title,@99B_Galahad,,99B_Galahad_00,99B_Galahad_p4_01,99B_Galahad_p4_02,99B_Galahad_p4_03,,,,,,,,,,,,,,,,
99B_Galahad_p5,@99B_Galahad_title,@99B_Galahad,,99B_Galahad_00,99B_Galahad_p5_01,99B_Galahad_p5_02,,,,,,,,,,,,,,,,,
99B_Galahad_p6,@99B_Galahad_title,@99B_Galahad,,99B_Galahad_00,99B_Galahad_p6_01,99B_Galahad_p6_02,99B_Galahad_p6_02a,,,,,,,,,,,,,,,,
99B_Galahad_p7,@99B_Galahad_title,@99B_Galahad,,99B_Galahad_00,99B_Galahad_p7_01,99B_Galahad_p7_02,,,,,,,,,,,,,,,,,
99B_Galahad_p8,@99B_Galahad_title,@99B_Galahad,,99B_Galahad_00,99B_Galahad_p8_01,99C_Galahad_01,99C_Galahad_02,,,,,,,,,,,,,,,,
99B_Pennyfather_00,@99B_Pennyfather_title,@99B_Pennyfather,,99B_Pennyfather_00,99B_Pennyfather_01,99B_Pennyfather_02,99B_Pennyfather_03,99B_Pennyfather_04,99B_Pennyfather_05,99B_Pennyfather_05a,99B_Pennyfather_06,99B_Pennyfather_07,,,,,,,,,,,
99B_Grace_p1,@99B_Grace_title,@99B_Grace,,99B_Grace_00,99B_Grace_p1_01,99B_Grace_p1_02,99B_Grace_p1_03,,,,,,,,,,,,,,,,
99B_Grace_p2,@99B_Grace_title,@99B_Grace,,99B_Grace_00,99B_Grace_p2_01,,,,,,,,,,,,,,,,,,
99B_Sun_p1,@99B_Sun_title,@99B_Sun,,99B_Sun_00,99B_Sun_p1_01,99B_Sun_p1_02,,,,,,,,,,,,,,,,,
99B_Sun_p2,@99B_Sun_title,@99B_Sun,,99B_Sun_00,99B_Sun_p2_01,99B_Sun_p2_02,99B_Sun_p2_03,,,,,,,,,,,,,,,,
99B_Sun_p3,@99B_Sun_title,@99B_Sun,,99B_Sun_00,99B_Sun_p2_03,99B_Sun_p3_01a,99B_Sun_p3_01,99B_Sun_p3_02,,,,,,,,,,,,,,,
99B_Sun_p4,@99B_Sun_title,@99B_Sun,,99B_Sun_00,99B_Sun_p4_01a,99B_Sun_p4_01,99B_Sun_p4_02,99B_Sun_p4_03,,,,,,,,,,,,,,,
99B_MorgenGrave_A,,@99B_MorgenGrave_A,@99B_gravestone_interactoverride,99B_MorgenGrave_A_00,99B_MorgenGrave_A_01,,,,,,,,,,,,,,,,,,
99B_MorgenGrave_B,,@99B_MorgenGrave_B,@99B_gravestone_interactoverride,99B_MorgenGrave_B_00,99B_MorgenGrave_B_01,,,,,,,,,,,,,,,,,,
99B_MorgenGrave_C,,@99B_MorgenGrave_C,@99B_gravestone_interactoverride,99B_MorgenGrave_C_00,99B_MorgenGrave_C_01,,,,,,,,,,,,,,,,,,
