NPCId,Title,GenericName,ConversationStateId1,ConversationStateId2,ConversationStateId3,ConversationStateId4,ConversationStateId5,ConversationStateId6,ConversationStateId7,ConversationStateId8,ConversationStateId9,ConversationStateId10,ConversationStateId11,ConversationStateId12,ConversationStateId13,ConversationStateId14,ConversationStateId15,ConversationStateId16,ConversationStateId17,ConversationStateId18,ConversationStateId19,ConversationStateId20
0823_Fisher,@0823_Fisher_t,@0823_Fisher,0823_00_Fisher,0823_01_Fisher,0823_02_Fisher,,,,,,,,,,,,,,,,,
0802_Magistrate,@0802_Magistrate_t,@0802_Magistrate,0802_00_Magistrate,0802_01_Magistrate,0802_02_Magistrate,0802_03_Magistrate,,,,,,,,,,,,,,,,
0803_Survivalist,@0803_Survivalist_t,@0803_Survivalist,0803_00_Survivalist,0803_01_Survivalist,0803_02_Survivalist,0803_03_Survivalist,,,,,,,,,,,,,,,,
0804_Overseer,@0804_Overseer_t,@0804_Overseer,0804_00_Overseer,0804_01_Overseer,0804_02_Overseer,0804_03_Overseer,,,,,,,,,,,,,,,,
0805_Artificer,@0805_Artificer_t,@0805_Artificer,0805_00_Artificer,0805_01_Artificer,0805_02_Artificer,0805_03_Artificer,0805_04_Artificer,,,,,,,,,,,,,,,
0807_Commander,@0807_Commander_t,@0807_Commander,0807_00_Commander,0807_01pre_Commander,0807_01_Commander,0807_02_Commander,0807_03_Commander,0807_04pre_Commander,0807_04_Commander,0807_05pre_Commander,0807_05_Commander,,,,,,,,,,,
0808_Alchemist,@0808_Alchemist_t,@0808_Alchemist,0808_00_Alchemist,0808_01pre_Alchemist,0808_01_Alchemist,0808_02_Alchemist,0808_03_Alchemist,,,,,,,,,,,,,,,
0809_Adjudicator,@0809_Adjudicator_t,@0809_Adjudicator,0809_00_Adjudicator,0809_01pre_Adjudicator,0809_01_Adjudicator,0809_02_Adjudicator,0809_03_Adjudicator,,,,,,,,,,,,,,,
0810_Barkeep,@0810_Barkeep_t,@0810_Barkeep,0810_00_Barkeep,0810_01_Barkeep,0810_02_Barkeep,,,,,,,,,,,,,,,,,
0811_Stranger,@0811_Stranger_t,@0811_Stranger,0811_00_Stranger,0811_01_Stranger,0811_02_Stranger,,,,,,,,,,,,,,,,,
0824_Innkeep,@0824_Innkeep_t,@0824_Innkeep,0824_00_Innkeep,,,,,,,,,,,,,,,,,,,
0899_Liberator,@0899_Liberator_t,@0899_Liberator,0899_00_Liberator,0899_01_Liberator,,,,,,,,,,,,,,,,,,
