NPCId,Title,GenericName,InteractOptionDisplayNameOverride,ConversationStateId1,ConversationStateId2,ConversationStateId3,ConversationStateId4,ConversationStateId5,ConversationStateId6,ConversationStateId7,ConversationStateId8,ConversationStateId9,ConversationStateId10,ConversationStateId11,ConversationStateId12,ConversationStateId13,ConversationStateId14,ConversationStateId15,ConversationStateId16,ConversationStateId17,ConversationStateId18,ConversationStateId19,ConversationStateId20,Comments
95_s04_Quam_p01,@95_s04_Quam_t,@95_s04_Quam,,95_s04_Quam_p01_c01,95_s04_Quam_p01_c02,,,,,,,,,,,,,,,,,,,braided village headman
95_s04_Mordred_p01,@95_s04_Mordred_unknown_t,@95_s04_Mordred_unknown,,95_s04_Mordred_p01_c01,95_s04_Mordred_p01_c02,,,,,,,,,,,,,,,,,,,outside braided caves
95_s04_Mordred_p02,@95_s04_Mordred_t,@95_s04_Mordred,,95_s04_Mordred_p02_c01,95_s04_Mordred_p02_c02,,,,,,,,,,,,,,,,,,,mage poi cant stop me
95_s04_MordredGuard1_p01,@95_s04_Mordredguard1_t,@95_s04_Mordredguard1,,95_s04_MordredGuard1_p01_c01,,,,,,,,,,,,,,,,,,,,outside braided caves
95_s04_MordredGuard2_p01,@95_s04_Mordredguard2_t,@95_s04_Mordredguard2,,95_s04_MordredGuard2_p01_c01,,,,,,,,,,,,,,,,,,,,outside braided caves
95_s04_Morgaine_p01,@95_s04_Morgaine_t,@95_s04_Morgaine,,95_s04_Morgaine_p01_c01,95_s04_Morgaine_p01_c02,95_s04_Morgaine_p01_c03,,,,,,,,,,,,,,,,,,at mordred cabin
95_s04_Morgaine_p02,@95_s04_Morgaine_t,@95_s04_Morgaine,,95_s04_Morgaine_p02_c01,95_s04_Morgaine_p02_c02,,,,,,,,,,,,,,,,,,,outside ice castle
95_DaichiCamp_p01,@95_s04_Daichi_t2,@95_s04_Daichi,,95_DaichiCamp_p01_c01,95_DaichiCamp_p01_c03,95_DaichiCamp_p01_c02,TMP_95_DaichiCamp_p01_c04,,,,,,,,,,,,,,,,,Camp slice
95_s04_Daichi_p01,@95_s04_Daichi_t,@95_s04_Daichi,,95_s04_Daichi_p01_c01,95_s04_Daichi_p01_c03,95_s04_Daichi_p01_c04,95_s04_Daichi_p01_c02,95_s04_Daichi_p01_c05,,,,,,,,,,,,,,,,in valley
95_s04_Daichi_p01a,@95_s04_Daichi_t,@95_s04_Daichi,,95_s04_Daichi_p01_c01,95_s04_Daichi_p01_c03,95_s04_Daichi_p01_c04,95_s04_Daichi_p01_c02,95_s04_Daichi_p01_c05,,,,,,,,,,,,,,,,in valley
