NPCId,Title,GenericName,InteractOptionDisplayNameOverride,ConversationStateId1,ConversationStateId2,ConversationStateId3,ConversationStateId4,ConversationStateId5,ConversationStateId6,ConversationStateId7,ConversationStateId8,ConversationStateId9,ConversationStateId10,ConversationStateId11,ConversationStateId12,ConversationStateId13,ConversationStateId14,ConversationStateId15,ConversationStateId16,ConversationStateId17,ConversationStateId18,ConversationStateId19,ConversationStateId20
99C_Galahad_A,@99C_Galahad_Title,@99C_Galahad,,99C_Galahad_00,99C_Galahad_01,99C_Galahad_02,99C_Galahad_03,99C_Galahad_04,99C_Galahad_05,99C_Galahad_06,99C_Galahad_07,99C_Galahad_08,,,,,,,,,,,
99C_Galahad_B,@99C_Galahad_Title,@99C_Galahad,,99C_Galahad_00,99C_Galahad_01,99C_Galahad_02,99C_Galahad_03,99C_Galahad_04,99C_Galahad_05,99C_Galahad_06,99C_Galahad_07,99C_Galahad_08,,,,,,,,,,,
99C_Galahad_C,@99C_Galahad_Title,@99C_Galahad,,99C_Galahad_00,99C_Galahad_01,99C_Galahad_02,99C_Galahad_03,99C_Galahad_04,99C_Galahad_05,99C_Galahad_06,99C_Galahad_07,99C_Galahad_08,,,,,,,,,,,
99C_Galahad_D,@99C_Galahad_Title,@99C_Galahad,,99C_Galahad_00,99C_Galahad_01,99C_Galahad_02,99C_Galahad_03,99C_Galahad_04,99C_Galahad_05,99C_Galahad_06,99C_Galahad_07,99C_Galahad_08,,,,,,,,,,,
99C_Galahad_E,@99C_Galahad_Title,@99C_Galahad,,99C_Galahad_00,99C_Galahad_01,99C_Galahad_02,99C_Galahad_03,99C_Galahad_04,99C_Galahad_05,99C_Galahad_06,99C_Galahad_07,99C_Galahad_08,,,,,,,,,,,
99C_Morgaine_A,@99C_Morgaine_Title,@99C_Morgaine,,99C_Morgaine_00,99C_Morgaine_01,99C_Morgaine_02,99C_Morgaine_03,99C_Morgaine_04,99C_Morgaine_05,99C_Morgaine_06,99C_Morgaine_07,99C_Morgaine_08,,,,,,,,,,,
99C_Morgaine_B,@99C_Morgaine_Title,@99C_Morgaine,,99C_Morgaine_00,99C_Morgaine_01,99C_Morgaine_02,99C_Morgaine_03,99C_Morgaine_04,99C_Morgaine_05,99C_Morgaine_06,99C_Morgaine_07,99C_Morgaine_08,,,,,,,,,,,
99C_Morgaine_C,@99C_Morgaine_Title,@99C_Morgaine,,99C_Morgaine_00,99C_Morgaine_01,99C_Morgaine_02,99C_Morgaine_03,99C_Morgaine_04,99C_Morgaine_05,99C_Morgaine_06,99C_Morgaine_07,99C_Morgaine_08,,,,,,,,,,,
99C_Morgaine_D,@99C_Morgaine_Title,@99C_Morgaine,,99C_Morgaine_00,99C_Morgaine_01,99C_Morgaine_02,99C_Morgaine_03,99C_Morgaine_04,99C_Morgaine_05,99C_Morgaine_06,99C_Morgaine_07,99C_Morgaine_08,,,,,,,,,,,
99C_Morgaine_E,@99C_Morgaine_Title,@99C_Morgaine,,99C_Morgaine_00,99C_Morgaine_01,99C_Morgaine_02,99C_Morgaine_03,99C_Morgaine_04,99C_Morgaine_05,99C_Morgaine_06,99C_Morgaine_07,99C_Morgaine_08,,,,,,,,,,,
99C_Grace,@99C_Grace_Title,@99C_Grace,,99C_Grace_00,99C_Grace_01,99C_Grace_02,99C_Grace_03,99C_Grace_04,,,,,,,,,,,,,,,
99C_FritzCromer,@99C_FritzCromer_Title,@99C_FritzCromer,,99C_FritzCromer_00,99C_FritzCromer_01,99C_FritzCromer_02,,,,,,,,,,,,,,,,,
99C_RuxandracelRau,@99C_RuxandracelRau_Title,@99C_RuxandracelRau,,99C_RuxandracelRau_00,99C_RuxandracelRau_01,99C_RuxandracelRau_02,,,,,,,,,,,,,,,,,
99C_BellaRuby,@99C_BellaRuby_Title,@99C_BellaRuby,,99C_BellaRuby_00,99C_BellaRuby_01,99C_BellaRuby_02,99C_BellaRuby_03,,,,,,,,,,,,,,,,
99C_Adiana,@99C_Adiana_Title,@99C_Adiana,,99C_AdianaTheron_00,99C_AdianaTheron_01,99C_AdianaTheron_02,,,,,,,,,,,,,,,,,
