NPCId,Title,GenericName,InteractOptionDisplayNameOverride,ConversationStateId1,ConversationStateId2,ConversationStateId3,ConversationStateId4,ConversationStateId5,ConversationStateId6,ConversationStateId7,ConversationStateId8,ConversationStateId9,ConversationStateId10,ConversationStateId11,ConversationStateId12,ConversationStateId13,ConversationStateId14,ConversationStateId15,ConversationStateId16,ConversationStateId17,ConversationStateId18,ConversationStateId19,ConversationStateId20
1102_Magistrate,@1102_Magistrate_Title,@1102_Magistrate,,1102_01_Magistrate,1102_02_Magistrate,1102_03_Magistrate,1102_04_Magistrate,1102_05_Magistrate,,,,,,,,,,,,,,,
1103_Survivalist,@1103_Survivalist_Title,@1103_Survivalist,,1103_01_Survivalist,,,,,,,,,,,,,,,,,,,
1104_Overseer,@1104_Overseer_Title,@1104_Overseer,,1104_01_Overseer,1104_01a_Overseer,1104_02_Overseer,1104_03_Overseer,,,,,,,,,,,,,,,,
1105_Artificer,@1105_Artificer_Title,@1105_Artificer,,1105_01_Artificer,1105_02_Artificer,1105_03_Artificer,1105_04_Artificer,,,,,,,,,,,,,,,,
1110_Barkeep,@1110_Barkeep_Title,@1110_Barkeep,,1110_01_Barkeep,1110_02_Barkeep,1110_03_Barkeep,,,,,,,,,,,,,,,,,
1111_Stranger,@1111_Stranger_Title,@1111_Stranger,,1111_01_Stranger,1111_02_Stranger,1111_03_Stranger,1111_04_Stranger,1111_05_Stranger,1111_06_Stranger,,,,,,,,,,,,,,
1107_Commander,,@1107_Commander,,1107_00_Commander,1107_01pre_Commander,1107_01_Commander,1107_02_Commander,1107_03_Commander,1107_03_Commander,,,,,,,,,,,,,,
1108_Alchemist,,@1108_Alchemist,,1108_00_Alchemist,1108_01pre_Alchemist,1108_01_Alchemist,1108_02_Alchemist,1108_03_Alchemist,1108_04pre_Alchemist,1108_04_Alchemist,1108_05pre_Alchemist,1108_05_Alchemist,,,,,,,,,,,
1109_Adjudicator,,@1109_Adjudicator,,1109_00_Adjudicator,1109_01_Adjudicator,1109_02_Adjudicator,1109_03_Adjudicator,,,,,,,,,,,,,,,,
1122_Innkeep,@1122_Innkeep_Title,@1122_Innkeep,,1122_00_Innkeep,1122_01_Innkeep,1122_02_Innkeep,,,,,,,,,,,,,,,,,
1123_Fisher,@1123_Fisher_Title,@1123_Fisher,,1123_01_BLANK,1123_02_BLANK,1123_03_BLANK,,,,,,,,,,,,,,,,,
1124_PierreAuguste,@1124_PierreAuguste_Title,@1124_PierreAuguste,,1124_PierreAuguste_Default,1124_PierreAuguste_2,1124_PierreAuguste_3,1124_PierreAuguste_4,,,,,,,,,,,,,,,,
1124_PierreAuguste2,@1124_PierreAuguste2_Title,@1124_PierreAuguste2,,1124_PierreAuguste2_Default,1124_PierreAuguste2_1,,,,,,,,,,,,,,,,,,
1124_Pierre_Note,@1124_Pierre_note_Title,@1124_Pierre_Note,@1124_Override,1124_Pierre_Note_Default,1124_Pierre_Note_1,,,,,,,,,,,,,,,,,,
1125_McKeys,@1125_McKeys_Title,@1125_McKeys,,1125_01_McKeys_Default,1125_02_McKeys,1125_03_McKeys_Final,,,,,,,,,,,,,,,,,
1126_Leilani,@1126_Leilani_Title,@1126_Leilani,,1126_Leilani_Default,1126_Leilani_2,1126_Leilani_3,1126_Leilani_4,1126_Leilani_5,1126_Leilani_6_Final,,,,,,,,,,,,,,
1127_Harunobu,@1127_Harunobu_Title,@1127_Harunobu,,1127_Harunobu_Default,1127_Harunobu_2,1127_Harunobu_3,1127_Harunobu_4,,,,,,,,,,,,,,,,
1127_Harunobu2,@1127_Harunobu2_Title,@1127_Harunobu2,,1127_Harunobu2_Default,1127_Harunobu2_1,1127_Harunobu2_2,,,,,,,,,,,,,,,,,
1128_Lerato,@1128_Lerato_Title,@1128_Lerato,,1128_Lerato_Default,1128_Lerato_2,1128_Lerato_3,,,,,,,,,,,,,,,,,
1128_Lerato2,@1128_Lerato2_Title,@1128_Lerato2,,1128_Lerato2_Default,1128_Lerato2_1,,,,,,,,,,,,,,,,,,
1129_Jaansen,@1129_Jaansen_Title,@1129_Jaansen,,1129_Jaansen_Default,1129_Jaansen_2,1129_Jaansen_3,,,,,,,,,,,,,,,,,
1129_Jaansen2,@1129_Jaansen2_Title,@1129_Jaansen,,1129_Jaansen2_Default,1129_Jaansen2_2,1129_Jaansen2_3,,,,,,,,,,,,,,,,,
1129_Sculpture,,@1129_Sculpture,@1129_Override,1129_Sculpture_Default,1129_Sculpture_1,,,,,,,,,,,,,,,,,,
1129_Jaansen_note,,@1129_Jaansen_note,@1124_Override,1129_Jaansen_note_Default,1129_Jaansen_note_1,,,,,,,,,,,,,,,,,,
