NPCId,Title,GenericName,InteractOptionDisplayNameOverride,ConversationStateId1,ConversationStateId2,ConversationStateId3,ConversationStateId4,ConversationStateId5,ConversationStateId6,ConversationStateId7,ConversationStateId8,ConversationStateId9,ConversationStateId10,ConversationStateId11,ConversationStateId12,ConversationStateId13,ConversationStateId14,ConversationStateId15,ConversationStateId16,ConversationStateId17,ConversationStateId18,ConversationStateId19,ConversationStateId20
13A_Primrose_00,@13A_Primrose_Title,@13A_Primrose,,13A_Primrose_00,13A_Primrose_01,13A_Primrose_02,13A_Primrose_03,13A_Primrose_04,,,,,,,,,,,,,,,
13A_Primrose_01,@13A_Primrose_Title,@13A_Primrose,,13A_Primrose_00,13A_Primrose_01,13A_Primrose_02,13A_Primrose_03,13A_Primrose_04,,,,,,,,,,,,,,,
13A_Primrose_02,@13A_Primrose_Title,@13A_Primrose,,13A_Primrose_00,13A_Primrose_01,13A_Primrose_02,13A_Primrose_03,13A_Primrose_04,,,,,,,,,,,,,,,
13A_Maria_00,@13A_Maria_Title,@13A_Maria,,13A_Maria_00,,,,,,,,,,,,,,,,,,,
13A_Agnes_00,@13A_Agnes_Title,@13A_Agnes,,13A_Agnes_00,,,,,,,,,,,,,,,,,,,
13A_Theuderic_00,@13A_Theuderic_Title,@13A_Theuderic,,13A_Theuderic_00,,,,,,,,,,,,,,,,,,,
13A_Niall_00,@13A_Niall_Title,@13A_Niall,,13A_Niall_00,,,,,,,,,,,,,,,,,,,
13A_Pyro_00,,@13A_Pyro,,13A_Pyro_00,13A_Pyro_01,13A_Pyro_02,13A_Pyro_03,13A_Pyro_04,,,,,,,,,,,,,,,
13A_Pyro_01,,@13A_Pyro,,13A_Pyro_00,13A_Pyro_01,13A_Pyro_02,13A_Pyro_03,13A_Pyro_04,,,,,,,,,,,,,,,
13A_Pyro_02,,@13A_Pyro,,13A_Pyro_00,13A_Pyro_01,13A_Pyro_02,13A_Pyro_03,13A_Pyro_04,,,,,,,,,,,,,,,
13A_MonsterHunter_00,@13A_MonsterHunter_Title,@13A_MonsterHunter,,13A_MonsterHunter_00,13A_MonsterHunter_01,13A_MonsterHunter_02,13A_MonsterHunter_03,13A_MonsterHunter_04,,,,,,,,,,,,,,,
13A_MonsterHunter_01,@13A_MonsterHunter_Title,@13A_MonsterHunter,,13A_MonsterHunter_00,13A_MonsterHunter_01,13A_MonsterHunter_02,13A_MonsterHunter_03,13A_MonsterHunter_04,,,,,,,,,,,,,,,
13A_MonsterHunter_02,@13A_MonsterHunter_Title,@13A_MonsterHunter,,13A_MonsterHunter_00,13A_MonsterHunter_01,13A_MonsterHunter_02,13A_MonsterHunter_03,13A_MonsterHunter_04,,,,,,,,,,,,,,,
13A_MonsterHunter_03,@13A_MonsterHunter_Title,@13A_MonsterHunter,,13A_MonsterHunter_00,13A_MonsterHunter_01,13A_MonsterHunter_02,13A_MonsterHunter_03,13A_MonsterHunter_04,,,,,,,,,,,,,,,
13A_AnimalHunter_00,@13A_AnimalHunter_Title,@13A_AnimalHunter,,13A_AnimalHunter_00,13A_AnimalHunter_01,13A_AnimalHunter_02,13A_AnimalHunter_03,13A_AnimalHunter_04,13A_AnimalHunter_05,,,,,,,,,,,,,,
13A_AnimalHunter_01,@13A_AnimalHunter_Title,@13A_AnimalHunter,,13A_AnimalHunter_00,13A_AnimalHunter_01,13A_AnimalHunter_02,13A_AnimalHunter_03,13A_AnimalHunter_04,13A_AnimalHunter_05,,,,,,,,,,,,,,
