NPCId,Title,GenericName,InteractOptionDisplayNameOverride,ConversationStateId1,ConversationStateId2,ConversationStateId3,ConversationStateId4,ConversationStateId5,ConversationStateId6,ConversationStateId7,ConversationStateId8,ConversationStateId9,ConversationStateId10,ConversationStateId11,ConversationStateId12,ConversationStateId13,ConversationStateId14,ConversationStateId15,ConversationStateId16,ConversationStateId17,ConversationStateId18,ConversationStateId19,ConversationStateId20
C10A_Patricia,@C10A_Patricia_Title,@C10A_Patricia,,C10A_Patricia_00,C10A_Patricia_01,C10A_Patricia_M1_TalkTo,C10A_Patricia_02,,,,,,,,,,,,,,,,
C10A_Grimm,@C10A_Grimm_Title,@C10A_Grimm,,C10A_Grimm_00,C10A_Grimm_01,C10A_Grimm_02,,,,,,,,,,,,,,,,,
C10A_Oxen,@C10A_Oxen_Title,@C10A_Oxen,,C10A_Oxen_00,C10A_Oxen_01,C10A_Oxen_02,,,,,,,,,,,,,,,,,
C10A_Trahern,@C10A_Trahern_Title,@C10A_Trahern,,C10A_Trahern_00,C10A_Trahern_01,C10A_Trahern_02,,,,,,,,,,,,,,,,,
C10A_Wally,@C10A_Wally_Title,@C10A_Wally,,C10A_Wally_00,C10A_Wally_01,C10A_Wally_02,,,,,,,,,,,,,,,,,
C10A_Rowan,@C10A_Rowan_Title,@C10A_Rowan,,C10A_Rowan_00,C10A_Rowan_01,C10A_Rowan_02,,,,,,,,,,,,,,,,,
C10A_Quiggley,@C10A_Quiggley_Title,@C10A_Quiggley,,C10A_Quiggley_00,C10A_Quiggley_01,C10A_Quiggley_02,,,,,,,,,,,,,,,,,
C10A_Fei,@C10A_Fei_Title,@C10A_Fei,,C10A_Fei_00,C10A_Fei_01,C10A_Fei_02,C10A_Fei_04,,,,,,,,,,,,,,,,
C10A_Decima,@C10A_Decima_Title,@C10A_Decima,,C10A_Decima_00,C10A_Decima_01,C10A_Decima_02,,,,,,,,,,,,,,,,,
C10A_Arnold,@C10A_Arnold_Title,@C10A_Arnold,,C10A_Arnold_00,C10A_Arnold_01,C10A_Arnold_02,,,,,,,,,,,,,,,,,
C10A_Shillie,@C10A_Shillie_Title,@C10A_Shillie,,C10A_Shillie_00,C10A_Shillie_01,C10A_Shillie_02,C10A_Shillie_04,,,,,,,,,,,,,,,,
C10A_Rosina,@C10A_Rosina_Title,@C10A_Rosina,,C10A_Rosina_00,C10A_Rosina_01,C10A_Rosina_02,,,,,,,,,,,,,,,,,
C10A_Antonia,@C10A_Antonia_Title,@C10A_Antonia,,C10A_Antonia_00,C10A_Antonia_01,C10A_Antonia_03,,,,,,,,,,,,,,,,,
C10A_Commander,@C10A_Commander_Title,@C10A_Commander,,C10A_Commander_Default,C10A_Commander_00,C10A_Commander_01,C10A_Commander_02,,,,,,,,,,,,,,,,
C10A_Alchemist,@C10A_Alchemist_Title,@C10A_Alchemist,,C10A_Alchemist_Default,C10A_Alchemist_00,C10A_Alchemist_01,C10A_Alchemist_02,,,,,,,,,,,,,,,,
C10A_Adjudicator,@C10A_Adjudicator_Title,@C10A_Adjudicator,,C10A_Adjudicator_Default,C10A_Adjudicator_00,C10A_Adjudicator_01,C10A_Adjudicator_02,,,,,,,,,,,,,,,,
C10A_Plute,@C10A_Plute_Title,@C10A_Plute,,C10A_Plute_00,C10A_Plute_01,C10A_Plute_02,,,,,,,,,,,,,,,,,
C10A_Innkeep,@C10A_Innkeep_Title,@C10A_Innkeep,,C10A_Innkeep_00,,,,,,,,,,,,,,,,,,,
C10A_Nekumanesh,@C10A_Nekumanesh_Title,@C10A_Nekumanesh,,C10A_Nekumanesh_00,C10A_Nekumanesh_01,C10A_Nekumanesh_02,C10A_Nekumanesh_03,C10A_Nekumanesh_04,,,,,,,,,,,,,,,
C10A_Billiam,@C10A_Billiam_Title,@C10A_Billiam,,C10A_Billiam_00,C10A_Billiam_01,C10A_Billiam_02,,,,,,,,,,,,,,,,,
C10A_Bronn,@C10A_Bronn_Title,@C10A_Bronn,,C10A_Bronn_00,C10A_Bronn_01,C10A_Bronn_02,,,,,,,,,,,,,,,,,
C10A_Kasper,@C10A_Kasper_Title,@C10A_Kasper,,C10A_Kasper_00,C10A_Kasper_01,C10A_Kasper_02,,,,,,,,,,,,,,,,,
C10A_Tosch,@C10A_Tosch_Title,@C10A_Tosch,,C10A_Tosch_00,C10A_Tosch_01,C10A_Tosch_02,C10A_Tosch_03,C10A_Tosch_04,C10A_Tosch_05,C10A_Tosch_06,,,,,,,,,,,,,
C10A_Claire,@C10A_Claire_Title,@C10A_Claire,,C10A_Claire_00,C10A_Claire_01,C10A_Claire_03,,,,,,,,,,,,,,,,,
C10A_Table_LightningBottle,@C10A_Table_Fei,@C10A_Table_Generic,,C10A_Table_LightningBottle_00,C10A_Table_LightningBottle_01,,,,,,,,,,,,,,,,,,
C10A_Table_Catnipping,@C10A_Table_Tosch,@C10A_Table_Generic,,C10A_Table_Catnipping_00,C10A_Table_Catnipping_01,,,,,,,,,,,,,,,,,,
C10A_Table_Snaggletooth,@C10A_Table_Tosch,@C10A_Table_Generic,,C10A_Table_Snaggletooth_00,C10A_Table_Snaggletooth_01,,,,,,,,,,,,,,,,,,
C10A_Table_Lionhearted,@C10A_Table_Tosch,@C10A_Table_Generic,,C10A_Table_Lionhearted_00,C10A_Table_Lionhearted_01,,,,,,,,,,,,,,,,,,
C10A_Table_Companion,@C10A_Table_Tosch,@C10A_Table_Generic,,C10A_Table_PerfectCompanion_00,C10A_Table_PerfectCompanion_01,,,,,,,,,,,,,,,,,,
C10A_Table_AnimalInstincts,@C10A_Table_Tosch,@C10A_Table_Generic,,C10A_Table_AnimalInstincts_00,C10A_Table_AnimalInstincts_01,,,,,,,,,,,,,,,,,,
Raid_CutlassKeys00_Perseus_Chapter01,@Raid_CutlassKeys00_Perseus_Title,@Raid_CutlassKeys00_Perseus,,Raid_CutlassKeys00_Perseus_Chapter01,,,,,,,,,,,,,,,,,,,
Raid_CutlassKeys00_Perseus_Chapter02,@Raid_CutlassKeys00_Perseus_Title,@Raid_CutlassKeys00_Perseus,,Raid_CutlassKeys00_Perseus_Chapter02,,,,,,,,,,,,,,,,,,,
Raid_CutlassKeys00_Perseus_Chapter03,@Raid_CutlassKeys00_Perseus_Title,@Raid_CutlassKeys00_Perseus,,Raid_CutlassKeys00_Perseus_Chapter03,,,,,,,,,,,,,,,,,,,
C10A_DoubloonGuard,@C10A_DoubloonGuard_Title,@C10A_DoubloonGuard,,C10A_DoubloonGuard_Default,,,,,,,,,,,,,,,,,,,
C10A_Quiggley_2,@C10A_Quiggley_Title,@C10A_Quiggley,,C10A_Quiggley_00,,,,,,,,,,,,,,,,,,,
Dungeon_CutlassKeys00_Scalleywag_00,@Dungeon_CutlassKeys00_Scalleywag_title,@Dungeon_CutlassKeys00_Scalleywag,,Dungeon_CutlassKeys00_Scalleywag_00,,,,,,,,,,,,,,,,,,,Expedition_CutlassKeys_00
Dungeon_CutlassKeys00_Scalleywag_01,@Dungeon_CutlassKeys00_Scalleywag_title,@Dungeon_CutlassKeys00_Scalleywag,,Dungeon_CutlassKeys00_Scalleywag_01,,,,,,,,,,,,,,,,,,,Expedition_CutlassKeys_00
Dungeon_CutlassKeys00_Mariner_00,@Dungeon_CutlassKeys00_Mariner_title,@Dungeon_CutlassKeys00_Mariner,,Dungeon_CutlassKeys00_Mariner_00,,,,,,,,,,,,,,,,,,,Expedition_CutlassKeys_00
Dungeon_CutlassKeys00_Mariner_01,@Dungeon_CutlassKeys00_Mariner_title,@Dungeon_CutlassKeys00_Mariner,,Dungeon_CutlassKeys00_Mariner_01,,,,,,,,,,,,,,,,,,,Expedition_CutlassKeys_00
