NPCId,Title,GenericName,InteractOptionDisplayNameOverride,ConversationStateId1,ConversationStateId2,ConversationStateId3,ConversationStateId4,ConversationStateId5,ConversationStateId6,ConversationStateId7,ConversationStateId8,ConversationStateId9,ConversationStateId10,ConversationStateId11,ConversationStateId12,ConversationStateId13,ConversationStateId14,ConversationStateId15,ConversationStateId16,ConversationStateId17,ConversationStateId18,ConversationStateId19,ConversationStateId20
99G_Sun_01,@99G_Sun_title,@99G_Sun,,99G_Sun_00,99G_Sun_01,99G_Sun_02,,,,,,,,,,,,,,,,,
99G_Sun_02,@99G_Sun_title,@99G_Sun,,99G_Sun_00,99G_Sun_02,99G_Sun_03,,,,,,,,,,,,,,,,,
99G_Sun_03,@99G_Sun_title,@99G_Sun,,99G_Sun_00a,99G_Sun_03,99G_Sun_04,99G_Sun_05,,,,,,,,,,,,,,,,
99G_Sun_04,@99G_Sun_title,@99G_Sun,,99G_Sun_00b,99G_Sun_06,99G_Sun_06_alt,99G_Sun_07,99G_Sun_08,,,,,,,,,,,,,,,
99G_Yash_01,@99G_Yash_title,@99G_Yash,,99G_Yash_00,99G_Yash_01,99G_Yash_02,,,,,,,,,,,,,,,,,
99G_Yash_02,@99G_Yash_title,@99G_Yash,,99G_Yash_00,99G_Yash_03,99G_Yash_04,,,,,,,,,,,,,,,,,
99G_Yash_03,@99G_Yash_title,@99G_Yash,,99G_Yash_00,99G_Yash_05,99G_Yash_06,,,,,,,,,,,,,,,,,
99G_Yash_04,@99G_Yash_title,@99G_Yash,,99G_Yash_00a,99G_Yash_07,99G_Yash_08,99G_Yash_08_alt,99G_Yash_09,99G_Yash_10,99G_Yash_11,,,,,,,,,,,,,
99G_Grace_01,@99G_Grace_title,@99G_Grace,,99G_Grace_00,99G_Grace_01,99G_Grace_02,,,,,,,,,,,,,,,,,
99G_Grace_02,@99G_Grace_title,@99G_Grace,,99G_Grace_00,99G_Grace_02,99G_Grace_03,99G_Grace_04,,,,,,,,,,,,,,,,
99G_Grace_03,@99G_Grace_title,@99G_Grace,,99G_Grace_00,99G_Grace_04,99G_Grace_05,99G_Grace_06,,,,,,,,,,,,,,,,
99G_Constance_01,@99G_Constance_title,@99G_Constance,,99G_Constance_00,,,,,,,,,,,,,,,,,,,
99G_Eliza_01,@99G_Eliza_title,@99G_Eliza,,99G_Eliza_00,,,,,,,,,,,,,,,,,,,
99G_Samir_01,@99G_Samir_title,@99G_Samir,,99G_Samir_00,,,,,,,,,,,,,,,,,,,
99G_Morgaine_01,@99G_Morgaine_title,@99G_Morgaine,,99G_Morgaine_00,99G_Morgaine_00z,,,,,,,,,,,,,,,,,,
99G_Morgaine_02,@99G_Morgaine_title,@99G_Morgaine,,99G_Morgaine_00,99G_Morgaine_01,99G_Morgaine_02,,,,,,,,,,,,,,,,,
99G_Morgaine_03,@99G_Morgaine_title,@99G_Morgaine,,99G_Morgaine_00a,99G_Morgaine_03,99G_Morgaine_04,,,,,,,,,,,,,,,,,
99G_Morgaine_04,@99G_Morgaine_title,@99G_Morgaine,,99G_Morgaine_00b,99G_Morgaine_04,99G_Morgaine_05,,,,,,,,,,,,,,,,,
99G_Morgaine_05,@99G_Morgaine_title,@99G_Morgaine,,99G_Morgaine_00b,,,,,,,,,,,,,,,,,,,
99G_Morgaine_06,@99G_Morgaine_title,@99G_Morgaine,,99G_Morgaine_00c,99G_Morgaine_06,99G_Morgaine_06_alt,99G_Morgaine_07,99G_Morgaine_08,,,,,,,,,,,,,,,
99G_Russo_01,@99G_Russo_title,@99G_Russo,,99G_Russo_00,99G_Russo_01,99G_Russo_02,99G_Russo_03,,,,,,,,,,,,,,,,
