Index,OldIndex,isForeground,DisplayName,EntitlementId,Image,Color,isEntitlement,isEnabled,Faction,Notes,Intent
1,0,true,FG Red,,,#c31818,false,true,Any,,
2,1,true,FG Orange,,,#ca5711,false,true,Any,,
3,2,true,FG Yellow,,,#d7a819,false,true,Any,,
4,3,true,FG Green,,,#5f9c36,false,true,Any,,
5,4,true,FG Teal,,,#33bbb9,false,true,Any,,
6,5,true,FG Blue,,,#587cbc,false,true,Any,,
7,6,true,FG Deep Blue,,,#2516b6,false,true,Any,,
8,7,true,FG Pink,,,#a74f8f,false,true,Any,,
9,8,true,FG White,,,#eeefed,false,true,Any,,
10,9,true,FG Dark Red,,,#3e141c,false,true,Any,,
11,10,true,FG Dark Orange,,,#b96d24,false,true,Any,,
12,11,true,FG Dark Yellow,,,#5c5545,false,true,Any,,
13,12,true,FG Dark Green,,,#2a4f29,false,true,Any,,
14,13,true,FG Dark Teal,,,#006e5d,false,true,Any,,
15,14,true,FG Dark Blue,,,#004e97,false,true,Any,,
16,15,true,FG Washed Dark Purple,,,#1c3269,false,true,Any,,
17,16,true,FG Dark Pink,,,#321d25,false,true,Any,,
18,17,true,FG Black,,,#222222,false,true,Any,,
19,0,false,Syndicate variant 1,,,#8732d3,false,true,Faction1,,
20,1,false,Syndicate variant 2,,,#6e28ad,false,true,Faction1,,
21,2,false,Syndicate variant 3,,,#551f85,false,true,Faction1,,
22,3,false,Marauder variant 1,,,#149633,false,true,Faction2,,
23,4,false,Marauder variant 2,,,#097122,false,true,Faction2,,
24,5,false,Marauder variant 3,,,#093e16,false,true,Faction2,,
25,6,false,Covenant variant 1,,,#eb9f0d,false,true,Faction3,,
26,7,false,Covenant variant 2,,,#b47c12,false,true,Faction3,,
27,8,false,Covenant variant 3,,,#895f0d,false,true,Faction3,,
28,0,true,@ui_crestforeground_01,,lyshineui/images/crests/foregrounds/icon_crest_1.dds,,false,true,Faction1,,
29,1,true,@ui_crestforeground_02,,lyshineui/images/crests/foregrounds/icon_crest_2.dds,,false,true,Faction1,,
30,2,true,@ui_crestforeground_03,,lyshineui/images/crests/foregrounds/icon_crest_3.dds,,false,true,Faction1,,
31,3,true,@ui_crestforeground_04,,lyshineui/images/crests/foregrounds/icon_crest_4.dds,,false,true,Faction1,,
32,4,true,@ui_crestforeground_05,,lyshineui/images/crests/foregrounds/icon_crest_5.dds,,false,true,Faction1,,
34,6,true,@ui_crestforeground_07,,lyshineui/images/crests/foregrounds/icon_crest_7.dds,,false,true,Faction1,,
35,7,true,@ui_crestforeground_08,icon_crest_8,lyshineui/images/crests/foregrounds/icon_crest_8.dds,,true,true,Any,Wolf's Head,Animal Head
36,8,true,@ui_crestforeground_09,,lyshineui/images/crests/foregrounds/icon_crest_9.dds,,false,true,Faction1,,
37,9,true,@ui_crestforeground_10,,lyshineui/images/crests/foregrounds/icon_crest_10.dds,,false,true,Faction1,,
38,10,true,@ui_crestforeground_11,,lyshineui/images/crests/foregrounds/icon_crest_11.dds,,false,true,Faction1,,
39,11,true,@ui_crestforeground_12,,lyshineui/images/crests/foregrounds/icon_crest_12.dds,,false,true,Faction1,,
40,12,true,@ui_crestforeground_13,,lyshineui/images/crests/foregrounds/icon_crest_13.dds,,false,true,Faction1,,
41,13,true,@ui_crestforeground_14,,lyshineui/images/crests/foregrounds/icon_crest_14.dds,,false,true,Faction1,,
42,14,true,@ui_crestforeground_15,,lyshineui/images/crests/foregrounds/icon_crest_15.dds,,false,true,Faction1,,
43,15,true,@ui_crestforeground_16,,lyshineui/images/crests/foregrounds/icon_crest_16.dds,,false,true,Faction1,,
