DataPointId,Type,Cycle,DungeonId,MutatorLevel,GameEventType,IsPvP,IsWar,IsMajor,IsWin
BrimstoneSands_FastestClear_M_1,DungeonFastestClear,Monthly,BrimstoneSands,1,,,,,
BrimstoneSands_FastestClear_M_2,DungeonFastestClear,Monthly,BrimstoneSands,2,,,,,
BrimstoneSands_FastestClear_Y_1,DungeonFastestClear,Yearly,BrimstoneSands,1,,,,,
BrimstoneSands_FastestClear_Y_2,DungeonFastestClear,Yearly,BrimstoneSands,2,,,,,
FishScoreBest_W,FishScoreBest,Weekly,,,,,,,
FishScoreBest_M,FishScoreBest,Monthly,,,,,,,
FishScoreBest_Y,FishScoreBest,Yearly,,,,,,,
BestFisherman_W,FishScoreSum,Weekly,,,,,,,
BestFisherman_M,FishScoreSum,Monthly,,,,,,,
BestFisherman_Y,FishScoreSum,Yearly,,,,,,,
ProlificFisherman_W,FishTotal,Weekly,,,,,,,
ProlificFisherman_M,FishTotal,Monthly,,,,,,,
ProlificFisherman_Y,FishTotal,Yearly,,,,,,,
FactionPointsPvE_W,FactionPoints,Weekly,,,,NO,,,
FactionPointsPvE_M,FactionPoints,Monthly,,,,NO,,,
FactionPointsPvE_Y,FactionPoints,Yearly,,,,NO,,,
FactionPointsPvP_W,FactionPoints,Weekly,,,,YES,,,
FactionPointsPvP_M,FactionPoints,Monthly,,,,YES,,,
FactionPointsPvP_Y,FactionPoints,Yearly,,,,YES,,,
FactionPoints_W,FactionPoints,Weekly,,,,ANY,,,
FactionPoints_M,FactionPoints,Monthly,,,,ANY,,,
FactionPoints_Y,FactionPoints,Yearly,,,,ANY,,,
BreachesClosed_W1,BreachesClosed,Weekly,,,,,,NO,
BreachesClosed_M1,BreachesClosed,Monthly,,,,,,NO,
BreachesClosed_Y1,BreachesClosed,Yearly,,,,,,NO,
BreachesClosed_W2,BreachesClosed,Weekly,,,,,,YES,
BreachesClosed_M2,BreachesClosed,Monthly,,,,,,YES,
BreachesClosed_Y2,BreachesClosed,Yearly,,,,,,YES,
War_TotalKills_W,TotalKills,Weekly,,,,ANY,YES,,
War_TotalKills_M,TotalKills,Monthly,,,,ANY,YES,,
War_TotalKills_Y,TotalKills,Yearly,,,,ANY,YES,,
Invasion_TotalKills_W,TotalKills,Weekly,,,Invasion,ANY,YES,,
Invasion_TotalKills_M,TotalKills,Monthly,,,Invasion,ANY,YES,,
Invasion_TotalKills_Y,TotalKills,Yearly,,,Invasion,ANY,YES,,
SiegeWarWins_W,SiegeWarWins,Weekly,,,,,,,YES
SiegeWarWins_M,SiegeWarWins,Monthly,,,,,,,YES
SiegeWarWins_Y,SiegeWarWins,Yearly,,,,,,,YES
SiegeWarLoses_W,SiegeWarWins,Weekly,,,,,,,NO
SiegeWarLoses_M,SiegeWarWins,Monthly,,,,,,,NO
SiegeWarLoses_Y,SiegeWarWins,Yearly,,,,,,,NO
