Level,KillExperience,KillCurrency,KillAzoth,QuestExperience,QuestCurrency,QuestAzoth,DarknessMajor,Darkness Minor,WarExperience,WarCurrency,WarAzoth,WarFactionTokens,WarAzothSalt,WarPvpXp,WarFactionReputation,WarTerritoryStanding,KillProgressionCurrency,KillExperienceDungeonBoss,KillCurrencyDungeonBoss,KillExperienceDungeonMiniBoss,KillCurrencyDungeonMiniBoss,SeasonsXp
1,10,310,0,50,1517,0,,,40,3100,250,800,1,1,800,375,1,10,130,10,130,1
2,11,320,0,100,1596,0,,,80,3200,250,800,1,1,800,375,1,11,136,11,136,1
3,12,330,0,100,1680,0,,,120,3300,250,800,1,1,800,375,1,12,142,12,142,1
4,13,340,0,100,1768,0,,,160,3400,250,800,1,1,800,375,1,13,148,13,148,1
5,14,350,0,120,1861,0,,,200,3500,250,800,1,1,800,375,1,14,154,14,154,1
6,15,360,0,130,1958,0,,,240,3600,250,800,1,1,800,375,1,15,160,15,160,1
7,16,370,0,160,2061,0,,,280,3700,250,800,1,1,800,375,1,16,166,16,166,1
8,17,380,0,190,2169,0,,,320,3800,250,800,1,1,800,375,1,17,172,17,172,1
9,18,390,0,230,2283,0,,,360,3900,250,800,1,1,800,375,1,18,178,18,178,1
10,19,400,0,260,2403,0,,,400,4000,250,800,1,1,800,375,1,19,184,19,184,1
11,20,410,0,300,2529,0,,,440,4100,250,800,1,1,800,375,1,20,190,20,190,1
12,21,420,0,310,2662,0,,,480,4200,250,800,1,1,800,375,1,21,196,21,196,1
13,22,430,10,320,2802,10,,,520,4300,250,800,1,1,800,375,1,22,202,22,202,1
14,23,440,10,340,2949,10,,,560,4400,250,800,1,1,800,375,1,23,208,23,208,1
15,24,450,10,350,3104,10,,,600,4500,250,800,1,1,800,375,1,24,214,24,214,1
16,25,460,10,370,3267,10,,,640,4600,250,800,1,1,800,375,1,25,220,25,220,1
17,26,470,10,400,3438,10,,,680,4700,250,800,1,1,800,375,1,26,226,26,226,1
18,27,480,10,430,3618,10,,,720,4800,250,800,1,1,800,375,1,27,232,27,232,1
19,28,490,10,460,3808,10,,,760,4900,250,800,1,1,800,375,1,28,238,28,238,1
20,29,500,10,480,4008,10,,,800,5000,250,800,1,1,800,375,1,29,244,29,244,1
21,30,510,10,510,4218,10,,,840,5100,250,800,1,1,800,375,1,30,250,30,250,1
