DyeItemId,ColorIndex,NameNote,BoolNote
DyeA004,4,PrimeBlue,
DyeA006,6,Gold,
DyeA022,22,AmazonOrange,
DyeA023,23,TwitchPurple,
DyeA024,24,Black,
DyeA025,25,White,
DyeA026,26,Red,
DyeA027,27,Ship Gray,
DyeA028,28,Soft Coal,
DyeA029,29,Blemished pearl,
DyeA030,30,Sublime Bone,
DyeA031,31,Sandalwood,
DyeA032,32,Bleached Cofee,
DyeA033,33,Smoldering Scarlet,
DyeA034,34,Blood,
DyeA035,35,Rouge,
DyeA036,36,Viola,
DyeA037,37,Ageless Bronze,
DyeA038,38,Burnt Sienna,
DyeA039,39,Silt,
DyeA040,40,Blond,
DyeA041,41,Sushi Green,
DyeA042,42,Key Lime,
DyeA043,43,Forest Green,
DyeA044,44,Green Grass,
DyeA045,45,Mantis,
DyeA046,46,Angelic Satin,
DyeA047,47,Tradewind,
DyeA048,48,Hidden Stream,
DyeA049,49,Blued Steel,
DyeA050,50,Supreme Saphire,
DyeA051,51,Fierce Cobalt,
DyeA052,52,Spring Grape,
DyeA053,53,Butterfly Wing,
DyeA054,54,Tranquil Blossom,
DyeA055,55,Deep Velvet,
DyeA056,56,Crushed Berry,
DyeA057,57,Lavender,
DyeA058,58,Silver,
DyeA060,60,Xbox Green,
DyeA061,61,Playstation Blue,
DyeA062,62,PC Red,
DyeB100,100,Frozen Basalt,
DyeB101,101,Crumbled Rock,
DyeB102,102,Dove Gray,
DyeB103,103,Corduroy,
DyeB104,104,Murky Water,
DyeB105,105,Natural Gray,
DyeB106,106,Gunsmoke,
DyeB107,107,Detritus,
DyeB108,108,Saddle Brown,
DyeB109,109,Tarnished Obsidian,
DyeB110,110,Dark Tan,
DyeB111,111,Forest Lichen,
DyeB112,112,Russet Brown,
DyeB113,113,Dust,
DyeB114,114,Delicate Silver,
DyeB115,115,Rough Almond,
DyeB116,116,Copper,
DyeB117,117,Dazzling Coral,
DyeB118,118,Paradise Vermilion,
DyeB119,119,Amaranth,
DyeB120,120,Rose Stone,
DyeB121,121,Field Peach,
DyeB122,122,Sea Clam,
DyeB123,123,Deep Chocolate,
DyeB124,124,Rich Vanilla,
DyeB125,125,Seasoned Leather,
DyeB126,126,Spicy Pepper,
DyeB127,127,Rusty Cream,
DyeB128,128,Medium Carmine,
DyeB129,129,Desert,
DyeB130,130,Sunset Slate,
DyeB131,131,Distorted Amber,
DyeB132,132,Cinnamon,
DyeB133,133,Shadow Moss,
DyeB134,134,Buttered Rum,
DyeB135,135,Raw Sienna,
DyeB136,136,Delicate Sand,
DyeB137,137,Harvest Barley,
DyeB138,138,Grit,
DyeB139,139,Twine,
DyeB140,140,Verdun Green,
DyeB141,141,Swamp Grass,
DyeB142,142,Autumn Moss,
DyeB143,143,Warm Slime,
DyeB144,144,Avocado,
DyeB145,145,Tropical Mist,
DyeB146,146,Tarnished Jade,
DyeB147,147,Pesto,
DyeB148,148,Wedgewood,
DyeB149,149,Smokey Malachite,
DyeB150,150,Viridian Green,
DyeB151,151,Tranquil Willow,
DyeB152,152,Deep Sea Green,
DyeB153,153,Mineral Green,
DyeB154,154,Castle Aquamarine,
DyeB155,155,Soft Cyan,
DyeB156,156,Pale Cobalt,
DyeB157,157,Juniper,
DyeB158,158,Starlight,
DyeB159,159,Fjord,
DyeB160,160,Comet,
DyeB161,161,Aurora Blue,
DyeB162,162,Elderberry,
DyeB163,163,Berry Pit,
DyeB164,164,Coarse Amethyst,
DyeB165,165,Sovereign Purple,
DyeB166,166,Cool Violet,
DyeB167,167,Burnished Lilac,
DyeB168,168,Harsh Violet,
DyeB169,169,Putrid Plum,
DyeB170,170,Daisy Pink,
DyeB171,171,Sublime Velvet,
DyeB172,172,Summer Rasberry,
DyeB173,173,Turquoise Oasis,
DyeB174,174,Cactus Sage,
DyeB175,175,Baked Red Clay,
DyeB176,176,Limoncello,
DyeB177,177,Royal Azalea,
DyeB178,178,Morning Mist,
DyeB179,179,Marauder Greenhorn,
DyeB180,180,Marauder Camouflage Green,
DyeB181,181,Syndicate Violaceous Ink,
DyeB182,182,Syndicate Aged Wine,
DyeB183,183,Covenant Young Fawn,
DyeB184,184,Covenant Illustrious Yellow,
