Name,mat_default,mat_bark,mat_dirt,mat_fabric,mat_glass,mat_grass,mat_metal,mat_mud,mat_rock,mat_rock_wet,mat_sand,mat_sand_wet,mat_thatch,mat_water,mat_water_deep,mat_water_shallow,mat_wood,mat_corruption_core,mat_corruption,mat_holy_shield,mat_flesh,mat_ice
PlaybackFunction,PlayImpactSoundFromPosition,,,,,,,,,,,,,,,,,,,,,
Default,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SpearWood_Wood,Play_Imp_SwordWood_Dirt,Play_Imp_SwordWood_Cloth,Play_Imp_SpearMetal_Stone,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SwordMetal_Metal,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Stone,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_SpearWood_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_IceWall
Default+Crit,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SpearWood_Wood,Play_Imp_SwordWood_Dirt,Play_Imp_SwordWood_Cloth,Play_Imp_SpearMetal_Stone,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SwordMetal_Metal,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Stone,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_SpearWood_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_IceWall
Sword,Play_Imp_SwordMetal_Dirt,Play_Imp_SwordMetal_Wood,Play_Imp_SwordMetal_Dirt,Play_Imp_SwordMetal_Cloth,Play_Imp_SwordMetal_Stone,Play_Imp_SwordMetal_Grass,Play_Imp_SwordMetal_Metal,Play_Imp_SwordMetal_Dirt,Play_Imp_SwordMetal_Stone,Play_Imp_SwordMetal_Stone,Play_Imp_SwordMetal_Sand,Play_Imp_SwordMetal_Sand,Play_Imp_SwordMetal_Dirt,Play_Imp_SwordWood_Water,Play_Imp_SwordWood_Water,Play_Imp_SwordWood_Water,Play_Imp_SwordMetal_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_IceWall
Sword_Fleche,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,Play_Imp_Rapier_Fleche,Play_Imp_SwordMetal_IceWall
Sword+Crit,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SwordMetal_Wood,Play_Imp_SwordMetal_Dirt,Play_Imp_SwordMetal_Cloth,Play_Imp_SwordMetal_Stone,Play_Imp_SwordMetal_Grass,Play_Imp_SwordMetal_Metal,Play_Imp_SwordMetal_Dirt,Play_Imp_SwordMetal_Stone,Play_Imp_SwordMetal_Stone,Play_Imp_SwordMetal_Sand,Play_Imp_SwordMetal_Sand,Play_Imp_SwordMetal_Dirt,Play_Imp_SwordWood_Water,Play_Imp_SwordWood_Water,Play_Imp_SwordWood_Water,Play_Imp_SwordMetal_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_IceWall
Club,Play_Imp_ClubMetal_Dirt,Play_Imp_ClubMetal_Wood,Play_Imp_ClubMetal_Dirt,Play_Imp_PunchUnarmed_Grass,Play_Imp_ClubMetal_Stone,Play_Imp_ClubMetal_Grass,Play_Imp_ClubMetal_Metal,Play_Imp_ClubMetal_Dirt,Play_Imp_ClubMetal_Stone,Play_Imp_ClubMetal_Stone,Play_Imp_ClubMetal_Sand,Play_Imp_ClubMetal_Sand,Play_Imp_ClubMetal_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_ClubMetal_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_IceWall
ClubSpriggan,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_ClubWoodSpriggan_Ground,Play_Imp_Proj_HolyShield,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_IceWall
Axe,Play_Imp_SpearMetal_Dirt,Play_2HAxe_Gather,Play_Imp_SpearMetal_Dirt,Play_Imp_SwordWood_Cloth,Play_2HPickaxe_Gather,Play_Imp_SpearMetal_Dirt,Play_Imp_GreatAxe_Metal,Play_Imp_SpearMetal_Dirt,Play_2HPickaxe_Gather,Play_2HPickaxe_Gather,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_2HAxe_Gather,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Axe_Flesh,Play_Imp_Axe_IceWall
Axe+Crit,Play_Imp_PunchUnarmed_Dirt,Play_2HAxe_Gather,Play_Imp_SpearMetal_Dirt,Play_Imp_SwordWood_Cloth,Play_2HPickaxe_Gather,Play_Imp_SpearMetal_Dirt,Play_Imp_GreatAxe_Metal,Play_Imp_SpearMetal_Dirt,Play_2HPickaxe_Gather,Play_2HPickaxe_Gather,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_2HAxe_Gather,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Axe_Flesh,Play_Imp_Axe_IceWall
