SongId,MusicTitle,Performance,FilterType,NotePattern,SoundBank,Slot01,Slot02,Slot03,Slot04,Slot05,Crowd,Tempo,ScrollSpeed,Duration,HitZone,PerfectZone,DanceTimeline,CompletionGameEvent,TippingDurationMs,HighestRankAchievementId
WaltzEasy,@songtitle_Maudlinbug_Waltz,Easy,Summer,Novice,MXMI_Maudlinbug_Melody,Waltz_Guitar_Part1_Easy,Waltz_Guitar_Part2_Easy,,,,Maudlinbug_Waltz,120,2.5,21.973,0.222222,0.083333,Performance_Dance,SongCompletedEasy,0,MP_Perfect_WaltzEasy
AeternumEasy,@songtitle_Traveling_Aeternum,Easy,DefaultPerformance,Novice,MXMI_Traveling_Aeternum,Aeternum_Guitar_Part1_Easy,Aeternum_Drums_Part1_Easy,Aeternum_URBass_Part1_Easy,,,Traveling_Aeternum,120,2.5,96.863,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_AeternumEasy
AeternumMedium,@songtitle_Traveling_Aeternum,Medium,DefaultPerformance,Skilled,MXMI_Traveling_Aeternum,Aeternum_Guitar_Part1_Medium,Aeternum_Drums_Part1_Medium,Aeternum_URBass_Part1_Medium,,,Traveling_Aeternum,120,2.5,96.863,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_AeternumMedium
AeternumHard,@songtitle_Traveling_Aeternum,Hard,DefaultPerformance,Expert,MXMI_Traveling_Aeternum,Aeternum_Guitar_Part1_Hard,Aeternum_Drums_Part1_Hard,Aeternum_URBass_Part1_Hard,,,Traveling_Aeternum,120,2.5,96.863,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_AeternumHard
WindswardEasy,@songtitle_Windsward_Inn,Easy,DefaultPerformance,Novice,MXMI_Windsward_Inn,Windsward_Guitar_Part1_Easy,Windsward_Mandolin_Part1_Easy,Windsward_URBass_Part1_Easy,Windsward_Drums_Part1_Easy,,Windsward_Inn,105,2.5,51.064,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_WindswardEasy
WindswardMedium,@songtitle_Windsward_Inn,Medium,DefaultPerformance,Skilled,MXMI_Windsward_Inn,Windsward_Guitar_Part1_Medium,Windsward_Mandolin_Part1_Medium,Windsward_URBass_Part1_Medium,Windsward_Drums_Part1_Medium,,Windsward_Inn,105,2.5,51.064,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_WindswardMedium
WindswardHard,@songtitle_Windsward_Inn,Hard,DefaultPerformance,Expert,MXMI_Windsward_Inn,Windsward_Guitar_Part1_Hard,Windsward_Mandolin_Part1_Hard,Windsward_URBass_Part1_Hard,Windsward_Drums_Part1_Hard,,Windsward_Inn,105,2.5,51.064,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_WindswardHard
HoneyEasy,@songtitle_Honey_N_Biscuits,Easy,DefaultPerformance,Novice,MXMI_Honey_N_Biscuits,Honey_Guitar_Part1_Easy,Honey_Mandolin_Part1_Easy,Honey_URBass_Part1_Easy,Honey_Drums_Part1_Easy,,Honey_N_Biscuits,180,2.5,72.042,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_HoneyEasy
HoneyMedium,@songtitle_Honey_N_Biscuits,Medium,DefaultPerformance,Skilled,MXMI_Honey_N_Biscuits,Honey_Guitar_Part1_Medium,Honey_Mandolin_Part1_Medium,Honey_URBass_Part1_Medium,Honey_Drums_Part1_Medium,,Honey_N_Biscuits,180,2.5,72.042,0.222222,0.055556,Performance_Dance,SongCompletedMedium,,MP_Perfect_HoneyMedium
HoneyHard,@songtitle_Honey_N_Biscuits,Hard,DefaultPerformance,Expert,MXMI_Honey_N_Biscuits,Honey_Guitar_Part1_Hard,Honey_Mandolin_Part1_Hard,Honey_URBass_Part1_Hard,Honey_Drums_Part1_Hard,,Honey_N_Biscuits,180,2.5,72.042,0.222222,0.041667,Performance_Dance,SongCompletedHard,,MP_Perfect_HoneyHard
EmbarkEasy,@songtitle_Embark,Easy,DefaultPerformance,Novice,MXMI_Embark,Embark_Guitar_Part1_Easy,,,,,Embark,132,2.5,63.644,0.222222,0.083333,Performance_Dance,SongCompletedEasy,,MP_Perfect_EmbarkEasy
