DungeonTileId,FeatureId,Connections,Rotations,TileSize,Weight,VariationAssetPaths,SupportedRoomTypes
StraightRoom,Catacombs,NS,1,64,,Catacombs/Gameplay/Tiles/tile1_a_gameplay,"EncounterStart,EncounterBoss,EncounterNamedEnemy,EncounterGate,EncounterHazard,Reward"
CornerRoom,Catacombs,ES,3,64,,Catacombs/Gameplay/Tiles/tile2_a_gameplay,"EncounterStart,EncounterBoss,EncounterNamedEnemy,EncounterGate,EncounterHazard,Reward"
ThreeWayRoom,Catacombs,NES,3,64,,Catacombs/Gameplay/Tiles/tile3_a_gameplay,"EncounterStart,EncounterBoss,EncounterNamedEnemy,EncounterGate,EncounterHazard,Reward"
DeadEndRoom,Catacombs,S,3,64,,Catacombs/Gameplay/Tiles/tile4_a_gameplay,"EncounterStart,EncounterBoss,EncounterNamedEnemy,EncounterGate,EncounterHazard,Reward"
FourWayRoom,Catacombs,NESW,0,64,,Catacombs/Gameplay/Tiles/tile5_a_gameplay,"EncounterStart,EncounterBoss,EncounterNamedEnemy,EncounterGate,EncounterHazard,Reward"
StraightHallway,Catacombs,NS,1,64,,"Catacombs/Gameplay/Tiles/tile1_b_gameplay,Catacombs/Gameplay/Tiles/tile1_c_gameplay,Catacombs/Gameplay/Tiles/tile1_ba_gameplay,Catacombs/Gameplay/Tiles/tile1_ca_gameplay","Hallway,EncounterKey"
CornerHallway,Catacombs,ES,3,64,,"Catacombs/Gameplay/Tiles/tile2_b_gameplay,Catacombs/Gameplay/Tiles/tile2_c_gameplay,Catacombs/Gameplay/Tiles/tile2_ba_gameplay,Catacombs/Gameplay/Tiles/tile2_ca_gameplay","Hallway,EncounterKey"
ThreeWayHallway,Catacombs,NES,3,64,,"Catacombs/Gameplay/Tiles/tile3_b_gameplay,Catacombs/Gameplay/Tiles/tile3_c_gameplay,Catacombs/Gameplay/Tiles/tile3_ba_gameplay,Catacombs/Gameplay/Tiles/tile3_ca_gameplay","Hallway,EncounterKey"
DeadEndHallway,Catacombs,S,3,64,,"Catacombs/Gameplay/Tiles/tile4_b_gameplay,Catacombs/Gameplay/Tiles/tile4_c_gameplay,Catacombs/Gameplay/Tiles/tile4_ba_gameplay,Catacombs/Gameplay/Tiles/tile4_ca_gameplay","Hallway,EncounterKey"
FourWayHallway,Catacombs,NESW,0,64,,"Catacombs/Gameplay/Tiles/tile5_b_gameplay,Catacombs/Gameplay/Tiles/tile5_c_gameplay,Catacombs/Gameplay/Tiles/tile5_ba_gameplay,Catacombs/Gameplay/Tiles/tile5_ca_gameplay","Hallway,EncounterKey"
StraightHallway_Parkour,Catacombs,NS,1,64,,Catacombs/Gameplay/Tiles/tile1_d_gameplay,Parkour
CornerHallway_Parkour,Catacombs,ES,3,64,,Catacombs/Gameplay/Tiles/tile2_d_gameplay,Parkour
ThreeWayHallway_Parkour,Catacombs,NES,3,64,,Catacombs/Gameplay/Tiles/tile3_d_gameplay,Parkour
DeadEndHallway_Parkour,Catacombs,S,3,64,,Catacombs/Gameplay/Tiles/tile4_d_gameplay,Parkour
FourWayHallway_Parkour,Catacombs,NESW,0,64,,Catacombs/Gameplay/Tiles/tile5_d_gameplay,Parkour
UTStraightRoom,UnitTesting_Catacombs,NS,1,64,,Catacombs/Gameplay/Tiles/tile1_a_gameplay,"EncounterStart,EncounterBoss,EncounterNamedEnemy,EncounterGate,EncounterHazard,Reward"
UTCornerRoom,UnitTesting_Catacombs,ES,3,64,,Catacombs/Gameplay/Tiles/tile2_a_gameplay,"EncounterStart,EncounterBoss,EncounterNamedEnemy,EncounterGate,EncounterHazard,Reward"
UTThreeWayRoom,UnitTesting_Catacombs,NES,3,64,,Catacombs/Gameplay/Tiles/tile3_a_gameplay,"EncounterStart,EncounterBoss,EncounterNamedEnemy,EncounterGate,EncounterHazard,Reward"
UTDeadEndRoom,UnitTesting_Catacombs,S,3,64,,Catacombs/Gameplay/Tiles/tile4_a_gameplay,"EncounterStart,EncounterBoss,EncounterNamedEnemy,EncounterGate,EncounterHazard,Reward"
UTFourWayRoom,UnitTesting_Catacombs,NESW,0,64,,Catacombs/Gameplay/Tiles/tile5_a_gameplay,"EncounterStart,EncounterBoss,EncounterNamedEnemy,EncounterGate,EncounterHazard,Reward"
UTStraightHallway,UnitTesting_Catacombs,NS,1,64,,"Catacombs/Gameplay/Tiles/tile1_b_gameplay,Catacombs/Gameplay/Tiles/tile1_c_gameplay,Catacombs/Gameplay/Tiles/tile1_ba_gameplay,Catacombs/Gameplay/Tiles/tile1_ca_gameplay","Hallway,EncounterKey"
UTCornerHallway,UnitTesting_Catacombs,ES,3,64,,"Catacombs/Gameplay/Tiles/tile2_b_gameplay,Catacombs/Gameplay/Tiles/tile2_c_gameplay,Catacombs/Gameplay/Tiles/tile2_ba_gameplay,Catacombs/Gameplay/Tiles/tile2_ca_gameplay","Hallway,EncounterKey"
UTThreeWayHallway,UnitTesting_Catacombs,NES,3,64,,"Catacombs/Gameplay/Tiles/tile3_b_gameplay,Catacombs/Gameplay/Tiles/tile3_c_gameplay,Catacombs/Gameplay/Tiles/tile3_ba_gameplay,Catacombs/Gameplay/Tiles/tile3_ca_gameplay","Hallway,EncounterKey"
UTDeadEndHallway,UnitTesting_Catacombs,S,3,64,,"Catacombs/Gameplay/Tiles/tile4_b_gameplay,Catacombs/Gameplay/Tiles/tile4_c_gameplay,Catacombs/Gameplay/Tiles/tile4_ba_gameplay,Catacombs/Gameplay/Tiles/tile4_ca_gameplay","Hallway,EncounterKey"
UTFourWayHallway,UnitTesting_Catacombs,NESW,0,64,,"Catacombs/Gameplay/Tiles/tile5_b_gameplay,Catacombs/Gameplay/Tiles/tile5_c_gameplay,Catacombs/Gameplay/Tiles/tile5_ba_gameplay,Catacombs/Gameplay/Tiles/tile5_ca_gameplay","Hallway,EncounterKey"
UTStraightHallway_Parkour,UnitTesting_Catacombs,NS,1,64,,Catacombs/Gameplay/Tiles/tile1_d_gameplay,Parkour
UTCornerHallway_Parkour,UnitTesting_Catacombs,ES,3,64,,Catacombs/Gameplay/Tiles/tile2_d_gameplay,Parkour
UTThreeWayHallway_Parkour,UnitTesting_Catacombs,NES,3,64,,Catacombs/Gameplay/Tiles/tile3_d_gameplay,Parkour
UTDeadEndHallway_Parkour,UnitTesting_Catacombs,S,3,64,,Catacombs/Gameplay/Tiles/tile4_d_gameplay,Parkour
UTFourWayHallway_Parkour,UnitTesting_Catacombs,NESW,0,64,,Catacombs/Gameplay/Tiles/tile5_d_gameplay,Parkour
