LoreItemId,LoreId
Backstory1Book,BackstoryLore1
Backstory2Book,BackstoryLore2
Backstory3Book,BackstoryLore3
Backstory4Book,BackstoryLore4
Backstory5Book,BackstoryLore5
Backstory6Book,BackstoryLore6
Backstory7Book,BackstoryLore7
Backstory8Book,BackstoryLore8
Backstory9Book,BacktsoryLore9
FTUE_lore1a,DeathandRebirthLore1a
FTUE_lore1b,DeathandRebirthLore1b
FTUE_lore1c,DeathandRebirthLore1c
FTUE_lore1d,DeathandRebirthLore1d
FTUE_lore2,DeathandRebirthLore2
FTUE_lore3,DeathandRebirthLore3
FTUE_lore4a,DeathandRebirthLore4a
FTUE_lore4b,DeathandRebirthLore4b
FTUE_lore4c,DeathandRebirthLore4c
FTUE_lore4d,DeathandRebirthLore4d
FTUE_SealedCommission,SealedCommission
Lore_Arch_AnUntouchedPiano,Arch_AnUntouchedPiano
Lore_Arch_Departure,Arch_Departure
Lore_Arch_Rolfe,Arch_Rolfe
Lore_Arch_TheDigSite,Arch_TheDigSite
Lore_Arch_Excavation,Arch_Excavation
Lore_Arch_AnUnpleasantFind,Arch_AnUnpleasantFind
Lore_Arch_IllTidings,Arch_IllTidings
Lore_Arch_AprilDig,Arch_AprilDig
Lore_Arch_Misfortune,Arch_Misfortune
Lore_Arch_TheObelisks,Arch_TheObelisks
Lore_Arch_GrowingFears,Arch_GrowingFears
Lore_Arch_TheSpire,Arch_TheSpire
Lore_Arch_TheGreatWork,Arch_TheGreatWork
Lore_Arch_AzureFlames,Arch_AzureFlames
Lore_Outpost_LordEveretts,Outpost_LordEveretts
Lore_Outpost_TrueDuncansWatch,Outpost_TrueDuncansWatch
Lore_Outpost_AuroraAeternae,Outpost_AuroraAeternae
Lore_Outpost_FirstLight,Outpost_FirstLight
Lore_Outpost_WeaversStation,Outpost_WeaversStation
Lore_Outpost_WeaversPost,Outpost_WeaversPost
Lore_Outpost_WeaversPeak,Outpost_WeaversPeak
Lore_Outpost_MonarchStation,Outpost_MonarchStation
