MountItemAppearanceID,AutoFlipZAxis,MirrorItem,EnableLight,LightDiffuseMultiplier,LightMaxDistance,LightAttenuationBulbSize,LightColorOverride,LightPositionOverride,LightRotationOverride,EnableParticle,ParticleEffect,ParticleColorOverride,ParticlePositionOverride,ParticleRotationOverride,ParticleScaleOverride,IconPath,HiResIconPath,RightAttachmentPosition,RightAttachmentRotation,RightAttachmentScale,LeftAttachmentPosition,LeftAttachmentRotation,LeftAttachmentScale,Left/On,Right/Off
Mounts_1hKiteShieldWaterloggedSirenS,true,None,false,,,,,,,false,,,,,,,,,,,,,,,
Mounts_BasicShieldSettings,true,None,false,,,,,,,false,,,,,,,,"0.025,0,-0.05","90,15,0","0.9,0.9,0.9","-0.025,0,-0.05","90,15,0","0.9,0.9,0.9",,
Mounts_KiteshieldSettings,,,,,,,,,,,,,,,,,,"0.01,-0.05,0","100,15,180","0.9,0.9,0.9","-0.01,-0.05,0","80,15,0","0.9,0.9,0.9",,
Mounts_TowershieldSettings,,,,,,,,,,,,,,,,,,"0.035,-0.05,0.1","100,15,180","0.8,0.8,0.8","-0.035,-0.05,0.1","80,15,0","0.8,0.8,0.8",,
Mounts_AncientArtifact_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.0,0.0,0.0",,,"0.0,0.0,0.0",,,,
Mounts_Cooking_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.12,0.0,0.0",,,"-0.12,0.0,0.0",,,,
Mounts_FactionFlags_Setting,true,None,false,,,,,,,false,,,,,,,,"0.0675,0.0,0.0","0.0,0.0,0.0",,"-0.0675,0.0,0.0","0.0,0.0,0.0",,,
Mounts_Flags_Setting,false,None,false,,,,,,,false,,,,,,,,"0.0675,0.0,0.0","0.0,0.0,180",,"-0.0675,0.0,0.0","0.0,0.0,180",,,
Mounts_BotanyKit_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.0,0.0,0.0",,,"0.0,0.0,0.0",,,,
Mounts_Fishing_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.0,0.0,0.0",,,"0.0,0.0,0.0",,,,
Mounts_TreasureChest_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.0,0.0,0.0",,,"0.0,0.0,0.0",,,,
Mounts_Blacksmith_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.0,0.0,0.0",,,"0.0,0.0,0.0",,,,
Mounts_Logging_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.0,0.0,0.0",,,"0.0,0.0,0.0",,,,
Mounts_Tome_Setting,true,None,false,,,,,,,false,,,,,,,,"-0.025,0.0,0.0","0,30,0",,"0.025,0.0,0.0","0,30,0",,,
Mounts_CallofTheWilds_Setting,true,None,false,,,,,,,false,,,,,,,,"0.0675,0.0,0.0",,,"-0.0675,0.0,0.0",,,,
Mounts_ClothSack_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.0,0.0,0.0",,,"0.0,0.0,0.0",,,,
Mounts_PowderHorn_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.0,0.0,0.0",,,"0.0,0.0,0.0",,,,
Mounts_PrimalDrum_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.0,0.0,0.0",,"0.9,0.9,0.9","0.0,0.0,0.0",,"0.9,0.9,0.9",,
Mounts_ScrollStack_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.0,0.0,0.0",,,"0.0,0.0,0.0",,,,
Mounts_WineJug_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.0,0.0,0.0",,"0.75,0.75,0.75","0.0,0.0,0.0",,"0.75,0.75,0.75",,
Mounts_Anchor_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.07,-0.05,-0.1",,"0.75,0.75,0.75","-0.07,-0.05,-0.1",,"0.75,0.75,0.75",,
MountAttachmentItem_Skin_Ronin_Fan_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.05,0.0,0.0",,,"-0.05,0.0,0.0",,,,
MountAttachmentItem_Skin_Ronin_Quiver_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.035,-0.1,-0.1","0,0,0","0.9,0.9,0.9","-0.035,-0.1,-0.1","0,0,0","0.9,0.9,0.9",,
MountAttachmentItem_Skin_Ronin_Mask_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.0,0.0,0.0",,,"0.0,0.0,0.0",,,,
MountAttachmentItem_Skin_Reaper_SkullLantern_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.01,-0.05,-0.1","20,0,0",,"-0.01,-0.05,-0.1","20,0,0",,,
MountAttachmentItem_Skin_Reaper_SoulsVials_Setting,false,RightSide,false,,,,,,,false,,,,,,,,"0.035,-0.1,-0.1","0,0,0","0.9,0.9,0.9","-0.035,-0.1,-0.1","0,0,0","0.9,0.9,0.9",,
MountAttachmentItem_Skin_Reaper_RavenShield_Setting,true,None,false,,,,,,,false,,,,,,,,"0.07,0.1,-0.1","20,0,90","0.9,0.9,0.9","-0.07,0.1,-0.1","20,0,90","0.9,0.9,0.9",,
MountAttachmentItem_Skin_DarkAcademy_BearTrap_Setting,true,RightSide,false,,,,,,,false,,,,,,,,"0.02,0.0,0.0","10,-20,90","0.9,0.9,0.9","-0.02,0.0,0.0","10,20,90","0.9,0.9,0.9",,
MountAttachmentItem_Skin_DarkAcademy_Sextant_Setting,true,RightSide,false,,,,,,,false,,,,,,,,"0.04,0.0,0.05","20,-20,90","0.9,0.9,0.9","-0.04,0.0,0.05","20,20,90","0.9,0.9,0.9",,
MountAttachmentItem_Skin_DarkAcademy_SkullBear_Setting,true,None,false,,,,,,,false,,,,,,,,"0.0,0.0,0.1","0,-10,90","0.9,0.9,0.9","0.0,0.0,0.1","0,10,90","0.9,0.9,0.9",,
