ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
95_s04_Morgaine_p01_c01,Linear_Objective,true,@95_s04_01_SearchRing_Morgaine_p01_DefaultDialogue_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95_s04_Morgaine_p01_c02,Linear_Objective,false,@95_s04_01_SearchRing_Talk_Morgaine_Cabin_greet,,,,,,95_s04_01_SearchRing,95_s04_01_Talk_Morgaine_Cabin,,,,,,,,,,,Topic_95_s04_01_Talk_Morgaine_Cabin,,,,,,,,,,,,
95_s04_Morgaine_p01_c03,Linear_Objective,false,@95_s04_07_WrapFrost_Talk_Morgaine_MordredFrozen_greet,,,,,,95_s04_07_WrapFrost,95_s04_07_Talk_Morgaine_MordredFrozen,,,,,,,,,,,Topic_95_s04_07_Talk_Morgaine_MordredFrozen,,,,,,,,,,,,
95_s04_Morgaine_p02_c01,Linear_Objective,true,@95_s04_03_EnterCastle_Morgaine_p02_DefaultDialogue_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95_s04_Morgaine_p02_c02,Linear_Objective,false,@95_s04_03_EnterCastle_Talk_Morgaine_IceResearch_greet,,,,,,95_s04_03_EnterCastle,95_s04_03_Talk_Morgaine_IceResearch,,,,,,,,,,,Topic_95_s04_03_Talk_Morgaine_IceResearch,,,,,,,,,,,,
95_s04_Quam_p01_c01,Linear_Objective,true,@95_s04_01_SearchRing_Quam_p01_DefaultDialogue_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95_s04_Quam_p01_c02,Linear_Objective,false,@95_s04_01_SearchRing_Talk_Quam_Varang_greet,,,,,,95_s04_01_SearchRing,95_s04_01_Talk_Quam_Varang,,,,,,,,,,,Topic_95_s04_01_Talk_Quam_Varang,,,,,,,,,,,,
95_s04_Mordred_p01_c01,Linear_Objective,true,@95_s04_01_SearchRing_Mordred_p01_DefaultDialogue_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95_s04_Mordred_p01_c02,Linear_Objective,false,@95_s04_01_SearchRing_Talk_Mordred_Haughty_greet,,,,,,95_s04_01_SearchRing,95_s04_01_Talk_Mordred_Haughty,,,,,,,,,,,Topic_95_s04_01_Talk_Mordred_Haughty,,,,,,,,,,,,
95_s04_Mordred_p02_c01,Linear_Objective,true,@95_s04_04_FightMage_Mordred_p02_DefaultDialogue_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95_s04_Mordred_p02_c02,Linear_Objective,false,@95_s04_04_FightMage_Talk_Mordred_CantStopMe_greet,,,,,,95_s04_04_FightMage,95_s04_04_Talk_Mordred_CantStopMe,,,,,,,,,,,Topic_95_s04_04_Talk_Mordred_CantStopMe,,,,,,,,,,,,
95_s04_MordredGuard1_p01_c01,Linear_Objective,true,@95_s04_01_SearchRing_MordredGuard1_p01_DefaultDialogue_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95_s04_MordredGuard2_p01_c01,Linear_Objective,true,@95_s04_01_SearchRing_MordredGuard2_p01_DefaultDialogue_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95_DaichiCamp_p01_c01,Linear_Objective,true,@95_s04_02_GetDaichi_DaichiCamp_p01_DefaultDialogue_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95_DaichiCamp_p01_c03,Linear_Objective,false,@95_s04_DaichiCamp_p01_DefaultDialogue_02,,,,,DA_95_s04_06_PlayerDefeatedMordred,,,,,,,,,,,,,,,,,,,,,,,,,
95_DaichiCamp_p01_c02,Linear_Objective,false,@95_s04_02_GetDaichi_Talk_Daichi_onboarded_greet,,,,,,95_s04_02_GetDaichi,95_s04_02_Talk_Daichi_onboarded,,,,,,,,,,,Topic_95_s04_02_Talk_Daichi_onboarded,,,,,,,,,,,,
TMP_95_DaichiCamp_p01_c04,Linear_Objective,false,@95_s04_07_WrapFrost_Talk_Daichi_DefeatedMordred_greet,,,,,,95_s04_07_WrapFrost,95_s04_07_Talk_Daichi_DefeatedMordred,,,,,,,,,,,Topic_95_s04_07_Talk_Daichi_DefeatedMordred,,,,,,,,,,,,
95_s04_Daichi_p01_c01,Linear_Objective,true,@95_s04_02_GetDaichi_Daichi_p01_DefaultDialogue_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95_s04_Daichi_p01_c03,Linear_Objective,false,@95_s04_02_GetDaichi_Daichi_p01_DefaultDialogue_02,,,,,DA_95_s04_Daichi_DiscussedEnenra,,,,,,,,,,,,,,,,,,,,,,,,,
95_s04_Daichi_p01_c04,Linear_Objective,false,@95_s04_02_GetDaichi_Daichi_p01_DefaultDialogue_01,,,,,95_s04_02_SolvedBonfirePuzzle,,,,,,,,,,,,,,,,,,,,,,,,,
95_s04_Daichi_p01_c02,Linear_Objective,false,@95_s04_02_GetDaichi_Talk_Daichi_Enenra_greet,,,,,,95_s04_02_GetDaichi,95_s04_02_Talk_Daichi_Enenra,,,,,,,,,,,Topic_95_s04_02_Talk_Daichi_Enenra,,,,,,,,,,,,
95_s04_Daichi_p01_c05,Linear_Objective,false,@95_s04_02_GetDaichi_Talk_Daichi_sealed_greet,,,,,,95_s04_02_GetDaichi,95_s04_02_Talk_Daichi_sealed,,,,,,,,,,,Topic_95_s04_02_Talk_Daichi_sealed,,,,,,,,,,,,
