ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,Comment,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
99G_Sun_00,Linear_Objective,true,@99G_Sun_Greet_PlantBombs_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Sun_01,Linear_Objective,false,@99G_MSQ06_ActivateCrystals_complete,,,,,99G_MSQ_05,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Sun_02,Linear_Objective,false,@99G_MSQ07_PlantBombs_Sun_Start_Greet,,,,,99G_MSQ_06,,,,99G_MSQ_SM_PlantBombs,,,,,,,,,,,,,,,,,,,,,,
99G_Sun_03,Linear_Objective,false,@99G_MSQ07_PlantBombs_Sun_TalkToA_Start_Greet,,,,,99G_MSQ_06,99G_MSQ_SM_PlantBombs,99G_MSQ_SM_PlantBombs_TalkToSun,,,,,,,,,,,,99G_PlantBombs_Sun_TalkTo_01,,,,,,,,,,,,
99G_Sun_04,Linear_Objective,false,@99G_MSQ07_PlantBombs_Sun_TalkToB_Start_Greet,,,,,99G_MSQ_06,99G_MSQ_SM_PlantBombs,99G_MSQ_SM_PlantBombs_TalkToSun2,,,,,,,,,,,,99G_PlantBombs_Sun_TalkTo_02,,,,,,,,,,,,
99G_Sun_00a,Linear_Objective,true,@99G_Sun_Greet_PlantBombs_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Sun_05,Linear_Objective,false,@99G_Sun_Greet_PlantBombs_01,,,,,99G_MSQ_07,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Sun_06,Linear_Objective,false,@99G_MSQ09_PrepareWarfare_Sun_TalkTo_Start_Greet,,,,,99G_MSQ_08,99G_MSQ_SM_PrepareWarfare,99G_MSQ_SM_PrepareWarfare_TalkToSun,,,,,,,,,,,,99G_PrepareWarfare_Sun_TalkTo_01,,,,,,,,,,,,
99G_Sun_06_alt,Linear_Objective,false,@99G_MSQ09_PrepareWarfare_Sun_TalkTo_Start_Greet,,,,,99G_MSQ_08,99G_MSQ_SM_PrepareWarfare_alt,99G_MSQ_SM_PrepareWarfare_TalkToSun,,,,,,,,,,,,99G_PrepareWarfare_Sun_TalkTo_01,,,,,,,,,,,,
99G_Sun_00b,Linear_Objective,true,@99G_Sun_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
