ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
99C_Galahad_00,Linear_Objective,true,@99C_P1_Galahad_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99C_Galahad_01,Linear_Objective,false,@99C_P1_Galahad_01,,,,99B_MSQ_11,,,99C_MSQ_01_Periville,,,,,,,,,,,,,,,,,,,,,,
99C_Galahad_02,Linear_Objective,false,@99C_P2_Galahad_02,,,,99C_MSQ_01,,,99C_MSQ_02_Karburg,,,,,,,,,,,,,,,,,,,,,,
99C_Galahad_03,Linear_Objective,false,@99C_P2_Galahad_03,,,,99C_MSQ_02,,,99C_MSQ_03_AncientBridge,,,,,,,,,,,,,,,,,,,,,,
99C_Galahad_04,Linear_Objective,false,@99C_P3_Galahad_04,,,,99C_MSQ_03,,,99C_MSQ_04_Settlement01,,,,,,,,,,,,,,,,,,,,,,
99C_Galahad_05,Linear_Objective,false,@99C_P4_Galahad_05,,,,99C_MSQ_05,,,99C_MSQ_06_WitchMagic,,,,,,,,,,,,,,,,,,,,,,
99C_Galahad_06,Linear_Objective,false,@99C_P4_Galahad_06,,,,99C_MSQ_06,,,99C_MSQ_07_DestroyBarrier,,,,,,,,,,,,,,,,,,,,,,
99C_Galahad_07,Linear_Objective,false,@99C_P3_Galahad_07,,,,99C_MSQ_07,99C_MSQ_08_Settlement02,99C_MSQ_08_Settlement02_talk_Galahad,,,,,,,,,,,99C_MSQ_08_Galahad_Convince,,,,,,,,,,,,
99C_Galahad_08,Linear_Objective,false,@99C_P3_Galahad_08,,,,99C_MSQ_08,,,,,,,,,,,,,,,,,,,,,,,,,
99C_Morgaine_00,Linear_Objective,true,@99C_P1_Morgaine_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99C_Morgaine_01,Linear_Objective,false,@99C_P1_Morgaine_01,,,,99C_MSQ_04,99C_MSQ_05_FindMorgaine,99C_MSQ_05_FindMorgaine_talk_Morgaine,,,,,,,,,,,99C_MSQ_05_Morgaine_CorpseCrone,,,,,,,,,,,,
99C_Morgaine_02,Linear_Objective,false,@99C_P1_Morgaine_02,,,,99C_MSQ_06,99C_MSQ_07_DestroyBarrier,99C_MSQ_07_DestroyBarrier_talk_Morgaine,,,,,,,,,,,99C_MSQ_07_Morgaine_Vision,,,,,,,,,,,,
