ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,RequiredFaction,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
C10A_Patricia_00,Linear_Objective,true,@C10A_Patricia_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Patricia_01,Linear_Objective,false,@C10A_Patricia_01,,65,,,,C10A_M1_CutlassKeys,,,,,,,,,,,,,,,,,,,,,,
C10A_Patricia_M1_TalkTo,Linear_Objective,false,@C10A_Patricia_TalkTo,,,,C10A_M1_CutlassKeys,C10A_M1_Container_3,,,,,,,,,,,C10A_Patricia_M1,,,,,,,,,,,,
C10A_Patricia_02,Linear_Objective,false,@C10A_Patricia_02,,,C10A_M1,,,,,,,,,,,,,C10A_Patricia_PvP,,,,,,,,,,,,
C10A_Grimm_00,Linear_Objective,true,@C10A_Grimm_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Grimm_01,Linear_Objective,false,@C10A_Grimm_01,,65,C10A_M1_MetPatricia,,,C10A_M2_CursedDoubloons,,,,,,,,,,,,,,,,,,,,,,
C10A_Grimm_02,Linear_Objective,false,@C10A_Grimm_02,,,C10A_M2,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Oxen_00,Linear_Objective,true,@C10A_Oxen_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Oxen_01,Linear_Objective,false,@C10A_Oxen_01,,65,C10A_M1_MetPatricia,,,C10A_M3_MedusaRaidVector,,,,,,,,,,,,,,,,,,,,,,
C10A_Oxen_02,Linear_Objective,false,@C10A_Oxen_02,,,C10A_M3,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Oxen_03,Linear_Objective,false,@C10A_Oxen_03,,,C10A_M4,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Trahern_00,Linear_Objective,true,@1039_Druid_00_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Trahern_01,Linear_Objective,false,@1039_Druid_01_DefaultDialog,,65,C10A_M3,,,C10A_M4_MedusaRaid,,,,,,,,,,,,,,,,,,,,,,
C10A_Trahern_02,Linear_Objective,false,@1039_Druid_02_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Wally_00,Linear_Objective,true,@C10A_Wally_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Wally_01,Linear_Objective,false,@C10A_Wally_01,,65,,,,C10A_M5_AdmiralBlackpowder,,,,,,,,,,,,,,,,,,,,,,
C10A_Wally_02,Linear_Objective,false,@C10A_Wally_02,,,C10A_M5,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Rowan_00,Linear_Objective,true,@C10A_Rowan_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Rowan_01,Linear_Objective,false,@C10A_Rowan_01,,65,,,,C10A_M6_MysteriesOfDeep,,,,,,,,,,,,,,,,,,,,,,
C10A_Rowan_02,Linear_Objective,false,@C10A_Rowan_02,,,C10A_M6,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Quiggley_00,Linear_Objective,true,@C10A_Quiggley_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Quiggley_01,Linear_Objective,false,@C10A_Quiggley_01,,60,,,,C10A_M7_CleansingTreasure,,,,,,,,,,,,,,,,,,,,,,
C10A_Quiggley_02,Linear_Objective,false,@C10A_Quiggley_01,,,C10A_M7,,,C10A_M7R_CleansingTreasure,,,,,,,,,,,,,,,,,,,,,,
C10A_Plute_00,Linear_Objective,true,@C10A_Plute_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Plute_01,Linear_Objective,false,@C10A_Plute_01,,65,,,,C10A_S1_SeadogBrew,,,,,,,,,,,,,,,,,,,,,,
C10A_Plute_02,Linear_Objective,false,@C10A_Plute_02,,65,C10A_S1,,,C10A_S1R_SeadogBrew,,,,,,,,,,,,,,,,,,,,,,
C10A_Shillie_00,Linear_Objective,true,@C10A_Shillie_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Shillie_01,Linear_Objective,false,@C10A_Shillie_01,,65,,,,C10A_S2_AncientWonders,,,,,,,,,,,,,,,,,,,,,,
C10A_Shillie_02,Linear_Objective,false,@C10A_Shillie_02,,65,C10A_S2,,,C10A_S3_AeternumTriangle,,,,,,,,,,,,,,,,,,,,,,
C10A_Shillie_03,Linear_Objective,false,@C10A_Shillie_03,,65,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Shillie_04,Linear_Objective,false,@C10A_Shillie_04,,65,C10A_S3,,,C10A_S3R_AeternumTriangle,,,,,,,,,,,,,,,,,,,,,,
C10A_Antonia_00,Linear_Objective,true,@C10A_Antonia_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Antonia_01,Linear_Objective,false,@C10A_Antonia_01,,65,,,,C10A_S4_ExplosiveProspecting,,,,,,,,,,,,,,,,,,,,,,
C10A_Antonia_02,Linear_Objective,false,@C10A_Antonia_02,,65,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Antonia_03,Linear_Objective,false,@C10A_Antonia_02,,65,C10A_S4,,,C10A_S4R_ExplosiveProspecting,,,,,,,,,,,,,,,,,,,,,,
C10A_Fei_00,Linear_Objective,true,@C10A_Fei_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Fei_01,Linear_Objective,false,@C10A_Fei_01,,65,C10A_S4,,,C10A_S5_LightningBottle,,,,,,,,,,,,,,,,,,,,,,
C10A_Fei_02,Linear_Objective,false,@C10A_Fei_02,,65,C10A_S5,,,C10A_S6_LightningBottleTest,,,,,,,,,,,,,,,,,,,,,,
C10A_Fei_03,Linear_Objective,false,@C10A_Fei_03,,65,C10A_S6,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Fei_04,Linear_Objective,false,@C10A_Fei_04,,65,C10A_S6,,,C10A_S6R_LightningBottleTest,,,,,,,,,,,,,,,,,,,,,,
C10A_Decima_00,Linear_Objective,true,@C10A_Decima_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Decima_01,Linear_Objective,false,@C10A_Decima_01,,65,,,,C10A_Q6_Citadel,,,,,,,,,,,,,,,,,,,,,,
C10A_Decima_02,Linear_Objective,false,@C10A_Decima_02,,65,C10A_Q6,,,C10A_Q6R_Citadel,,,,,,,,,,,,,,,,,,,,,,
C10A_Arnold_00,Linear_Objective,true,@C10A_Arnold_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Arnold_01,Linear_Objective,false,@C10A_Arnold_01,,65,,,,C10A_Q1_Build,,,,,,,,,,,,,,,,,,,,,,
C10A_Arnold_02,Linear_Objective,false,@C10A_Arnold_02,,65,C10A_Q1,,,C10A_Q1R_Build,,,,,,,,,,,,,,,,,,,,,,
C10A_Tosch_00,Linear_Objective,true,@C10A_Tosch_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Tosch_01,Linear_Objective,false,@C10A_Tosch_01,,65,,,,C10A_S7_AnimalInstincts,,,,,,,,,,,,,,,,,,,,,,
C10A_Tosch_02,Linear_Objective,false,@C10A_Tosch_02,,65,C10A_S7,,,C10A_S8_SnaggleTooth,,,,,,,,,,,,,,,,,,,,,,
C10A_Tosch_03,Linear_Objective,false,@C10A_Tosch_03,,65,C10A_S8,,,C10A_S9_Catnipping,,,,,,,,,,,,,,,,,,,,,,
C10A_Tosch_04,Linear_Objective,false,@C10A_Tosch_04,,65,C10A_S9,,,C10A_S10_TamingTheLionhearted,,,,,,,,,,,,,,,,,,,,,,
C10A_Tosch_05,Linear_Objective,false,@C10A_Tosch_05,,65,C10A_S10,,,C10A_S11_PerfectCompanion,,,,,,,,,,,,,,,,,,,,,,
C10A_Tosch_06,Linear_Objective,false,@C10A_Tosch_06,,65,C10A_S11,,,C10A_S11R_PerfectCompanion,,,,,,,,,,,,,,,,,,,,,,
C10A_Nekumanesh_00,Linear_Objective,true,@C10A_Nekumanesh_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10A_Nekumanesh_01,Linear_Objective,false,@C10A_Nekumanesh_01,,65,,,,C10A_S12_DisturbingSilence,,,,,,,,,,,,,,,,,,,,,,
