ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredLevel,RequiredProgression,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,Comments,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
1601_00_Gideon,Linear_Objective,true,@NPC_Default_Dialogue_1601_00_Gideon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601_01_Gideon,Linear_Objective,false,@NPC_Default_Dialogue_1601_01_Gideon,,,,,16_BSMSQ_09,,,,1601_0101_cursedcenturies,,,,,,,,,,,,,,,,,,,,,,
1601_02_Gideon,Linear_Objective,false,@NPC_Default_Dialogue_1601_02_Gideon,,,,,16_Quest_16,,,,,,,,,,,,,,,,,,,,,,,,,,
1601_03_Gideon,Linear_Objective,false,@1625_0903_thecoronation_TalkTo_Gideon,,,,,,1625_0903_thecoronation,1625_0903_d_03_container_talkto,,,,,,,,,,,,,,,,,,,,,,,,
1602_00_Crassus,Linear_Objective,true,@NPC_Default_Dialogue_1602_00_Crassus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602_00a_Crassus,Linear_Objective,false,@NPC_Default_Dialogue_1602_00_Crassus,,,,,16_Quest_15,,,,1613_0501_legendrestored,,,,,,,,,,,,,,,,,,,,,,
1602_01_Crassus,Linear_Objective,false,@NPC_Default_Dialogue_1602_01_Crassus,,,,,16_Quest_16,,,,,,,,,,,,,,,,,,,,,,,,,,
1602_02_Crassus,Linear_Objective,false,@NPC_Default_Dialogue_1602_02_Crassus,,,,,16_Quest_17,,,,1602_0101_ultimateintentions,,,,,,,,,,,,,,,,,,,,,,
1602_03_Crassus,Linear_Objective,false,@NPC_Default_Dialogue_1602_03_Crassus,,,,,16_Quest_18,,,,1602_0201_strengthandweakness,,,,,,,,,,,,,,,,,,,,,,
1602_04_Crassus,Linear_Objective,false,@NPC_Default_Dialogue_1602_04_Crassus,,,,,16_Quest_19,,,,1602_0301_tribunetime,,,,,,,,,,,,,,,,,,,,,,
1602_05_Crassus,Linear_Objective,false,@NPC_Default_Dialogue_1602_05_Crassus,,,,,16_Quest_20,,,,1602_0401_headofsnake,,,,,,,,,,,,,,,,,,,,,,
1602_06_Crassus,Linear_Objective,false,@NPC_Default_Dialogue_1602_06_Crassus,,,,,16_Quest_21,,,,1602_0501_gloriamundi,,,,,,,,,,,,,,,,,,,,,,
1602_07_Crassus,Linear_Objective,false,@NPC_Default_Dialogue_1602_07_Crassus,,,,,16_Quest_22,,,,,,,,,,,,,,,,,,,,,,,,,,
1602_08_Crassus,Linear_Objective,false,@NPC_Default_Dialogue_1602_08_Crassus,,,,,16_Quest_22,,,,1602_0601_secretssands,,,,,,,,,,,,,,,,,,,,,,
1602_09_Crassus,Linear_Objective,false,@NPC_Default_Dialogue_1602_09_Crassus,,,,,16_Quest_23,,,,,,,,,,,,,,,,,,,,,,,,,,
1602_10_Crassus,Linear_Objective,false,@NPC_Default_Dialogue_1602_10_Crassus,,,,,16_Quest_27,,,,1602_0701_mightymustfall,,,,,,,,,,,,,,,,,,,,,,
1602_11_Crassus,Linear_Objective,false,@NPC_Default_Dialogue_1602_11_Crassus,,,,,16_Quest_28,,,,,,,,,,,,,,,,,,,,,,,,,,
1602_12_Crassus,Linear_Objective,false,@1625_0902_queenrevealed_TalkTo_Evandrus,,,,,,1625_0902_queenrevealed,1625_0902_d_01_TalkTo_1602_Crassus_Settlement,,,,,,,,,,,,Topic_1624_0902_EvandrusTalkTo,,,,,,,,,,,,
1602_13_Crassus,Linear_Objective,false,@1625_0903_thecoronation_TalkTo_Evandrus,,,,,,1625_0903_thecoronation,1625_0903_d_03_02_TalkTo_1602_Crassus_Settlement,,,,,,,,,,,,,,,,,,,,,,,,
1602_14_Crassus,Linear_Objective,false,@1625_0903_thecoronation_TalkTo_Evandrus2,,,,,,1625_0903_thecoronation,1625_0903_d_05_02_02_TalkTo_1602_Crassus_Settlement_2,,,,,,,,,,,,,,,,,,,,,,,,
1603_00_Barnabas,Linear_Objective,true,@NPC_Default_Dialogue_1603_00_Barnabas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603_01_Barnabas,Linear_Objective,false,@NPC_Default_Dialogue_1603_00_Barnabas,,,,,16_BrimstoneUnlock,,,,,,,,,,,,,,Barnabas_Brimstone_Background,,,,,,,,,,,,
1603_02_Barnabas,Linear_Objective,false,@NPC_Default_Dialogue_1603_03_Barnabas,,,,,16_Quest_04,,,,,,,,,,,,,,,,,,,,,,,,,,
1603_03_Barnabas,Linear_Objective,false,@1625_0903_thecoronation_TalkTo_Severan,,,,,,1625_0903_thecoronation,1625_0903_d_03_container_talkto,,,,,,,,,,,,,,,,,,,,,,,,
1604_00_Charmion,Linear_Objective,true,@NPC_Default_Dialogue_1604_00_Charmion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604_01_Charmion,Linear_Objective,false,@NPC_Default_Dialogue_1604_01_Charmion,,,,,16_Quest_30,,,,1604_0101_powerofgods,,,,,,,,,,,,,,,,,,,,,,
1604_02_Charmion,Linear_Objective,false,@NPC_Default_Dialogue_1604_02_Charmion,,,,,16_Quest_10,,,,,,,,,,,,,,,,,,,,,,,,,,
1604_03_Charmion,Linear_Objective,false,@NPC_Default_Dialogue_1604_03_Charmion,,,,,16_Quest_16 && 16_Quest_10,,,,1604_0201_heronomore,,,,,,,,,,,,,,,,,,,,,,
1604_04_Charmion,Linear_Objective,false,@NPC_Default_Dialogue_1604_04_Charmion,,,,,16_Quest_17,,,,,,,,,,,,,,,,,,,,,,,,,,
1604_05_Charmion,Linear_Objective,false,@NPC_Default_Dialogue_1604_05_Charmion,,,,,16_Quest_22,,,,,,,,,,,,,,,,,,,,,,,,,,
1605_00_Akila,Linear_Objective,true,@NPC_Default_Dialogue_1605_00_Akila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605_01_Akila,Linear_Objective,false,@NPC_Default_Dialogue_1605_01_Akila,,,,,16_Quest_06,,,,1605_0101_sleepingvessels,,,,,,,,,,,,,,,,,,,,,,
1605_02_Akila,Linear_Objective,false,@NPC_Default_Dialogue_1605_02_Akila,,,,,16_Quest_07,,,,1605_0201_immortalgems,,,,,,,,,,,,,,,,,,,,,,
1605_03_Akila,Linear_Objective,false,@NPC_Default_Dialogue_1605_03_Akila,,,,,16_Quest_08,,,,1605_0301_awakenanubis,,,,,,,,,,,,,,,,,,,,,,
1605_04_Akila,Linear_Objective,false,@NPC_Default_Dialogue_1605_04_Akila,,,,,16_Quest_09,,,,1605_0401_insufficientfaith,,,,,,,,,,,,,,,,,,,,,,
1605_05_Akila,Linear_Objective,false,@NPC_Default_Dialogue_1605_05_Akila,,,,,16_Quest_10,,,,,,,,,,,,,,,,,,,,,,,,,,
1605_06_Akila,Linear_Objective,false,@NPC_Default_Dialogue_1605_06_Akila,,,,,16_Quest_23,,,,1605_0501_miraclesmadness,,,,,,,,,,,,,,,,,,,,,,
1605_07_Akila,Linear_Objective,false,@NPC_Default_Dialogue_1605_07_Akila,,,,,16_Quest_24,,,,1605_0601_hieratictruth,,,,,,,,,,,,,,,,,,,,,,
1605_08_Akila,Linear_Objective,false,@NPC_Default_Dialogue_1605_08_Akila,,,,,16_Quest_25,,,,1605_0701_brokenkey,,,,,,,,,,,,,,,,,,,,,,
1605_09_Akila,Linear_Objective,false,@NPC_Default_Dialogue_1605_09_Akila,,,,,16_Quest_26,,,,1605_0801_timecircles,,,,,,,,,,,,,,,,,,,,,,
1605_10_Akila,Linear_Objective,false,@NPC_Default_Dialogue_1605_10_Akila,,,,,16_Quest_27,,,,1605_0901_finalseal,,,,,,,,,,,,,,,,,,,,,,
1605_11_Akila,Linear_Objective,false,@NPC_Default_Dialogue_1605_11_Akila,,,,,16_Quest_29,,,,,,,,,,,,,,,,,,,,,,,,,,
1605_12_Akila,Linear_Objective,false,@1625_0903_thecoronation_TalkTo_Nuru,,,,,,1625_0903_thecoronation,1625_0903_d_03_container_talkto,During Coronation,,,,,,,,,,,,,,,,,,,,,,,
1606_00_Ambrosius,Linear_Objective,true,@NPC_Default_Dialogue_1606_00_Ambrosius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606_01_Ambrosius,Linear_Objective,false,@NPC_Default_Dialogue_1606_01_Ambrosius,,,60,,,,,,1606_0101_lost_manticore,,,,,,,,,,,,,,,,,,,,,,
1606_02_Ambrosius,Linear_Objective,false,@NPC_Default_Dialogue_1606_02_Ambrosius,,,,,16_Quest_05,,,,,,,,,,,,,,,,,,,,,,,,,,
1607_00_Commander,Linear_Objective,true,@NPC_Default_Dialogue_1607_00_Commander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607_01_Commander,Linear_Objective,false,@NPC_Default_Dialogue_1607_01_Commander,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,,
1607_02_Commander,Linear_Objective,false,@NPC_Default_Dialogue_1607_02_Commander,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607_03_Commander,Linear_Objective,false,@NPC_Default_Dialogue_1607_03_Commander,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607_04_Commander,Linear_Objective,false,@NPC_Default_Dialogue_1607_04_Commander,,Marauder,60,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1608_00_Alchemist,Linear_Objective,true,@NPC_Default_Dialogue_1608_00_Alchemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608_01_Alchemist,Linear_Objective,false,@NPC_Default_Dialogue_1608_01_Alchemist,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,,
1608_02_Alchemist,Linear_Objective,false,@NPC_Default_Dialogue_1608_02_Alchemist,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608_03_Alchemist,Linear_Objective,false,@NPC_Default_Dialogue_1608_03_Alchemist,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608_04_Alchemist,Linear_Objective,false,@NPC_Default_Dialogue_1608_01_Alchemist,,Syndicate,60,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1609_00_Adjudicator,Linear_Objective,true,@NPC_Default_Dialogue_1609_00_Adjudicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609_01_Adjudicator,Linear_Objective,false,@NPC_Default_Dialogue_1609_01_Adjudicator,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,,
1609_02_Adjudicator,Linear_Objective,false,@NPC_Default_Dialogue_1609_02_Adjudicator,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609_03_Adjudicator,Linear_Objective,false,@NPC_Default_Dialogue_1609_03_Adjudicator,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609_04_Adjudicator,Linear_Objective,false,@NPC_Default_Dialogue_1609_04_Adjudicator,,Covenant,60,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1610_00_Barkeep,Linear_Objective,true,@NPC_Default_Dialogue_1610_00_Barkeep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611_00_Stranger,Linear_Objective,false,@NPC_Default_Dialogue_1611_00_Stranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612_00_Clermont,Linear_Objective,true,@NPC_Default_Dialogue_1612_00_Clermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612_01_Clermont,Linear_Objective,false,@NPC_Default_Dialogue_1612_01a_Clermont,,,,,16_BSMSQ_06,,,,1612_0101_praetorians,,,,,,,,,,,,,,,,,,,,,,
1612_02_Clermont,Linear_Objective,false,@NPC_Default_Dialogue_1612_02_Clermont,,,,,16_Quest_02,,,,1612_0201_personaldemons,,,,,,,,,,,,,,,,,,,,,,
1612_03_Clermont,Linear_Objective,false,@NPC_Default_Dialogue_1612_03_Clermont,,,,,16_Quest_03,,,,1612_0301_dutiesmaintained,,,,,,,,,,,,,,,,,,,,,,
