ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
1403_Survivalist_00,Linear_Objective,true,@1403_01_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403_Survivalist_01,Linear_Objective,false,@1403_02_DefaultDialogue,,,49,,1403_0201_gates,,,,,,,,,,,,,,,,,,,,,,
1403_Survivalist_02,Linear_Objective,false,@1403_03_DefaultDialogue,,,,14_Quest_01,1403_0202_tincturequest,,,,,,,,,,,,,,,,,,,,,,
1403_Survivalist_03,Linear_Objective,false,@1403_04_DefaultDialogue,,,,14_Quest_02,1403_0203_blightpox,,,,,,,,,,,,,,,,,,,,,,
1403_Survivalist_04,Linear_Objective,false,@1403_05_DefaultDialogue,,,,14_Quest_08,1403_0301_blightstrength,,,,,,,,,,,,,,,,,,,,,,
1403_Survivalist_05,Linear_Objective,true,@1403_06_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403_Survivalist_06,Linear_Objective,false,@1403_07_DefaultDialogue,,,,14_Quest_05,1403_0401_blightmigration,,,,,,,,,,,,,,,,,,,,,,
1403_Survivalist_07,Linear_Objective,false,@1403_08_DefaultDialogue,,,,14_Quest_10,,,,,,,,,,,,,,,,,,,,,,,
1403_Survivalist_08,Linear_Objective,false,@1403_09_DefaultDialogue,,,60,14_Quest_10,1403A_0301_GKW,,,,,,,,,,,,,,,,,,,,,,
1403_Survivalist_09,Linear_Objective,false,@1403_10_DefaultDialogue,,,,14_Quest_12,,,,,,,,,,,,,,,,,,,,,,,
1407_Commander_00,Linear_Objective,true,@1407_00_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407_Commander_01pre,Linear_Objective,false,@1407_01pre_DefaultDialogue,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,
1407_Commander_01,Linear_Objective,false,@1407_01_DefaultDialogue,Marauder,,49,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1408_Alchemist_00,Linear_Objective,true,@1408_00_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408_Alchemist_01pre,Linear_Objective,false,@1408_01pre_DefaultDialogue,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,
1408_Alchemist_01,Linear_Objective,false,@1408_01_DefaultDialogue,Syndicate,,49,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1409_Adjudicator_00,Linear_Objective,true,@1409_00_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
