ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
12_00_GaetanFortier,Linear_Objective,true,@NPC_DefaultDialogue_00_GaetanFortier_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_00_Lochnir,Linear_Objective,true,@NPC_DefaultDialogue_00_Lochnir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_01_Lochnir,Linear_Objective,false,@NPC_DefaultDialogue_01_Lochnir_a_new,,,,,,12A_MSQ_06_ToMiclot,12A_MSQ_06_ToMiclot_TalkToLochnir,,,,,,,,,,,12A_MSQ_06_ToMiclot_TalkLochnir,,,,,,,,,,,,
12_02_Lochnir,Linear_Objective,false,@NPC_DefaultDialogue_02_Lochnir,,,,,12A_MSQ_06,,,,,,,,,,,,,,,,,,,,,,,,,
12_03_Lochnir,Linear_Objective,false,@NPC_DefaultDialogue_03_Lochnir_a,,,,,,12A_MSQ_10_ConfrontLochnir,12A_MSQ_10_ConfrontLochnir_TalkLochnir,,,,,,,,,,,12_03_MSQ_10_Lochnir_Explains,,,,,,,,,,,,
12_03_Lochnir_alt,Linear_Objective,false,@NPC_DefaultDialogue_03_Lochnir_a,,,,,,12A_MSQ_10_ConfrontLochnir_alt,12A_MSQ_10_ConfrontLochnir_TalkLochnir,,,,,,,,,,,12_03_MSQ_10_Lochnir_Explains,,,,,,,,,,,,
12_04_Lochnir,Linear_Objective,false,@NPC_DefaultDialogue_04_Lochnir,,,,,12A_MSQ_10,,,,,,,,,,,,,,,,,,,,,,,,,
12_05_Lochnir,Linear_Objective,false,@NPC_DefaultDialogue_05_Lochnir_a,,,,,,12A_MSQ_17_LochnirsNotes,12A_MSQ_17_LochnirsNotes_TalkLochnir,,,,,,,,,,,12A_MSQ_17_LochnirsNotes_TalkLochnir,,,,,,,,,,,,
12_06_Lochnir,Linear_Objective,false,@NPC_DefaultDialogue_06_Lochnir_a,,,,,12A_MSQ_17,,,,,,,,,,,,,,,,,,,,,,,,,
12_00_MB_Grace,Linear_Objective,true,@NPC_DefaultDialogue_00_MB_Grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_01_MB_Grace,Linear_Objective,false,@NPC_DefaultDialogue_01_MB_Grace_a,,,,,12A_MSQ_02,,,12A_MSQ_03_VaultTutorial,,,,,,,,,,,,,,,,,,,,,,
12_02_MB_Grace,Linear_Objective,false,@NPC_DefaultDialogue_02_MB_Grace_a_new,,,,,12A_MSQ_03,,,12A_MSQ_04_MeetPayne,,,,,,,,,,,,,,,,,,,,,,
12_03_MB_Grace,Linear_Objective,false,@NPC_DefaultDialogue_03_MB_Grace_a,,,,,12A_MSQ_04,,,,,,,,,,,,,,,,,,,,,,,,,
12_04_MB_Grace,Linear_Objective,false,@NPC_DefaultDialogue_04_MB_Grace_a_new,,,,,12A_MSQ_12,,,,,,,,,,,,,,,,,,,,,,,,,
