ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
09a_Trahern_WC_Default,Linear_Objective,true,@09a_Trahern_WC_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Trahern_WC_BS_01,Linear_Objective,false,@09a_Trahern_WC_01_a,,,,,09A_M1_EnterZone_BS,09A_M1_BS_TalkTo_Trahern,,,,,,,,,,,09a_M1_Topic_Trahern,,,,,,,,,,,,
09a_Trahern_WC_EG_01,Linear_Objective,false,@09a_Trahern_WC_01_a,,,,,09A_M1_EnterZone_EG,09A_M1_EG_TalkTo_Trahern,,,,,,,,,,,09a_M1_Topic_Trahern,,,,,,,,,,,,
09a_Trahern_WC_SM_01,Linear_Objective,false,@09a_Trahern_WC_01_a,,,,,09A_M1_EnterZone_SM,09A_M1_SM_TalkTo_Trahern,,,,,,,,,,,09a_M1_Topic_Trahern,,,,,,,,,,,,
09a_Trahern_WC_RW_01,Linear_Objective,false,@09a_Trahern_WC_01_a,,,,,09A_M1_EnterZone_RW,09A_M1_RW_TalkTo_Trahern,,,,,,,,,,,09a_M1_Topic_Trahern,,,,,,,,,,,,
09a_Trahern_WC_02,Linear_Objective,false,@09a_Trahern_WC_02_a,,,,,09A_M3_EnterJungle,09A_M3_TalkTo_Trahern,,,,,,,,,,,09a_M3_Topic_Trahern,,,,,,,,,,,,
09a_Trahern_RR_Default,Linear_Objective,true,@09A_M5_Trahern_FL_TalkTo_a,,,,,,,,,,,,,,,,,09a_M5_Topic_Trahern,,,,,,,,,,,,
09a_Trahern_Tav_Default,Linear_Objective,true,@09A_M5_Trahern_FL_Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Trahern_Tav_01,Linear_Objective,false,@09A_M5_Trahern_FL_Default_a,,,,09A_M5_TavernDefended,,,,,,,,,,,,,,,,,,,,,,,,,
09a_M13_Trahern_HG_Delivery,Linear_Objective,false,@09A_M13_Trahern_HG_Delivery_a,,,,09A_M12,,,09A_M13_AttuneStaff,,,,,,,,,,,,,,,,,,,,,,
09A_M14_Trahern_SE_TalkTo,Linear_Objective,false,@09A_M14_Trahern_SE_TalkTo_a,,,,,09A_M14_GetInfusedSeed,09A_M14_TalkToTrahern1,,,,,,,,,,,09A_M14_Topic_Trahern1,,,,,,,,,,,,
09A_M14_Trahern_SE_TalkTo_2,Linear_Objective,false,@09A_M14_Trahern_SE_TalkTo_2_a,,,,,09A_M14_GetInfusedSeed,09A_M14_TalkToTrahern2,,,,,,,,,,,09A_M14_Topic_Trahern2,,,,,,,,,,,,
09A_M14_Trahern_SE_TaskComplete,Linear_Objective,false,@09A_M14_Trahern_SE_TaskComplete,,,,,09A_M14_GetInfusedSeed,09A_M14_TalkToMorgaine,,,,,,,,,,,,,,,,,,,,,,,
09A_M14_Trahern_LC_TalkTo,Linear_Objective,false,@09A_M14_Trahern_LC_TalkTo_a,,,,,09A_M14_GetInfusedSeed,09A_M14_TalkToTrahern3,,,,,,,,,,,09A_M14_Topic_Trahern3,,,,,,,,,,,,
09a_Trahern_LC_Sendoff,Linear_Objective,false,@09a_M15_Trahern_LC_Sendoff_a,,,,,09A_M15_FightArtemis,09A_M15_Trahern_Sendoff,,,,,,,,,,,,,,,,,,,,,,,
09a_Trahern_End_Default,Linear_Objective,true,@09A_M15_Trahern_WC_End_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Trahern_SD_Default,Linear_Objective,true,@09A_S19_Completed_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
