ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,RequiredFaction,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
0907_00_Commander,Linear_Objective,true,@NPC_DefaultDialogue_0907_00_Commander,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0907_01_Commander_PostRSE,Linear_Objective,false,@NPC_DefaultDialogue_0907_07_Commander,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,,
0907_02_Commander_PostRSE,Linear_Objective,false,@NPC_DefaultDialogue_0907_07_Commander,Marauder,60,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0908_00_Alchemist,Linear_Objective,true,@NPC_DefaultDialogue_0908_00_Alchemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0908_01_Alchemist_PostRSE,Linear_Objective,false,@NPC_DefaultDialogue_0908_07_Alchemist,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,,
0908_02_Alchemist_PostRSE,Linear_Objective,false,@NPC_DefaultDialogue_0908_07_Alchemist,Syndicate,60,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0909_00_Adjudicator,Linear_Objective,true,@NPC_DefaultDialogue_0909_00_Adjudicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0909_01_Adjudicator_PostRSE,Linear_Objective,false,@NPC_DefaultDialogue_0909_07_Adjudicator,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,,
0909_02_Adjudicator_PostRSE,Linear_Objective,false,@NPC_DefaultDialogue_0909_07_Adjudicator,Covenant,60,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0922_00_Innkeep,Linear_Objective,true,@0922_00_Innkeep_DefaultDialog,,,,,,,,,,,,,,,,,,,,,,,,,,Inn,,
