ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
0803_00_Survivalist,Linear_Objective,1,@NPC_DefaultDialogue_0803_00_Survivalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0803_01_Survivalist,Linear_Objective,0,@NPC_DefaultDialogue_0803_01_Survivalist,,,,49,,,,0803_0805_EbonscaleAlligators,,,,,,,,,,,,,,,,,,,,,,
0803_02_Survivalist,Linear_Objective,0,@NPC_DefaultDialogue_0803_02_Survivalist,,,,,08_Quest_05,,,0803_0811_TigerTiger,,,,,,,,,,,,,,,,,,,,,,
0803_03_Survivalist,Linear_Objective,0,@NPC_DefaultDialogue_0803_03_Survivalist,,,,,08_Quest_11,,,,,,,,,,,,,,,,,,,,,,,,,
0807_00_Commander,Linear_Objective,1,@NPC_DefaultDialogue_0807_00_Commander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0807_01_Commander,Linear_Objective,0,@NPC_DefaultDialogue_0807_01_Commander,,Marauder,,49,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0807_01pre_Commander,Linear_Objective,0,@NPC_DefaultDialogue_0807_01pre_Commander,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0807_02_Commander,Linear_Objective,0,@NPC_DefaultDialogue_0807_02_Commander,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0807_03_Commander,Linear_Objective,0,@NPC_DefaultDialogue_0807_03_Commander,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0808_00_Alchemist,Linear_Objective,1,@NPC_DefaultDialogue_0808_00_Alchemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0808_01_Alchemist,Linear_Objective,0,@NPC_DefaultDialogue_0808_01_Alchemist,,Syndicate,,49,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0808_01pre_Alchemist,Linear_Objective,0,@NPC_DefaultDialogue_0808_01pre_Alchemist,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0808_02_Alchemist,Linear_Objective,0,@NPC_DefaultDialogue_0808_02_Alchemist,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0808_03_Alchemist,Linear_Objective,0,@NPC_DefaultDialogue_0808_03_Alchemist,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0809_00_Adjudicator,Linear_Objective,1,@NPC_DefaultDialogue_0809_00_Adjudicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0809_01_Adjudicator,Linear_Objective,0,@NPC_DefaultDialogue_0809_01_Adjudicator,,Covenant,,49,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0809_01pre_Adjudicator,Linear_Objective,0,@NPC_DefaultDialogue_0809_01pre_Adjudicator,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0809_02_Adjudicator,Linear_Objective,0,@NPC_DefaultDialogue_0809_02_Adjudicator,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0809_03_Adjudicator,Linear_Objective,0,@NPC_DefaultDialogue_0809_03_Adjudicator,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0810_00_Barkeep,Linear_Objective,1,@NPC_DefaultDialogue_0810_01_Barkeep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0810_01_Barkeep,Linear_Objective,0,@NPC_DefaultDialogue_0810_00_Barkeep,,,,53,08_Quest_01,,,0810_0807_WhatMakesTheShallowsCrimson,,,,,,,,,,,,,,,,,,,,,,
0810_02_Barkeep,Linear_Objective,0,@NPC_DefaultDialogue_0810_02_Barkeep,,,,,08_Quest_07,,,0810_0814_Temple,,,,,,,,,,,,,,,,,,,,,,
0810_03_Barkeep,Linear_Objective,0,@NPC_DefaultDialogue_0810_03_Barkeep,,,,,08_Quest_14,,,,,,,,,,,,,,,,,,,,,,,,,
0823_00_Fisher,Linear_Objective,1,@NPC_DefaultDialogue_0823_00_Fisher,,,,,,,,,,,,,,,,,,0823_Fisher_ExplainHotspots,,,,,,,,,,,,
0823_01_Fisher,Linear_Objective,0,@NPC_DefaultDialogue_0823_01_Fisher,,,,,FishingQuest_13,,,0823_0101_FQ14,,,,,,,,,,0823_Fisher_ExplainHotspots,,,,,,,,,,,,
0823_02_Fisher,Linear_Objective,0,@NPC_DefaultDialogue_0823_02_Fisher,,,,,FishingQuest_14,,,,,,,,,,,,,0823_Fisher_ExplainHotspots,,,,,,,,,,,,
0824_00_Innkeep,Linear_Objective,1,@NPC_DefaultDialogue_0824_00_Innkeep,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inn,,
0899_00_Liberator,Linear_Objective,1,@NPC_DefaultDialogue_0899_00_Liberator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0899_01_Liberator,Linear_Objective,0,@NPC_DefaultDialogue_0899_01_Liberator,,,,53,,,,0899_0801_Liberation,,,,,,,,,,,,,,,,,,,,,,
0804_00_Overseer,Linear_Objective,1,@NPC_DefaultDialogue_0804_00_Overseer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0804_01_Overseer,Linear_Objective,0,@NPC_DefaultDialogue_0804_01_Overseer,,,,49,,,,0804_0812_CaptainsOrders,,,,,,,,,,,,,,,,,,,,,,
0804_02_Overseer,Linear_Objective,0,@NPC_DefaultDialogue_0804_02_Overseer,,,,,08_Quest_12,,,0804_0804_FlowerForTheDeparted,,,,,,,,,,,,,,,,,,,,,,
0804_03_Overseer,Linear_Objective,0,@NPC_DefaultDialogue_0804_03_Overseer,,,,,08_Quest_04,,,,,,,,,,,,,,,,,,,,,,,,,
0802_00_Magistrate,Linear_Objective,1,@NPC_DefaultDialogue_0802_00_Magistrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0802_01_Magistrate,Linear_Objective,0,@NPC_DefaultDialogue_0802_01_Magistrate,,,,49,,,,0802_0801_TheShowMustGoOn,,,,,,,,,,,,,,,,,,,,,,
0802_02_Magistrate,Linear_Objective,0,@NPC_DefaultDialogue_0802_02_Magistrate,,,,,08_Quest_01,,,0802_0808_CorruptedCritics,,,,,,,,,,,,,,,,,,,,,,
0802_03_Magistrate,Linear_Objective,0,@NPC_DefaultDialogue_0802_03_Magistrate,,,,,08_Quest_08,,,,,,,,,,,,,,,,,,,,,,,,,
0805_00_Artificer,Linear_Objective,1,@NPC_DefaultDialogue_0805_00_Artificer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0805_01_Artificer,Linear_Objective,0,@NPC_DefaultDialogue_0805_01_Artificer,,,,,08_Quest_01,,,0805_0809_StudyInGreen,,,,,,,,,,,,,,,,,,,,,,
0805_02_Artificer,Linear_Objective,0,@NPC_DefaultDialogue_0805_02_Artificer,,,,,08_Quest_09,,,0805_0806_ShrineCleansing,,,,,,,,,,,,,,,,,,,,,,
0805_03_Artificer,Linear_Objective,0,@NPC_DefaultDialogue_0805_03_Artificer,,,,,08_Quest_06,,,0805_0813_SkysongsEnd,,,,,,,,,,,,,,,,,,,,,,
0805_04_Artificer,Linear_Objective,0,@NPC_DefaultDialogue_0805_04_Artificer,,,,,08_Quest_13,,,,,,,,,,,,,,,,,,,,,,,,,
0811_00_Stranger,Linear_Objective,1,@NPC_DefaultDialogue_0811_00_Stranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0811_01_Stranger,Linear_Objective,0,@NPC_DefaultDialogue_0811_01_Stranger,,,,49,,,,0811_0802_StatuetteStash,,,,,,,,,,,,,,,,,,,,,,
0811_02_Stranger,Linear_Objective,0,@NPC_DefaultDialogue_0811_02_Stranger,,,,,08_Quest_02,,,0811_0803_EndOfHerReign,,,,,,,,,,,,,,,,,,,,,,
