ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
Yonas_00_00,Linear_Objective,true,@Yonas_00_00_INIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yonas_00_01,Linear_Objective,false,@Yonas_00_01_Offer_LearnSoulwarden,,,,,MSQ_00_init && !99_MSQ_19,,,99A_MSQ_01_LearnSoulwardens,,,,,,,,,,,,,,,,,,,,,,
Yonas_00_A_00,Linear_Objective,true,@Yonas_00_A_00_INIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yonas_00_A_01_TaskTopic_BearCave,Linear_Objective,false,@Yonas_00_A_01_TaskTopic_BearCave,,,,,,99A_MSQ_01_LearnSoulwardens,99A_MSQ_01_02A_TalkToYonas,,,,,,,,,,,99a_Yonas_TaskTopic_BearCave,,,,,,,,,,,,
Yonas_00_A_02_TaskTopic_Alioth,Linear_Objective,false,@Yonas_00_A_02_TaskTopic_Alioth,,,,,,99A_MSQ_01_LearnSoulwardens,99A_MSQ_01_02C_TalkToYonas,,,,,,,,,,,99a_Yonas_TaskTopic_ToAlioth,,,,,,,,,,,,
Yonas_00_A_03,Linear_Objective,false,@Yonas_00_A_03_Comment_Alioth,,,,,,99A_MSQ_01_LearnSoulwardens,99A_MSQ_01_03_container_Alioth,,,,,,,,,,,,,,,,,,,,,,,
Yonas_00_B_00,Linear_Objective,true,@Yonas_00_B_00_INIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yonas_00_B_01,Linear_Objective,false,@Yonas_00_B_01_Offer_LearnSoulwardenB,,,,,99A_MSQ_01,,,99A_MSQ_01B_LearnSoulwardens,,,,,,,,,,,,,,,,,,,,,,
Yonas_01_00,Linear_Objective,true,@Yonas_01_00_INIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yonas_01_01,Linear_Objective,false,@Yonas_01_01_Offer_Arcturus,,,,,99A_MSQ_02,,,99A_MSQ_03_ClimbArcturus,,,,,,,,,,,,,,,,,,,,,,
Yonas_01_02,Linear_Objective,false,@Yonas_01_02_Offer_ToAdiana,,,,,99A_MSQ_03,,,99A_MSQ_04_ToAdiana,,,,,,,,,,,,,,,,,,,,,,
Yonas_01_03,Linear_Objective,false,@Yonas_01_03_Comment_Adiana,,,,,99A_MSQ_04,,,,,,,,,,,,,,,,,,,,,,,,,
Yonas_01_04,Linear_Objective,false,@Yonas_01_04_Offer_CanisHaft,,,,,99A_MSQ_08,,,99A_MSQ_09_GetHaft,,,,,,,,,,,,,,,,,,,,,,
Yonas_01_05,Linear_Objective,false,@Yonas_01_05_Offer_Forgemaster,,,,,99A_MSQ_09,,,99A_MSQ_10_GetCrosspiece,,,,,,,,,,,,,,,,,,,,,,
Yonas_01_06,Linear_Objective,false,@Yonas_01_06_Offer_ForgeStaff,,,,,99A_MSQ_10,,,99A_MSQ_11_ForgeStaff,,,,,,,,,,,,,,,,,,,,,,
Yonas_01_07,Linear_Objective,false,@Yonas_01_07_Offer_ReturnSettlement,,,,,99_MSQ_19,,,99A_MSQ_12_ReturnStaff,,,,,,,,,,,,,,,,,,,,,,
Yonas_01_08,Linear_Objective,false,@Yonas_01_08_Comment_ReturnSettlement,,,,,99_MSQ_19a,,,,,,,,,,,,,,,,,,,,,,,,,
Yonas_01_09,Linear_Objective,false,@Yonas_01_09_Offer_Heartgem,,,,,99_MSQ_20,,,99A_MSQ_14_HeartgemGroup,,,,,,,,,,,,,,,,,,,,,,
Yonas_TaskTopic_AmrineSkip,Linear_Objective,false,@9901_11_B_MSQ_Yonas_TaskTopic,,,,,,99A_MSQ_14_HeartgemGroup,99A_MSQ_14a_01a_01_Task_TalktoYonas,,,,,,,,,,,99a_Yonas_TaskTopic_AmrineSkip,,,,,,,,,,,,
Yonas_02_00,Linear_Objective,true,@Yonas_02_00_INIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yonas_02_01,Linear_Objective,false,@Yonas_02_01_Offer_Ritual,,,,,99_MSQ_21,,,99A_MSQ_15_Ritual,,,,,,,,,,,,,,,,,,,,,,
Yonas_02_02a,Linear_Objective,false,@99A_Yonas_02_02,,,,,99_MSQ_22 && !99_MSQ_34,,,99B_MSQ_01_searchwalsham,,,,,,,,,,,,,,,,,,,,,,
Grace_00_00,Linear_Objective,true,@Grace_00_00_INIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace_00_01,Linear_Objective,false,@Grace_00_01_Offer_Rumors,,,,,99A_MSQ_01B,,,99A_MSQ_02_Rumors,,,,,,,,,,,,,,,,,,,,,,
Grace_01_00,Linear_Objective,true,@Grace_01_00_INIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace_01_01,Linear_Objective,false,@Grace_01_01_Comment_Rumors,,,,,99A_MSQ_02,,,,,,,,,,,,,,,,,,,,,,,,,
Grace_01_02A,Linear_Objective,false,@Grace_01_02A_TaskTopic_Adiana,,,,,,99A_MSQ_04_ToAdiana,99A_MSQ_04_02c_TalkToGrace,,,,,,,,,,,99a_Grace_TaskTopic_AskAboutAdiana,,,,,,,,,,,,
Grace_01_02,Linear_Objective,false,@Grace_01_02_Comment_Adiana,,,,,99A_MSQ_04,,,,,,,,,,,,,,,,,,,,,,,,,
Grace_01_03A,Linear_Objective,false,@Grace_01_02A_TaskTopic_ReturnStaff,,,,,,99A_MSQ_12_ReturnStaff,99A_MSQ_12_02b_TalkToGrace,,,,,,,,,,,99a_Grace_TaskTopic_ReturnStaff,,,,,,,,,,,,
