ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,Comment,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
99F_Sun_00,Linear_Objective,true,@99F_Sun_Greet_Fallthrough_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_00a,Linear_Objective,false,@99F_Sun_Greet_Fallthrough_00,,,,,99E_MSQ_10 || 99_MSQ_56,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_01,Linear_Objective,false,@99F_Sun_Greet_GatherAllies_00,,,,,,99F_MSQ_ER_GatherAllies,99F_MSQ_ER_GatherAllies_TalkToGraceAddition,,,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_03,Linear_Objective,false,@99F_MSQ01_GatherAllies_Sun_TalkToB_Start_Greet,,,,,,99F_MSQ_ER_GatherAllies,99F_MSQ_ER_GatherAllies_TalkToSun2,,,,,,,,,,,,99F_GatherAllies_Sun_TalkTo_02,,,,,,,,,,,,
99F_Sun_04,Linear_Objective,true,@99F_Sun_Greet_GatherAllies_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_05,Linear_Objective,false,@99F_MSQ02_MeetWiseman_Sun_Start_Greet,,,,,99F_MSQ_01,,,,99F_MSQ_ER_MeetWiseman,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_05a,Linear_Objective,false,@99F_Sun_Greet_MeetWiseman_00,,,,,,99F_MSQ_ER_MeetWiseman,99F_MSQ_ER_MeetWiseman_Temple_container,,,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_06,Linear_Objective,false,@99F_MSQ04_InspireAllies_Sun_Start_Greet,,,,,99F_MSQ_03,,,,99F_MSQ_ER_InspireAllies,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_07,Linear_Objective,false,@99F_MSQ05_MeetEmpress_Sun_Start_Greet,,,,,99F_MSQ_04,,,,99F_MSQ_ER_MeetEmpress,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_07a,Linear_Objective,false,@99F_Sun_Greet_MeetEmpress_00,,,,,,99F_MSQ_ER_MeetEmpress,99F_MSQ_ER_MeetEmpress_Temple_container,,,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_08,Linear_Objective,false,@99F_MSQ07_CreateIncense_Sun_TalkTo_Start_Greet,,,,,,99F_MSQ_ER_CreateIncense,99F_MSQ_ER_CreateIncense_TalkToSun,,,,,,,,,,,,99F_CreateIncense_Sun_TalkTo_01,,,,,,,,,,,,
99F_Sun_09,Linear_Objective,true,@99F_Sun_Greet_CreateIncense_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
