ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,Comment,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
99B_Yonas_00,Linear_Objective,true,@99B_Yonas_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_Yonas_p1_01,Linear_Objective,false,@99B_Yonas_p1_01,,,,,99B_MSQ_01_searchwalsham,99B_MSQ_01_d_02_01_TalkTo_99B_Yonas_p1_01,"TalkTo, outside Walsham - MSQ1",,,,,,,,,,,Topic_99B_Yonas_p1_01,,,,,,,,,,,,
99B_Yonas_p2_01,Linear_Objective,false,@99B_Yonas_p2_01,,,,99B_MSQ_01,,,,99B_MSQ_02_meetgalahad,,,,,,,,,,,,,,,,,,,,,,
99B_Yonas_p3_01,Linear_Objective,false,@99B_Yonas_p3_01,,,,,99B_MSQ_02_meetgalahad,99B_MSQ_02_d_03_04_TalkTo_99B_Yonas_p3_01,"TalkTo, near Ballard's - MSQ2",,,,,,,,,,,Topic_99B_Yonas_p3_01,,,,,,,,,,,,
99B_Yonas_p3_02,Linear_Objective,false,@99B_Yonas_p3_02,,,,,,,"default, after TalkTo",,,,,,,,,,,,,,,,,,,,,,,
99B_Yonas_p4_01,Linear_Objective,false,@99B_Yonas_p5_01,,,,99B_MSQ_03,,,,99B_MSQ_04_corruptedresources,,,,,,,,,,,,,,,,,,,,,,
99B_Yonas_p5_01,Linear_Objective,false,@99B_Yonas_p6_01,,,,,99B_MSQ_05_findingfort,99B_MSQ_05_d_02_05_TalkTo_99B_Yonas_p5_01,"TalkTo, Fort Shrine - MSQ5",,,,,,,,,,,Topic_99B_Yonas_p5_01,,,,,,,,,,,,
99B_Yonas_p5_02,Linear_Objective,false,@99B_Yonas_p6_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_Yonas_p6_01,Linear_Objective,false,@99B_Yonas_p6_02,,,,,,,"default, in Calvary",,,,,,,,,,,,,,,,,,,,,,,
99B_Yonas_p7_01,Linear_Objective,false,@99B_Yonas_p7_01,,,,,99B_MSQ_10_cleansefort,99B_MSQ_10_d_02_02_01_TalkTo_99B_Yonas_p7_01,"TalkTo, before undercroft - MSQ10",,,,,,,,,,,Topic_99B_Yonas_p7_01,,,,,,,,,,,,
99B_Yonas_p7_02,Linear_Objective,false,@99B_Yonas_p7_02,,,,,,,"default, Fort, after TalkTo",,,,,,,,,,,,,,,,,,,,,,,
99B_Yonas_p8_01,Linear_Objective,false,@99B_Yonas_p8_01,,,,99B_MSQ_10,,,,99B_MSQ_11_weaversvector,,,,,,,,,,,,,,,,,,,,,,
99B_Yonas_p8_02,Linear_Objective,false,@99B_Yonas_p8_02,,,,,,,"default, after WF vector - FINAL",,,,,,,,,,,,,,,,,,,,,,,
99B_Galahad_00,Linear_Objective,true,@99B_Galahad_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_Galahad_p1_01,Linear_Objective,false,@99B_Galahad_p1_01,,,,,99B_MSQ_02_meetgalahad,99B_MSQ_02_d_01_03_01_TalkTo_99B_Galahad_p1_01,"TalkTo, before cinematic - MSQ2",,,,,,,,,,,Topic_99B_Galahad_p1_01,,,,,,,,,,,,
