ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
0307_00_Commander,Linear_Objective,true,@NPC_DefaultDialogue_0307_00_Commander_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0307_01_Commander,Linear_Objective,false,@NPC_DefaultDialogue_0307_01_Commander,,Marauder,,39,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0307_01pre_Commander,Linear_Objective,false,@NPC_DefaultDialogue_0307_01pre_Commander,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308_00_Alchemist,Linear_Objective,true,@NPC_DefaultDialogue_0308_00_Alchemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308_01_Alchemist,Linear_Objective,false,@NPC_DefaultDialogue_0308_01_Alchemist,,Syndicate,,39,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0308_01pre_Alchemist,Linear_Objective,false,@NPC_DefaultDialogue_0308_01pre_Alchemist,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0312_00_Watcher,Linear_Objective,true,@NPC_DefaultDialogue_0312_00_Watcher_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0313_00_Watcher,Linear_Objective,true,@NPC_DefaultDialogue_0313_00_Watcher_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0314_00_Watcher,Linear_Objective,true,@NPC_DefaultDialogue_0314_00_Watcher_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0315_00_Watcher,Linear_Objective,true,@NPC_DefaultDialogue_0315_00_Watcher_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0316_00_Warden,Linear_Objective,true,@NPC_DefaultDialogue_0316_00_Warden_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0317_00_Warden,Linear_Objective,true,@NPC_DefaultDialogue_0317_00_Warden_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0319_00_Ranger,Linear_Objective,true,@NPC_DefaultDialogue_0319_00_Ranger_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0320_00_Ranger,Linear_Objective,true,@NPC_DefaultDialogue_0320_00_Ranger_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0321_00_Ranger,Linear_Objective,true,@NPC_DefaultDialogue_0321_00_Ranger_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0322_00_Innkeep,Linear_Objective,true,@NPC_DefaultDialogue_0322_00_Innkeep_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inn,,
0322_01_Innkeep,Linear_Objective,false,@NPC_DefaultDialogue_0322_01_Innkeep_a,,,,,03_Quest_14,,,,,,,,,,,,,,,,,,,,,,,Inn,,
0322_02_Innkeep,Linear_Objective,false,@NPC_DefaultDialogue_0322_02_Innkeep_a,,,,,99C_MSQ_12,,,,,,,,,,,,,,,,,,,,,,,Inn,,
0323_00_Innkeep,Linear_Objective,true,@NPC_DefaultDialogue_0323_00_Innkeep_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inn,,
0323_01a_Innkeep,Linear_Objective,false,@NPC_DefaultDialogue_0323_01a_Innkeep_a,,,,,02_Quest_40,,,,,,,,,,,,,,,,,,,,,,,Inn,,
0323_01_Innkeep,Linear_Objective,false,@NPC_DefaultDialogue_0323_01_Innkeep_a,,,,,03_Quest_14,,,,,,,,,,,,,,,,,,,,,,,Inn,,
0323_02_Innkeep,Linear_Objective,false,@NPC_DefaultDialogue_0323_02_Innkeep_a,,,,,99C_MSQ_12,,,,,,,,,,,,,,,,,,,,,,,Inn,,
0326_00_Prospector,Linear_Objective,true,@NPC_DefaultDialogue_0326_00_Prospector,,,,,,,,,,,,,,,,,,0326_Prospector_talk,,,,,,,,,,Join_Outpost_Rush,,
0330_00_Ranger,Linear_Objective,true,@NPC_DefaultDialogue_0330_00_Ranger_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0330_01_Ranger,Linear_Objective,false,@NPC_DefaultDialogue_0330_01_Ranger_a,,,,,99D_MSQ_06 || 99_MSQ_56,,,0330_0101_asgoodasmyword,,,,,,,,,,,,,,,,,,,,,,
0330_02_Ranger,Linear_Objective,false,@NPC_DefaultDialogue_0330_02_Ranger_a,,,,,03_Quest_16,,,0330_0102_mappingtheedgeofdespair,,,,,,,,,,,,,,,,,,,,,,
0330_03_Ranger,Linear_Objective,false,@NPC_DefaultDialogue_0330_03_Ranger_a,,,,,03_Quest_17,,,0330_0103_pickingupthepieces,,,,,,,,,,,,,,,,,,,,,,
0330_04_Ranger,Linear_Objective,false,@NPC_DefaultDialogue_0330_04_Ranger,,,,,03_Quest_18,,,,,,,,,,,,,,,,,,,,,,,,,
0331_00_Tracker,Linear_Objective,true,@NPC_DefaultDialogue_0331_00_Tracker_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0331_01_Tracker,Linear_Objective,false,@NPC_DefaultDialogue_0331_01_Tracker_a,,,,,99D_MSQ_04 || 99_MSQ_56,,,0331_0101_thebalemawbeast,,,,,,,,,,,,,,,,,,,,,,
0331_02_Tracker,Linear_Objective,false,@NPC_DefaultDialogue_0331_02_Tracker_a,,,,,03_Quest_20,,,0331_0102_wolvesofwinter,,,,,,,,,,,,,,,,,,,,,,
0331_03_Tracker,Linear_Objective,false,@NPC_DefaultDialogue_0331_03_Tracker_a,,,,,03_Quest_21,,,0331_0103_thebeastreturns,,,,,,,,,,,,,,,,,,,,,,
0331_04_Tracker,Linear_Objective,false,@NPC_DefaultDialogue_0331_04_Tracker,,,,,03_Quest_22,,,,,,,,,,,,,,,,,,,,,,,,,
0332_00_Furrier,Linear_Objective,true,@NPC_DefaultDialogue_0332_00_Furrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0332_01_Furrier,Linear_Objective,false,@NPC_DefaultDialogue_0332_01_Furrier,,,,,99D_MSQ_01 || 99_MSQ_56,,,0332_0101_aspotofluxury,,,,,,,,,,,,,,,,,,,,,,
0332_02_Furrier,Linear_Objective,false,@NPC_DefaultDialogue_0332_02_Furrier,,,,,03_Quest_23 && (99D_MSQ_02 || 99_MSQ_56),,,0332_0102_fabulousfurs,,,,,,,,,,,,,,,,,,,,,,
0332_03_Furrier,Linear_Objective,false,@NPC_DefaultDialogue_0332_03_Furrier,,,,,03_Quest_24 && (99D_MSQ_04 || 99_MSQ_56),,,0332_0103_puredelight,,,,,,,,,,,,,,,,,,,,,,
0332_04_Furrier,Linear_Objective,false,@NPC_DefaultDialogue_0332_04_Furrier_a,,,,,03_Quest_25,,,,,,,,,,,,,,,,,,,,,,,,,
0333_00_Arcanist,Linear_Objective,true,@NPC_DefaultDialogue_0333_00_Arcanist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0333_01_Arcanist,Linear_Objective,false,@NPC_DefaultDialogue_0333_01_Arcanist,,,,,99D_MSQ_01 || 99_MSQ_56,,,0333_0101_whiteasbone,,,,,,,,,,,,,,,,,,,,,,
0333_02_Arcanist,Linear_Objective,false,@NPC_DefaultDialogue_0333_02_Arcanist_a,,,,,03_Quest_26 && (99D_MSQ_02 || 99_MSQ_56),,,0333_0102_redasblood,,,,,,,,,,,,,,,,,,,,,,
0333_03_Arcanist,Linear_Objective,false,@NPC_DefaultDialogue_0333_03_Arcanist_a,,,,,03_Quest_27 && (99D_MSQ_04 || 99_MSQ_56),,,0333_0103_blackasebony,,,,,,,,,,,,,,,,,,,,,,
0333_04_Arcanist,Linear_Objective,false,@NPC_DefaultDialogue_0333_04_Arcanist,,,,,03_Quest_28,,,0333_0104_anofferingforoffspring,,,,,,,,,,,,,,,,,,,,,,
0333_05_Arcanist,Linear_Objective,false,@NPC_DefaultDialogue_0333_05_Arcanist_a,,,,,03_Quest_29,,,,,,,,,,,,,,,,,,,,,,,,,
0334_00_Baker,Linear_Objective,true,@NPC_DefaultDialogue_0334_00_Baker_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0334_01_Baker,Linear_Objective,false,@NPC_DefaultDialogue_0334_01_Baker,,,,,99D_MSQ_04 || 99_MSQ_56,,,0334_0101_perfectpiroshkis,,,,,,,,,,,,,,,,,,,,,,
0334_02_Baker,Linear_Objective,false,@NPC_DefaultDialogue_0334_02_Baker_a,,,,,03_Quest_30 && (99D_MSQ_08 || 99_MSQ_56),,,0334_0102_towarmthesoulwardens,,,,,,,,,,,,,,,,,,,,,,
0334_03_Baker,Linear_Objective,false,@NPC_DefaultDialogue_0334_03_Baker,,,,,03_Quest_31,,,,,,,,,,,,,,,,,,,,,,,,,
0335_00_Beast,Linear_Objective,true,@NPC_DefaultDialogue_0335_00_Beast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0335_01_Beast,Linear_Objective,false,@NPC_DefaultDialogue_0335_01_Beast,,,,,99D_MSQ_04 || 99_MSQ_56,0331_0101_thebalemawbeast,0331_0101_d_03_Task_TalkToBeast,,,,,,,,,,,0335_BecomingTheBeast,,,,,,,,,,,,
0335_02_Beast,Linear_Objective,false,@NPC_DefaultDialogue_0335_02_Beast_a,,,,,03_Quest_20,,,,,,,,,,,,,,,,,,,,,,,,,
0335_03_Beast,Linear_Objective,false,@NPC_DefaultDialogue_0335_03_Beast,,,,,03_Quest_21,0331_0103_thebeastreturns,0331_0103_d_03_Task_TalkToBeast,,,,,,,,,,,0335_Attacked,,,,,,,,,,,,
0335_04_Beast,Linear_Objective,false,@NPC_DefaultDialogue_0335_04_Beast,,,,,03_Quest_22,,,,,,,,,,,,,,,,,,,,,,,,,
0336_00_Ranger,Linear_Objective,true,@NPC_DefaultDialogue_0336_00_Ranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
