ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
95A_Grace_03,Linear_Objective,false,@NPC_DefaultDialogue_02a_Grace_alt,,,,,95_s01_05,,,95A_S02_VoicesoftheDesert,,,,,,,,,,,,,,,,,,,,,,
95A_Grace_S02_End,Linear_Objective,false,@NPC_DefaultDialogue_S02_Camp_Grace_End,,,,,95A_Main_05,,,,,,,,,,,,,,,,,,,,,,,,,
95A_Zander_01,Linear_Objective,false,@NPC_DefaultDialogue_01_Zander,,,,,,95A_S02_VoicesoftheDesert,95A_S02_VoicesoftheDesert_TalkToZander,,,,,,,,,,,95A_Zander_Topic01,,,,,,,,,,,,
95A_Zander_S02_End,Linear_Objective,false,@NPC_DefaultDialogue_S02_Camp_Zander_End,,,,,95A_Main_05,,,,,,,,,,,,,,,,,,,,,,,,,
95A_Rima_00,Linear_Objective,true,@NPC_DefaultDialogue_00_Rima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95A_Rima_01,Linear_Objective,false,@NPC_DefaultDialogue_01_Rima,,,,,,95A_S02_VoicesoftheDesert,95A_S02_VoicesoftheDesert_TalkToRima,,,,,,,,,,,95A_Rima_Topic01,,,,,,,,,,,,
95A_Rima_02,Linear_Objective,false,@NPC_DefaultDialogue_02_Rima,,,,,95A_Rima01,,,,,,,,,,,,,,,,,,,,,,,,,
95A_Rima_03,Linear_Objective,false,@NPC_DefaultDialogue_02a_Rima,,,,,,95A_S02_VoicesoftheDesert,95A_S02_VoicesoftheDesert_TalkToRimaSong,,,,,,,,,,,95A_Rima_Topic02,,,,,,,,,,,,
95A_Rima_04,Linear_Objective,false,@NPC_DefaultDialogue_02b_Rima,,,,,95A_Rima02,,,,,,,,,,,,,,,,,,,,,,,,,
95A_Rima_05,Linear_Objective,false,@NPC_DefaultDialogue_02c_Rima,,,,,,95A_S02_VoicesoftheDesert,95A_S02_VoicesoftheDesert_TalkToRimaReturn,,,,,,,,,,,95A_Rima_Topic03,,,,,,,,,,,,
95A_Rima_06,Linear_Objective,false,@NPC_DefaultDialogue_03alt_Rima,,,,,95A_Rima03,,,,,,,,,,,,,,,,,,,,,,,,,
95A_Rima_S02_End,Linear_Objective,true,@NPC_DefaultDialogue_S02_Camp_Rima_End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95A_Phaedra_00,Linear_Objective,true,@NPC_DefaultDialogue_00_Phaedra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95A_Phaedra_01,Linear_Objective,false,@NPC_DefaultDialogue_01_Phaedra,,,,60,,,,95A_T01_RiseoftheBeast,,,,,,,,,,,,,,,,,,,,,,
95A_Phaedra_02,Linear_Objective,false,@NPC_DefaultDialogue_02_Phaedra,,,,,95A_Trial_01,,,95A_T02_RiseoftheHero,,,,,,,,,,,,,,,,,,,,,,
1661_03_Jackal,Linear_Objective,false,@NPC_DefaultDialogue_03_Jackal,,,,,,95A_S02_VoicesoftheDesert,95A_S02_VoicesoftheDesert_TalkToJackal,,,,,,,,,,,95A_Jackal_Topic01,,,,,,,,,,,,
1661_04_Jackal,Linear_Objective,false,@NPC_DefaultDialogue_04_Jackal,,,,,95A_Jackal01,,,,,,,,,,,,,,,,,,,,,,,,,
