ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3,Comment
99D_Yonas_00,Linear_Objective,true,@99D_Yonas_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Yonas_01,Linear_Objective,false,@99D_Yonas_01,,,,,99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56),,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Yonas_02,Linear_Objective,false,@99D_Yonas_02,,,,,99D_MSQ_01,,,99D_MSQ_02_ClimbRuins,,,,,,,,,,,,,,,,,,,,,,,
99D_Yonas_03,Linear_Objective,false,@99D_Yonas_03,,,,,99D_MSQ_02,99D_MSQ_03_ThorpeBackstory,99D_MSQ_03_ThorpeBackstory_talkToYonas,,,,,,,,,,,99D_MSQ_03_Yonas_ThorpeNews,,,,,,,,,,,,,
99D_Yonas_04,Linear_Objective,false,@99D_Yonas_04,,,,,99D_MSQ_02 && 99D_Unlock_ThorpeCinematic,,,,,,,,,,,,,99D_MSQ_03_Yonas_Tempest,,,,,,,,,,,,,
99D_Yonas_05,Linear_Objective,false,@99D_Yonas_05,,,,,99D_MSQ_03,,,99D_MSQ_04_DestroyMines,,,,,,,,,,99D_MSQ_03_Yonas_Tempest,,,,,,,,,,,,,
99D_Yonas_06,Linear_Objective,false,@99D_Yonas_06,,,,,99D_MSQ_03,99D_MSQ_04_DestroyMines,99D_MSQ_04_DestroyMines_GoToPOI,,,,,,,,,,,99D_MSQ_03_Yonas_Tempest,,,,,,,,,,,,,
99D_Yonas_07,Linear_Objective,false,@99D_Yonas_07,,,,,99D_MSQ_04,,,99D_MSQ_05_CrossBridge,,,,,,,,,,,,,,,,,,,,,,,
99D_Yonas_08,Linear_Objective,false,@99D_Yonas_08,,,,,99D_MSQ_05,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Yonas_09,Linear_Objective,false,@99D_Yonas_09,,,,,99D_MSQ_06,,,99D_MSQ_07_PortalFight,,,,,,,,,,,,,,,,,,,,,,,
99D_Yonas_10,Linear_Objective,false,@99D_Yonas_10,,,,,99D_MSQ_06,99D_MSQ_07_PortalFight,99D_MSQ_07_PortalFight_talkToWardenD,,,,,,,,,,,,,,,,,,,,,,,,
99D_Yonas_11,Linear_Objective,false,@99D_Yonas_11,,,,,99D_MSQ_07,,,99D_MSQ_08_ThorpeFight,,,,,,,,,,,,,,,,,,,,,,,
99D_Yonas_12,Linear_Objective,false,@99D_Yonas_12,,,,,99D_MSQ_08,99D_MSQ_09_Outpost,99D_MSQ_09_Outpost_TalktoYonas,,,,,,,,,,,99D_MSQ_09_Yonas_Medicine,,,,,,,,,,,,,
