ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
0307_00_Commander,Linear_Objective,true,@NPC_DefaultDialogue_0307_00_Commander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0307_01_Commander,Linear_Objective,false,@NPC_DefaultDialogue_0307_01_Commander,Marauder,,39,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0307_01pre_Commander,Linear_Objective,false,@NPC_DefaultDialogue_0307_01pre_Commander,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308_00_Alchemist,Linear_Objective,true,@NPC_DefaultDialogue_0308_00_Alchemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0308_01_Alchemist,Linear_Objective,false,@NPC_DefaultDialogue_0308_01_Alchemist,Syndicate,,39,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0308_01pre_Alchemist,Linear_Objective,false,@NPC_DefaultDialogue_0308_01pre_Alchemist,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309_00_Adjudicator,Linear_Objective,true,@NPC_DefaultDialogue_0308_00_Adjudicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309_01_Adjudicator,Linear_Objective,false,@NPC_DefaultDialogue_0308_01_Adjudicator,Covenant,,39,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0309_01pre_Adjudicator,Linear_Objective,false,@NPC_DefaultDialogue_0308_01pre_Adjudicator,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309_02_Adjudicator,Linear_Objective,false,@NPC_DefaultDialogue_0308_02_Adjudicator,Covenant,Covenant 2 26000,39,covenant_faction_quest_01b,,,98_C_02_soulsalvation,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0309_02pre_Adjudicator,Linear_Objective,false,@NPC_DefaultDialogue_0308_02pre_Adjudicator,Covenant,Covenant 2 26000,,covenant_faction_quest_01b,,,98_C_02_soulsalvation,,,,,,,,,,,,,,,,,,,,,,
