ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
0402a_Magistrate_00,Linear_Objective,true,@0402a_Magistrate_INIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0402a_Magistrate_02,Linear_Objective,false,@0402a_Magistrate_Comment_Rumors,,,,99A_MSQ_02,,,,,,,,,,,,,,,,,,,,,,,,,
0402a_Magistrate_03,Linear_Objective,false,@0402a_Magistrate_Comment_SeekingAdiana,,,,99A_MSQ_03,,,,,,,,,,,,,,,,,,,,,,,,,
0402a_Magistrate_04,Linear_Objective,false,@0402a_Magistrate_Comment_ReturnStaff,,,,99_MSQ_19a,,,,,,,,,,,,,,,,,,,,,,,,,
0402a_Magistrate_05,Linear_Objective,false,@0402a_Magistrate_Comment_UseStaff,,,,99_MSQ_20,,,,,,,,,,,,,,,,,,,,,,,,,
0402a_Magistrate_TaskTopic_ChooseInstrument,Linear_Objective,false,@0402a_Magistrate_TaskTopic_ChooseInstrument,,,,,04A_Side05_01_ChooseInstrument,04A_Side05_01_01A_TalkToMagistrate,,,,,,,,,,,0402a_Magistrate_TaskTopic_ChooseInstrument,,,,,,,,,,,,
0402a_Magistrate_TaskConversation_PlayForTown,Linear_Objective,false,@0402a_Magistrate_TaskConversation_PlayForTown,,,,,04A_Side05_02_PlayForTown,04A_Side05_02_01_TalkToMagistrate,,,,,,,,,,,,,,,,,,,,,,,
0402a_Magistrate_TaskTopic_PlayForTown,Linear_Objective,false,@0402a_Magistrate_TaskTopic_PlayForTown,,,,,04A_Side05_02_PlayForTown,04A_Side05_02_01_TalkToMagistrate_02,,,,,,,,,,,0402a_Magistrate_TaskTopic_PlayForTown,,,,,,,,,,,,
0402a_04A_Magistrate_TaskTopic_ReturnStaff,Linear_Objective,false,@0402a_Magistrate_TaskTopic_ReturnStaff,,,,,99A_MSQ_12_ReturnStaff,99A_MSQ_12_02a_TalkToMagistrate,,,,,,,,,,,0402a_Magistrate_TaskTopic_ReturnStaff,,,,,,,,,,,,
0403a_00_HuntsmanLee,Linear_Objective,true,@NPC_DefaultDialogue_0403a_00_HuntsmanLee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0403a_01_HuntsmanLee,Linear_Objective,false,@0403a_00_HuntsmanLee_OfferFineFurs,,,,04A_Side01_01,,,04A_Side01_02_NiceFurs,,,,,,,,,,,,,,,,,,,,,,
0403a_02_HuntsmanLee,Linear_Objective,false,@0403a_00_HuntsmanLee_Comment_FineFurs,,,,04A_Side01_02,,,,,,,,,,,,,,,,,,,,,,,,,
0403a_Huntsman_TaskTopic_DeliverPotions,Linear_Objective,false,@04A_Side08_03_DeliverPotions_TalkTo_Odnell,,,,,04A_Side08_03_DeliverPotions,04A_Side08_03_03C_TalkToOdnell,,,,,,,,,,,0403a_Huntsman_TaskTopic_DeliverPotions,,,,,,,,,,,,
0403a_01A_HuntsmanLee_TaskTopic_Adiana,Linear_Objective,false,@0403a_00_HuntsmanLee_TaskTopic_Adiana,,,,,99A_MSQ_04_ToAdiana,99A_MSQ_04_02a_TalkToLee,,,,,,,,,,,0403a_Huntsman_TaskTopic_AskAboutAdiana,,,,,,,,,,,,
0404a_Constable_00,Linear_Objective,true,@0404a_Constable_INIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0404a_Constable_02,Linear_Objective,false,@0404a_Constable_Comment_Rumors,,,,99A_MSQ_02,,,,,,,,,,,,,,,,,,,,,,,,,
0404a_Constable_03,Linear_Objective,false,@0404a_Constable_Comment_SeekingAdiana,,,,99A_MSQ_03,,,,,,,,,,,,,,,,,,,,,,,,,
