ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
9401_00_Horse,Linear_Objective,true,@9401_JochiKhan_00_Dialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401_01_Horse,Linear_Objective,false,@9401_JochiKhan_01_Dialogue,,,,25,Expansion_2023_Unlock,,,9401_BefriendHorse,,,,,,,,,,,,,,,,,,,,Expansion_Modal,,
9401_01c_Horse,Linear_Objective,false,@9401_JochiKhan_01_Dialogue,,,,25,!Expansion_2023_Unlock,,,,,,,,,,,,,,,,,,,,,,,,,
9401_01b_Horse,Linear_Objective,false,@9401_JochiKhan_01b_Dialogue,,,,25,MountType_Unlock_Horse,,,EF_Tour_0,,,,,,,,,,,,,,,,,,,,,,
9401_02_Horse,Linear_Objective,false,@9401_TutorialFood_00,,,,,EF_Tour_0_Complete && Expansion_2023_Unlock,,,9401_TutorialFood,,,,,,,,,,,,,,,,,,,,,,
9401_03_Horse,Linear_Objective,false,@9401_JochiKhan_EFCircuit_Default,,,,,9401_TutorialComplete && Expansion_2023_Unlock,,,9401_Races,,,,,,,,,,,,,,,,,,,,Horse_Store,Inn,
9401_04_Horse,Linear_Objective,false,@9401_JochiKhan_02_Dialogue,,,,,9401_T1_5_Races_Complete && Expansion_2023_Unlock,,,9401_VectorWF,,,,,,,,,,,,,,,,,,,,Horse_Store,Inn,
9401_05_Horse,Linear_Objective,false,@9401_JochiKhan_03_Dialogue,,,,,9401_VectorWF_Complete,,,,,,,,,,,,,,,,,,,,,,,Horse_Store,Inn,
9401_06_Horse,Linear_Objective,false,@9401_JochiKhan_00_Dialogue,,,,,!Expansion_2023_Unlock,,,,,,,,,,,,,,,,,,,,,,,Expansion_Modal,,
9402_00_Conman,Linear_Objective,true,@9402_FranciosDeLaRama_00_Dialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9402_01_Conman,Linear_Objective,false,@9402_FranciosDeLaRama_01_Dialogue,,,,25,9401_VectorWF_Complete && Expansion_2023_Unlock,,,9402_Races,,,,,,,,,,,,,,,,,,,,,Inn,
9402_02_Conman,Linear_Objective,false,@9402_FranciosDeLaRama_01b_Dialogue,,,,,9402_T2_10_Races_Complete && Expansion_2023_Unlock,,,9403_VectorWolves,,,,,,,,,,,,,,,,,,,,,Inn,
9402_03_Conman,Linear_Objective,false,@9402_FranciosDeLaRama_02_Dialogue,,,,,9403_VectorWolves_Complete,,,,,,,,,,,,,9402_GoTo_Francois_Topic,,,,,,,,,,,Inn,
9403_00_Wolf,Linear_Objective,true,@9403_ValenciaIznov_00_Dialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9403_01_Wolf,Linear_Objective,false,@9403_ValenciaIznov_Start_Dialogue,,,,25,9403_VectorWolves_Complete && Expansion_2023_Unlock,,,9403_FreeWolves,,,,,,,,,,,,,,,,,,,,,,
9403_02_Wolf,Linear_Objective,false,@9403_ValenciaIznov_04_Dialogue,,,,,9403_FreeWolves_complete,,,9403_Races,,,,,,,,,,,,,,,,,,,,Wolf_Store,Inn,
9403_03_Wolf,Linear_Objective,false,@9403_ValenciaIznov_02a_Dialogue,,,,,9403_T3_15_Races_Complete,,,9403_VectorBS,,,,,,,,,,,,,,,,,,,,Wolf_Store,Inn,
9403_04_Wolf,Linear_Objective,false,@9403_ValenciaIznov_03_Dialogue,,,,,9403_VectorBS_Complete,,,,,,,,,,,,,9403_Hint,,,,,,,,,,Wolf_Store,Inn,
9404_00_Record,Linear_Objective,true,@9404_SatiahRahmotep_00_Dialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9404_01_Record,Linear_Objective,false,@9404_SatiahRahmotep_01_Dialogue,,,,1,9403_VectorBS_Complete && Expansion_2023_Unlock,,,9404_Races,,,,,,,,,,,,,,,,,,,,,Inn,
9404_02_Record,Linear_Objective,false,@9404_SatiahRahmotep_02_Dialogue,,,,,9404_T4_15_Races_Complete,,,9403_VectorLions,,,,,,,,,,,,,,,,,,,,,Inn,
9404_03_Record,Linear_Objective,false,@9404_SatiahRahmotep_03_Dialogue,,,,1,9403_VectorLions_Complete,,,,,,,,,,,,,,,,,,,,,,,,Inn,
9405_00_Lion,Linear_Objective,true,@9405_Zinnumun_00_Dialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9405_01_Lion,Linear_Objective,false,@9405_Zinnumun_01_Dialogue,,,,1,Expansion_2023_Unlock,,,9405_RescueLion,,,,,,,,,,,,,,,,,,,,,,
9405_02_Lion,Linear_Objective,false,@9405_Zinnumun_Start_Races,,,,,9405_RescueLion_complete,,,9405_Races,,,,,,,,,,,,,,,,,,,,Lion_Store,Inn,
9405_03_Lion,Linear_Objective,false,@9405_Zinnumun_Start_Races,,,,,9405_T5_15_Races_Complete,,,,,,,,,,,,,9405_Hint,,,,,,,,,,Lion_Store,Inn,
9401_00_FirstHorse,Linear_Objective,true,@9401_FirstHorse_00_Dialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401_01_FirstHorse,Linear_Objective,false,@9401_FirstHorse_01_Dialogue,,,,1,,9401_BefriendHorse,9401_HorseTalkStep,,,,,,,,,,,9401_HorseTalk,,,,,,,,,,,,
9405_00_FirstLion,Linear_Objective,true,@9405_Kaluru_02_Dialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9405_01_FirstLion,Linear_Objective,false,@9405_Kaluru_00_Dialogue,,,,,,9405_RescueLion,9405_LionTalkStep,,,,,,,,,,,9405_LionTalk,,,,,,,,,,,,
9405_02_FirstLion,Linear_Objective,false,@9405_Kaluru_01_Dialogue,,,,,9405_RescueLion_complete,,,,,,,,,,,,,,,,,,,,,,,,,
9403_00_FirstWolf,Linear_Objective,true,@9403_FirstWolf_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401_00_EF_Tour_1,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401_01_EF_Tour_1,Linear_Objective,false,@9401_Tour_1_proposal,,,,,9401_TutorialComplete,,,EF_Tour_1,,,,,,,,,,,,,,,,,,,,,,
9401_00_EF_Tour_2,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401_01_EF_Tour_2,Linear_Objective,false,@9401_Tour_2_proposal,,,,,9401_TutorialComplete,,,EF_Tour_2,,,,,,,,,,,,,,,,,,,,,,
9401_00_EF_Tour_3,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401_01_EF_Tour_3,Linear_Objective,false,@9401_Tour_3_proposal,,,,,9401_TutorialComplete,,,EF_Tour_3,,,,,,,,,,,,,,,,,,,,,,
9401_00_EF_Rally_1,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9401_01_EF_Rally_1,Linear_Objective,false,@9401_Rally_1_proposal,,,,,9401_TutorialComplete,,,EF_Rally_1,,,,,,,,,,,,,,,,,,,,,,
9401_00_EF_Rally_2,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
