ContentId,SubtitleText,BodyText,KeyboardButtonDisplayOverride,ImagePath,IconPath
WeaponLifeStaff1Prompt_01,@tutorial_tutorial_available,@tutorial_lifestaff1_01_prompt_body,,,
WeaponLifeStaff1Dialogue_01,@tutorial_lifestaff1_01_subtitle,@tutorial_lifestaff1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponLifeStaff2Prompt_01,@tutorial_tutorial_available,@tutorial_lifestaff2_01_prompt_body,,,
WeaponLifeStaff2Dialogue_01,@tutorial_lifestaff2_01_subtitle,@tutorial_lifestaff2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponLifeStaff3Prompt_01,@tutorial_tutorial_available,@tutorial_lifestaff3_01_prompt_body,,,
WeaponLifeStaff3Dialogue_01,@tutorial_lifestaff3_01_subtitle,@tutorial_lifestaff3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponLifeStaff4Prompt_01,@tutorial_tutorial_available,@tutorial_lifestaff4_01_prompt_body,,,
WeaponLifeStaff4Dialogue_01,@tutorial_lifestaff4_01_subtitle,@tutorial_lifestaff4_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponFireStaff1Prompt_01,@tutorial_tutorial_available,@tutorial_firestaff1_01_prompt_body,,,
WeaponFireStaff1Dialogue_01,@tutorial_firestaff1_01_subtitle,@tutorial_firestaff1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponFireStaff2Prompt_01,@tutorial_tutorial_available,@tutorial_firestaff2_01_prompt_body,,,
WeaponFireStaff2Dialogue_01,@tutorial_firestaff2_01_subtitle,@tutorial_firestaff2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponFireStaff3Prompt_01,@tutorial_tutorial_available,@tutorial_firestaff3_01_prompt_body,,,
WeaponFireStaff3Dialogue_01,@tutorial_firestaff3_01_subtitle,@tutorial_firestaff3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponIceGauntlet1Prompt_01,@tutorial_tutorial_available,@tutorial_icegauntlet1_01_prompt_body,,,
WeaponIceGauntlet1Dialogue_01,@tutorial_icegauntlet1_01_subtitle,@tutorial_icegauntlet1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponIceGauntlet2Prompt_01,@tutorial_tutorial_available,@tutorial_icegauntlet2_01_prompt_body,,,
WeaponIceGauntlet2Dialogue_01,@tutorial_icegauntlet2_01_subtitle,@tutorial_icegauntlet2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponIceGauntlet3Prompt_01,@tutorial_tutorial_available,@tutorial_icegauntlet3_01_prompt_body,,,
WeaponIceGauntlet3Dialogue_01,@tutorial_icegauntlet3_01_subtitle,@tutorial_icegauntlet3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponVoidGauntlet1Prompt_01,@tutorial_tutorial_available,@tutorial_voidgauntlet1_01_prompt_body,,,
WeaponVoidGauntlet1Dialogue_01,@tutorial_voidgauntlet1_01_subtitle,@tutorial_voidgauntlet1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponVoidGauntlet2Prompt_01,@tutorial_tutorial_available,@tutorial_voidgauntlet2_01_prompt_body,,,
