Rank,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,AvailableProgressionPoint1,AvailableProgressionPoint2,AvailableProgressionPoint3,AvailableProgressionPoint4
0,,0,1,0,0,,,,,,
1,,0,1,1,0,true,,,,,
2,,0,1,1,0,true,,,,,
3,,0,1,1,0,true,,,,,
4,,0,1,1,0,true,,,,,
5,,0,1,1,0,true,,,,,
6,,0,1,1,0,true,,,,,
7,,0,1,1,0,true,,,,,
8,,0,1,1,0,true,,,,,
9,,0,1,1,0,true,,,,,
10,,0,1,1,0,true,,,,,
11,,0,1,1,0,true,,,,,
12,,0,1,1,0,true,,,,,
13,,0,1,1,0,true,,,,,
14,,0,1,1,0,true,,,,,
15,,0,1,1,0,true,,,,,
16,,0,1,1,0,true,,,,,
17,,0,1,1,0,true,,,,,
18,,0,1,1,0,true,,,,,
19,,0,1,1,0,true,,,,,
20,,0,1,1,0,true,,,,,
21,,0,1,1,0,true,,,,,
22,,0,1,1,0,true,,,,,
23,,0,1,1,0,true,,,,,
24,,0,1,1,0,true,,,,,
25,,0,1,1,0,true,,,,,
26,,0,1,1,0,true,,,,,
27,,0,1,1,0,true,,,,,
28,,0,1,1,0,true,,,,,
29,,0,1,1,0,true,,,,,
30,,0,1,1,0,true,,,,,
31,,0,1,1,0,true,,,,,
32,,0,1,1,0,true,,,,,
33,,0,1,1,0,true,,,,,
34,,0,1,1,0,true,,,,,
35,,0,1,1,0,true,,,,,
36,,0,1,1,0,true,,,,,
37,,0,1,1,0,true,,,,,
38,,0,1,1,0,true,,,,,
39,,0,1,1,0,true,,,,,
40,,0,1,1,0,true,,,,,
41,,0,1,1,0,true,,,,,
42,,0,1,1,0,true,,,,,
43,,0,1,1,0,true,,,,,
44,,0,1,1,0,true,,,,,
45,,0,1,1,0,true,,,,,
46,,0,1,1,0,true,,,,,
47,,0,1,1,0,true,,,,,
48,,0,1,1,0,true,,,,,
49,,0,1,1,0,true,,,,,
50,,0,1,1,0,true,,,,,
51,,0,1,1,0,true,,,,,
52,,0,1,1,0,true,,,,,
53,,0,1,1,0,true,,,,,
54,,0,1,1,0,true,,,,,
55,,0,1,1,0,true,,,,,
56,,0,1,1,0,true,,,,,
57,,0,1,1,0,true,,,,,
58,,0,1,1,0,true,,,,,
59,,0,1,1,0,true,,,,,
60,,0,1,1,0,true,,,,,
61,,0,1,1,0,true,,,,,
62,,0,1,1,0,true,,,,,
63,,0,1,1,0,true,,,,,
64,,0,1,1,0,true,,,,,
65,,0,1,1,0,true,,,,,
66,,0,1,1,0,true,,,,,
67,,0,1,1,0,true,,,,,
68,,0,1,1,0,true,,,,,
69,,0,1,1,0,true,,,,,
70,,0,1,1,0,true,,,,,
71,,0,1,1,0,true,,,,,
72,,0,1,1,0,true,,,,,
73,,0,1,1,0,true,,,,,
74,,0,1,1,0,true,,,,,
75,,0,1,1,0,true,,,,,
76,,0,1,1,0,true,,,,,
77,,0,1,1,0,true,,,,,
78,,0,1,1,0,true,,,,,
79,,0,1,1,0,true,,,,,
80,,0,1,1,0,true,,,,,
81,,0,1,1,0,true,,,,,
82,,0,1,1,0,true,,,,,
83,,0,1,1,0,true,,,,,
84,,0,1,1,0,true,,,,,
85,,0,1,1,0,true,,,,,
86,,0,1,1,0,true,,,,,
87,,0,1,1,0,true,,,,,
88,,0,1,1,0,true,,,,,
89,,0,1,1,0,true,,,,,
90,,0,1,1,0,true,,,,,
91,,0,1,1,0,true,,,,,
92,,0,1,1,0,true,,,,,
93,,0,1,1,0,true,,,,,
94,,0,1,1,0,true,,,,,
95,,0,1,1,0,true,,,,,
96,,0,1,1,0,true,,,,,
97,,0,1,1,0,true,,,,,
98,,0,1,1,0,true,,,,,
99,,0,1,1,0,true,,,,,
100,,0,1,1,0,true,,,,,
101,,0,1,1,0,true,,,,,
102,,0,1,1,0,true,,,,,
103,,0,1,1,0,true,,,,,
104,,0,1,1,0,true,,,,,
105,,0,1,1,0,true,,,,,
106,,0,1,1,0,true,,,,,
107,,0,1,1,0,true,,,,,
108,,0,1,1,0,true,,,,,
109,,0,1,1,0,true,,,,,
110,,0,1,1,0,true,,,,,
111,,0,1,1,0,true,,,,,
112,,0,1,1,0,true,,,,,
113,,0,1,1,0,true,,,,,
114,,0,1,1,0,true,,,,,
115,,0,1,1,0,true,,,,,
116,,0,1,1,0,true,,,,,
117,,0,1,1,0,true,,,,,
118,,0,1,1,0,true,,,,,
119,,0,1,1,0,true,,,,,
120,,0,1,1,0,true,,,,,
121,,0,1,1,0,true,,,,,
122,,0,1,1,0,true,,,,,
123,,0,1,1,0,true,,,,,
124,,0,1,1,0,true,,,,,
125,,0,1,1,0,true,,,,,
126,,0,1,1,0,true,,,,,
127,,0,1,1,0,true,,,,,
128,,0,1,1,0,true,,,,,
129,,0,1,1,0,true,,,,,
130,,0,1,1,0,true,,,,,
131,,0,1,1,0,true,,,,,
132,,0,1,1,0,true,,,,,
133,,0,1,1,0,true,,,,,
134,,0,1,1,0,true,,,,,
135,,0,1,1,0,true,,,,,
136,,0,1,1,0,true,,,,,
137,,0,1,1,0,true,,,,,
138,,0,1,1,0,true,,,,,
139,,0,1,1,0,true,,,,,
140,,0,1,1,0,true,,,,,
141,,0,1,1,0,true,,,,,
142,,0,1,1,0,true,,,,,
143,,0,1,1,0,true,,,,,
144,,0,1,1,0,true,,,,,
145,,0,1,1,0,true,,,,,
146,,0,1,1,0,true,,,,,
147,,0,1,1,0,true,,,,,
148,,0,1,1,0,true,,,,,
149,,0,1,1,0,true,,,,,
150,,0,1,1,0,true,,,,,
151,,0,1,1,0,true,,,,,
152,,0,1,1,0,true,,,,,
153,,0,1,1,0,true,,,,,
154,,0,1,1,0,true,,,,,
155,,0,1,1,0,true,,,,,
156,,0,1,1,0,true,,,,,
157,,0,1,1,0,true,,,,,
158,,0,1,1,0,true,,,,,
159,,0,1,1,0,true,,,,,
160,,0,1,1,0,true,,,,,
161,,0,1,1,0,true,,,,,
162,,0,1,1,0,true,,,,,
163,,0,1,1,0,true,,,,,
164,,0,1,1,0,true,,,,,
165,,0,1,1,0,true,,,,,
166,,0,1,1,0,true,,,,,
167,,0,1,1,0,true,,,,,
168,,0,1,1,0,true,,,,,
169,,0,1,1,0,true,,,,,
170,,0,1,1,0,true,,,,,
171,,0,1,1,0,true,,,,,
172,,0,1,1,0,true,,,,,
173,,0,1,1,0,true,,,,,
174,,0,1,1,0,true,,,,,
175,,0,1,1,0,true,,,,,
176,,0,1,1,0,true,,,,,
177,,0,1,1,0,true,,,,,
178,,0,1,1,0,true,,,,,
179,,0,1,1,0,true,,,,,
180,,0,1,1,0,true,,,,,
181,,0,1,1,0,true,,,,,
182,,0,1,1,0,true,,,,,
183,,0,1,1,0,true,,,,,
184,,0,1,1,0,true,,,,,
185,,0,1,1,0,true,,,,,
186,,0,1,1,0,true,,,,,
187,,0,1,1,0,true,,,,,
188,,0,1,1,0,true,,,,,
189,,0,1,1,0,true,,,,,
190,,0,1,1,0,true,,,,,
191,,0,1,1,0,true,,,,,
192,,0,1,1,0,true,,,,,
193,,0,1,1,0,true,,,,,
194,,0,1,1,0,true,,,,,
195,,0,1,1,0,true,,,,,
196,,0,1,1,0,true,,,,,
197,,0,1,1,0,true,,,,,
198,,0,1,1,0,true,,,,,
199,,0,1,1,0,true,,,,,
200,,0,1,1,0,true,,,,,
201,,0,1,1,0,true,,,,,
202,,0,1,1,0,true,,,,,
203,,0,1,1,0,true,,,,,
204,,0,1,1,0,true,,,,,
205,,0,1,1,0,true,,,,,
206,,0,1,1,0,true,,,,,
207,,0,1,1,0,true,,,,,
208,,0,1,1,0,true,,,,,
209,,0,1,1,0,true,,,,,
210,,0,1,1,0,true,,,,,
211,,0,1,1,0,true,,,,,
212,,0,1,1,0,true,,,,,
213,,0,1,1,0,true,,,,,
214,,0,1,1,0,true,,,,,
215,,0,1,1,0,true,,,,,
216,,0,1,1,0,true,,,,,
217,,0,1,1,0,true,,,,,
218,,0,1,1,0,true,,,,,
219,,0,1,1,0,true,,,,,
220,,0,1,1,0,true,,,,,
221,,0,1,1,0,true,,,,,
222,,0,1,1,0,true,,,,,
223,,0,1,1,0,true,,,,,
224,,0,1,1,0,true,,,,,
225,,0,1,1,0,true,,,,,
226,,0,1,1,0,true,,,,,
227,,0,1,1,0,true,,,,,
228,,0,1,1,0,true,,,,,
229,,0,1,1,0,true,,,,,
230,,0,1,1,0,true,,,,,
231,,0,1,1,0,true,,,,,
232,,0,1,1,0,true,,,,,
233,,0,1,1,0,true,,,,,
234,,0,1,1,0,true,,,,,
235,,0,1,1,0,true,,,,,
236,,0,1,1,0,true,,,,,
237,,0,1,1,0,true,,,,,
238,,0,1,1,0,true,,,,,
239,,0,1,1,0,true,,,,,
240,,0,1,1,0,true,,,,,
241,,0,1,1,0,true,,,,,
242,,0,1,1,0,true,,,,,
243,,0,1,1,0,true,,,,,
244,,0,1,1,0,true,,,,,
245,,0,1,1,0,true,,,,,
246,,0,1,1,0,true,,,,,
247,,0,1,1,0,true,,,,,
248,,0,1,1,0,true,,,,,
249,,0,1,1,0,true,,,,,
250,,0,1,1,0,true,,,,,
251,,0,1,1,0,true,,,,,
252,,0,1,1,0,true,,,,,
