Effect Name,Group,Priority Within Group,Max Number,Priority,Constants
_LOCAL_PLAYER_FACTOR,0,0,0,0,10
_MAX_TOTAL_NUMBER_EMITTERS,0,0,0,0,1000
_MAX_TOTAL_GROUP_NUMBER_EMITTERS,0,0,0,0,100
cFX_Impacts.BLOOD.Blunt_MD_01,Impact_Chr,3,20,73,
cFX_Impacts.BLOOD.Blunt_LG_01,Impact_Chr,3,20,73,
cFX_Impacts.BLOOD.Slash_MD_01,Impact_Chr,3,20,73,
cFX_Impacts.BLOOD.Slash_LG_01,Impact_Chr,3,20,73,
cFX_Impacts.BLOOD.Projectile_MD_01,Impact_Chr,3,20,73,
cFX_Impacts.BLOOD.Projectile_LG_01,Impact_Chr,3,20,73,
cFX_Impacts.BLOOD.Critical_Headshot_01,Impact_Chr,4,20,74,
cFX_Impacts.BLOCK.Default_01,Impact_Chr,2,10,72,
cFX_Impacts.BLOCK.Shield_01,Impact_Chr,2,10,72,
cFX_Impacts.CRIT.base_MD,Impact_Chr,4,20,74,
cFX_Impacts.BLOOD.Impact_Slash_Omni,Impact_Chr,3,20,73,
cFX_Impacts.BLOOD.Impact_Slash_Trail,Impact_Chr,1,20,71,
cFX_Impacts.BLOOD.Impact_Blunt_Omni,Impact_Chr,3,20,73,
cFX_Impacts.BLOOD.Impact_Blunt_Trail,Impact_Chr,1,20,71,
cFX_Impacts.CRIT.base_MD_cfx_addon,Impact_Chr,2,20,72,
cFX_Impacts_Armor.Impact_Slash,Impact_Chr,1,5,71,
cFX_Impacts_Armor.Impact_Blunt,Impact_Chr,1,5,71,
cFX_Impacts_Armor.Impact_Projectile,Impact_Chr,1,5,71,
wFX_FireStaff_Base.Proj_Impact,Impact_Chr,2,5,72,
wFX_FireStaff_Base.Proj_NoHit,Impact_Chr,1,5,71,
wFX_FireStaff_FlameSummoner.Siege_Impact,Impact_Chr,2,3,72,
wFX_GreatAxe_Reaper.GravWell_Impact,Impact_Chr,2,5,72,
wFX_IceGaunt_Base.Proj_Impact,Impact_Chr,2,5,72,
wFX_IceGaunt_Base.Proj_Impact_Heavy,Impact_Chr,2,5,72,
wFX_IceGaunt_Base.Proj_NoHit,Impact_Chr,1,5,71,
wFX_IceGaunt_Builder.Entombed_Dmg,Impact_Chr,1,5,71,
wFX_LifeStaff_Base.Proj_Impact,Impact_Chr,2,3,72,
wFX_LifeStaff_Base.Proj_Impact_Env,Impact_Chr,1,3,71,
wFX_LifeStaff_Protector.Protection_Impact,Impact_Chr,1,5,71,
wFX_Spear_Zoner.Javelin_Impact,Impact_Chr,2,5,72,
wFX_VoidGaunt_Base.Proj_Impact,Impact_Chr,2,5,72,
wFX_VoidGaunt_Base.Proj_Impact_Heavy,Impact_Chr,2,5,72,
wFX_VoidGaunt_Base.Proj_Impact_No_Hit,Impact_Chr,2,5,72,
wFX_VoidGaunt_Annihilation.Blade_Impact,Impact_Chr,2,5,72,
wFX_VoidGaunt_Decay.Rupture_Impact,Impact_Chr,2,5,72,
wFX_Blunderbuss_Containment.Net_Impact_Air_Barbed,Impact_Chr,2,5,72,
wFX_Blunderbuss_Containment.Net_Impact_Air,Impact_Chr,2,5,72,
wFX_Blunderbuss_Containment.Net_Impact_Char_Flash,Impact_Chr,2,5,72,
wFX_Blunderbuss_Containment.Net_Impact_Char_Swirl_Sm,Impact_Chr,2,5,72,
wFX_Blunderbuss_Containment.Net_Impact_Char_Hld_Sm,Impact_Chr,2,5,72,
wFX_Blunderbuss_Containment.Claw_Impact_Chr,Impact_Chr,2,5,72,
wFX_Blunderbuss_Containment.Shrapnel_Impact_Hit,Impact_Chr,2,5,72,
cFX_Impacts_ENV.CORRUPTCORE.MD_01,Impact_Env,5,5,5,
cFX_Impacts_ENV.CORRUPTCORE.LG_01,Impact_Env,5,5,5,
cFX_Impacts_ENV.DIRT.MD_01,Impact_Env,4,5,4,
cFX_Impacts_ENV.DIRT.LG_01,Impact_Env,4,5,4,
cFX_Impacts_ENV.FABRIC.MD_01,Impact_Env,4,5,4,
cFX_Impacts_ENV.METAL.MD_01,Impact_Env,2,5,2,
cFX_Impacts_ENV.METAL.LG_01,Impact_Env,2,5,2,
cFX_Impacts_ENV.SAND.LG_01,Impact_Env,4,5,4,
cFX_Impacts_ENV.STONE.MD_01,Impact_Env,4,5,4,
cFX_Impacts_ENV.STONE.LG_01,Impact_Env,4,5,4,
cFX_Impacts_ENV.WATER.MD_01,Impact_Env,2,5,2,
cFX_Impacts_ENV.WATER.LG_01,Impact_Env,2,5,2,
cFX_Impacts_ENV.WOOD.MD_01,Impact_Env,4,5,4,
cFX_Impacts_ENV.WOOD.LG_01,Impact_Env,4,5,4,
wFX_Warhammer_Impacts.DIRT.SM_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.DIRT.MD_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.DIRT.MD_02,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.DIRT.LG_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.DIRT.LG_02,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.MUD.SM_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.MUD.MD_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.MUD.LG_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.MUD.LG_02,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.SAND.SM_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.SAND.MD_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.SAND.LG_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.SAND.LG_02,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.STONE.SM_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.STONE.MD_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.STONE.LG_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.WATER.SM_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.WATER.MD_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.WATER.LG_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.WOOD.SM_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.WOOD.MD_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.WOOD.LG_01,Impact_Env,1,2,1,
wFX_Warhammer_Impacts.WOOD.LG_02,Impact_Env,1,2,1,
wfx_GreatSword.Onslaught.DefenseBreak.Default.WeaponDecalTell,impact_Env,2,3,1,
wFX_Blunderbuss_Containment.Net_Impact_Env,Impact_Env,1,2,1,
wFX_Blunderbuss_Containment.Net_Impact_Barbed_Env,Impact_Env,1,2,1,
wFX_Blunderbuss_Containment.Claw_Impact_Air,Impact_Env,1,2,1,
wFX_Blunderbuss_Containment.Claw_Impact_Env,Impact_Env,1,2,1,
wFX_Blunderbuss_Containment.Shrapnel_Impact_Env,Impact_Env,1,2,1,
wFX_Blunderbuss_Containment.Shrapnel_Impact_NoHit,Impact_Env,1,2,1,
cFX_Players.States.GRIT.Energy_01,GRIT,5,10,84,
cFX_Players.States.GRIT.Energy_02,GRIT,5,10,84,
cFX_Players.States.GRIT.Energy_Embers,GRIT,1,3,80,
cFX_Players.States.GRIT.Energy_Bust_01,GRIT,2,5,81,
cFX_Players.States.GRIT.Energy_01b,GRIT,5,10,84,
cFX_Players.States.GRIT.Energy_02b,GRIT,5,10,84,
cFX_GRIT.npc.Wolf_01,GRIT,3,6,82,
cFX_GRIT.npc.Wolf_02,GRIT,3,6,82,
cFX_Players.States.GRIT.Grunt_01,GRIT,3,6,82,
cFX_Players.States.GRIT.Grunt_02,GRIT,3,6,82,
cFX_Players.States.GRIT.Grunt_03,GRIT,3,6,82,
cFX_Players.States.GRIT.Ghost_Bust,GRIT,3,5,82,
cFX_Players.States.GRIT.Elk_01,GRIT,2,6,81,
cFX_Players.States.GRIT.Elk_02,GRIT,2,6,81,
cFX_Players.States.GRIT.Elk_03,GRIT,2,6,81,
cFX_GRIT.npc.Grit_SM_1,GRIT,5,10,84,
cFX_GRIT.npc.Grit_MD_1,GRIT,5,10,84,
cFX_GRIT.npc.Grit_LG_1,GRIT,5,10,84,
wFX_Bow_Bowman.RainOfArrows_Impact,PlayerWeapon_AOE,3,5,103,
wFX_Bow_Bowman.Poison_AOE,PlayerWeapon_AOE,6,5,106,
wFX_FireStaff_Pyromaniac.Speed_AOE_Bomb_sm,PlayerWeapon_AOE,1,10,101,
wFX_FireStaff_Pyromaniac.TrialByFire,PlayerWeapon_AOE,2,3,102,
wFX_FireStaff_FlameSummoner.Storm_AOE,PlayerWeapon_AOE,5,10,105,
