RewardId,RewardIndex,RewardType,ItemId,EntitlementIds,DisplayItemId,SeasonsXp,LimitingEntitlementId,IsHighValue
S3_BattlePass_Free_00,0,BattlePass_Free,,,,2750,,
S3_BattlePass_Free_01,1,BattlePass_Free,Welcome_Box_S3,,,,,
S3_BattlePass_Free_02,2,BattlePass_Free,Dyes1_Box_S3,,,,,
S3_BattlePass_Free_03,3,BattlePass_Free,Food_Box_S3,,,,,
S3_BattlePass_Free_04,4,BattlePass_Free,Fungus_Box_S3,,,,,
S3_BattlePass_Free_05,5,BattlePass_Free,MountAttachmentItem_Shield37,,,,,TRUE
S3_BattlePass_Free_06,6,BattlePass_Free,Ward_Box_S3,,,,,
S3_BattlePass_Free_07,7,BattlePass_Free,Expedition_Box_EX1_Genesis,,,,,
S3_BattlePass_Free_08,8,BattlePass_Free,CraftingResources_Box_S3,,,,,
S3_BattlePass_Free_09,9,BattlePass_Free,Coin_Stack_500,,,,,
S3_BattlePass_Free_10,10,BattlePass_Free,,EntitlementSkin_Feet_Season3Basic,EntDisplay_Skin_Feet_Season3Basic,,,TRUE
S3_BattlePass_Free_11,11,BattlePass_Free,Bundle_AzothVial_10,,,,,
S3_BattlePass_Free_12,12,BattlePass_Free,Gem_Box_S3,,,,,
S3_BattlePass_Free_13,13,BattlePass_Free,,Marks of Fortune:500,EntDisplay_MarksOfFortune_500,,Entitlement_Season3_UnclaimedFreePass13,TRUE
S3_BattlePass_Free_14,14,BattlePass_Free,Bundle_GypsumOrb_2,,,,,
S3_BattlePass_Free_15,15,BattlePass_Free,,PremiumEmote_Firework1:2,EntDisplay_Fireworks1,,Entitlement_Season3_UnclaimedFreePass15,TRUE
S3_BattlePass_Free_16,16,BattlePass_Free,Salvage_Box_S3,,,,,
S3_BattlePass_Free_17,17,BattlePass_Free,Expedition_Box_EX1_Lazarus,,,,,
S3_BattlePass_Free_18,18,BattlePass_Free,Furniture1_Box_S3,,,,,
S3_BattlePass_Free_19,19,BattlePass_Free,CraftingResources_Box_S3,,,,,
S3_BattlePass_Free_20,20,BattlePass_Free,Artifact_Set1_LightFeet,,,,,TRUE
S3_BattlePass_Free_21,21,BattlePass_Free,Bundle_AzothVial_10,,,,,
S3_BattlePass_Free_22,22,BattlePass_Free,Dyes2_Box_S3,,,,,
S3_BattlePass_Free_23,23,BattlePass_Free,Elemental_Box_S3,,,,,
S3_BattlePass_Free_24,24,BattlePass_Free,Fungus_Box_S3,,,,,
S3_BattlePass_Free_25,25,BattlePass_Free,Matrix_Armor,,,,,TRUE
S3_BattlePass_Free_26,26,BattlePass_Free,Ward_Box_S3,,,,,
S3_BattlePass_Free_27,27,BattlePass_Free,Expedition_Box_EX1_Tempest,,,,,
