RewardId,RewardIndex,RewardType,ItemId,EntitlementId,EntitlementQuantity,DisplayItemId,SeasonsXp,LimitingEntitlementId,IsHighValue
S2_BattlePass_Free_00,0,BattlePass_Free,,,,,2750,,
S2_BattlePass_Free_01,1,BattlePass_Free,Welcome_Box_S2,,,,,,
S2_BattlePass_Free_02,2,BattlePass_Free,Bundle_UmbralShard_500,,,,,,
S2_BattlePass_Free_03,3,BattlePass_Free,,Ent_StatusEffect_Token_Weapon_1,1,EntDisplay_StatusEffect_Token_Weapon_1,,Entitlement_Season2_UnclaimedFreePass03,
S2_BattlePass_Free_04,4,BattlePass_Free,Bundle_AzothVial_10,,,,,,
S2_BattlePass_Free_05,5,BattlePass_Free,,Marks of Fortune,500,EntDisplay_MarksOfFortune_500,,Entitlement_Season2_UnclaimedFreePass05,
S2_BattlePass_Free_06,6,BattlePass_Free,Furniture11_Box_S2,,,,,,
S2_BattlePass_Free_07,7,BattlePass_Free,Dyes_Box_S2,,,,,,
S2_BattlePass_Free_08,8,BattlePass_Free,,Ent_StatusEffect_Token_Gather_1,1,EntDisplay_StatusEffect_Token_Gather_1,,Entitlement_Season2_UnclaimedFreePass08,
S2_BattlePass_Free_09,9,BattlePass_Free,Bundle_GypsumOrb_2,,,,,,
S2_BattlePass_Free_10,10,BattlePass_Free,,EntitlementSkin_Legs_DesertProwler,1,EntDisplay_Skin_Legs_DesertProwler,,,
S2_BattlePass_Free_11,11,BattlePass_Free,Weapon_Box_S2,,,,,,
S2_BattlePass_Free_12,12,BattlePass_Free,Bundle_UmbralShard_500,,,,,,
S2_BattlePass_Free_13,13,BattlePass_Free,Jewelry_Box_S2,,,,,,
S2_BattlePass_Free_14,14,BattlePass_Free,,Ent_StatusEffect_Token_Proficiency_1,1,EntDisplay_StatusEffect_Token_Proficiency_1,,Entitlement_Season2_UnclaimedFreePass14,
S2_BattlePass_Free_15,15,BattlePass_Free,,Transmog_Token,1,EntDisplay_Transmog_Token,,Entitlement_Season2_UnclaimedFreePass15,
S2_BattlePass_Free_16,16,BattlePass_Free,CraftingResources_Box_S2,,,,,,
S2_BattlePass_Free_17,17,BattlePass_Free,Coin_Stack_500,,,,,,
S2_BattlePass_Free_18,18,BattlePass_Free,,Ent_StatusEffect_Token_Season_1,1,EntDisplay_StatusEffect_Token_Season_1,,Entitlement_Season2_UnclaimedFreePass18,
S2_BattlePass_Free_19,19,BattlePass_Free,Bundle_GypsumOrb_2,,,,,,
S2_BattlePass_Free_20,20,BattlePass_Free,,EntitlementSkin_Feet_DesertProwler,1,EntDisplay_Skin_Feet_DesertProwler,,,
S2_BattlePass_Free_21,21,BattlePass_Free,Armor_Box_S2,,,,,,
S2_BattlePass_Free_22,22,BattlePass_Free,Bundle_UmbralShard_500,,,,,,
S2_BattlePass_Free_23,23,BattlePass_Free,Elemental_Box_S2,,,,,,
S2_BattlePass_Free_24,24,BattlePass_Free,Bundle_AzothVial_10,,,,,,
S2_BattlePass_Free_25,25,BattlePass_Free,Expedition_Box_S1_Genesis,,,,,,
S2_BattlePass_Free_26,26,BattlePass_Free,Furniture12_Box_S2,,,,,,
S2_BattlePass_Free_27,27,BattlePass_Free,Coin_Stack_500,,,,,,
S2_BattlePass_Free_28,28,BattlePass_Free,Bundle_GypsumOrb_2,,,,,,
S2_BattlePass_Free_29,29,BattlePass_Free,Food_Box_S2,,,,,,
S2_BattlePass_Free_30,30,BattlePass_Free,,Marks of Fortune,500,EntDisplay_MarksOfFortune_500,,Entitlement_Season2_UnclaimedFreePass30,
S2_BattlePass_Free_31,31,BattlePass_Free,Weapon_Box_S2,,,,,,
S2_BattlePass_Free_32,32,BattlePass_Free,Bundle_GypsumOrb_2,,,,,,
S2_BattlePass_Free_33,33,BattlePass_Free,Bundle_UmbralShard_500,,,,,,
S2_BattlePass_Free_34,34,BattlePass_Free,Expedition_Box_S1_Lazarus,,,,,,
S2_BattlePass_Free_35,35,BattlePass_Free,,EntitlementSkin_Hands_DesertProwler,1,EntDisplay_Skin_Hands_DesertProwler,,,
S2_BattlePass_Free_36,36,BattlePass_Free,Gem_Box_S2,,,,,,
S2_BattlePass_Free_37,37,BattlePass_Free,Expedition_Box_S1_Barnacles,,,,,,
S2_BattlePass_Free_38,38,BattlePass_Free,Coin_Stack_500,,,,,,
S2_BattlePass_Free_39,39,BattlePass_Free,Bundle_GypsumOrb_2,,,,,,
S2_BattlePass_Free_40,40,BattlePass_Free,,Marks of Fortune,500,EntDisplay_MarksOfFortune_500,,Entitlement_Season2_UnclaimedFreePass40,
S2_BattlePass_Free_41,41,BattlePass_Free,Armor_Box_S2,,,,,,
S2_BattlePass_Free_42,42,BattlePass_Free,Bundle_UmbralShard_500,,,,,,
S2_BattlePass_Free_43,43,BattlePass_Free,Bundle_AzothVial_10,,,,,,
S2_BattlePass_Free_44,44,BattlePass_Free,Bundle_AngryEarthCoating_3,,,,,,
S2_BattlePass_Free_45,45,BattlePass_Free,Expedition_Box_S1_Tempest,,,,,,
S2_BattlePass_Free_46,46,BattlePass_Free,Furniture13_Box_S2,,,,,,
S2_BattlePass_Free_47,47,BattlePass_Free,Bundle_AngryEarthWard_3,,,,,,
S2_BattlePass_Free_48,48,BattlePass_Free,Bundle_GypsumOrb_2,,,,,,
S2_BattlePass_Free_49,49,BattlePass_Free,Coin_Stack_500,,,,,,
S2_BattlePass_Free_50,50,BattlePass_Free,,Transmog_Token,1,EntDisplay_Transmog_Token,,Entitlement_Season2_UnclaimedFreePass50,
S2_BattlePass_Free_51,51,BattlePass_Free,Elemental_Box_S2,,,,,,
S2_BattlePass_Free_52,52,BattlePass_Free,Bundle_GypsumOrb_2,,,,,,
S2_BattlePass_Free_53,53,BattlePass_Free,Bundle_UmbralShard_500,,,,,,
S2_BattlePass_Free_54,54,BattlePass_Free,Bundle_CorruptCoating_3,,,,,,
S2_BattlePass_Free_55,55,BattlePass_Free,Expedition_Box_S1_Ennead,,,,,,
S2_BattlePass_Free_56,56,BattlePass_Free,Food_Box_S2,,,,,,
S2_BattlePass_Free_57,57,BattlePass_Free,Bundle_CorruptWard_3,,,,,,
S2_BattlePass_Free_58,58,BattlePass_Free,Coin_Stack_500,,,,,,
S2_BattlePass_Free_59,59,BattlePass_Free,Bundle_GypsumOrb_2,,,,,,
