RewardId,RewardIndex,RewardType,ItemId,EntitlementIds,DisplayItemId,SeasonsXp,LimitingEntitlementId,IsHighValue
S1_BattlePass_Free_00,0,BattlePass_Free,,,,2750,,
S1_BattlePass_Free_01,1,BattlePass_Free,Welcome_Box_S1,,,,,
S1_BattlePass_Free_02,2,BattlePass_Free,Bundle_UmbralShard_500,,,,,
S1_BattlePass_Free_03,3,BattlePass_Free,,Ent_StatusEffect_Token_Weapon_1,EntDisplay_StatusEffect_Token_Weapon_1,,,
S1_BattlePass_Free_04,4,BattlePass_Free,Bundle_AzothVial_10,,,,,
S1_BattlePass_Free_05,5,BattlePass_Free,,Marks of Fortune:500,EntDisplay_MarksOfFortune_500,,Entitlement_Season1_UnclaimedFreePass05,
S1_BattlePass_Free_06,6,BattlePass_Free,,Ent_StatusEffect_Token_Territory_1,EntDisplay_StatusEffect_Token_Territory_1,,,
S1_BattlePass_Free_07,7,BattlePass_Free,Dyes_Box_S1,,,,,
S1_BattlePass_Free_08,8,BattlePass_Free,,Ent_StatusEffect_Token_Gather_1,EntDisplay_StatusEffect_Token_Gather_1,,,
S1_BattlePass_Free_09,9,BattlePass_Free,Bundle_GypsumOrb_2,,,,,
S1_BattlePass_Free_10,10,BattlePass_Free,,EntitlementSkin_Legs_Seasons1Cowboy,EntDisplay_Skin_Legs_Seasons1Cowboy,,,
S1_BattlePass_Free_11,11,BattlePass_Free,Weapon_Box_S1,,,,,
S1_BattlePass_Free_12,12,BattlePass_Free,Bundle_UmbralShard_500,,,,,
S1_BattlePass_Free_13,13,BattlePass_Free,Trinket_Box_S1,,,,,
S1_BattlePass_Free_14,14,BattlePass_Free,,Ent_StatusEffect_Token_Proficiency_1,EntDisplay_StatusEffect_Token_Proficiency_1,,,
S1_BattlePass_Free_15,15,BattlePass_Free,Bundle_FlameCore_5,,,,,
S1_BattlePass_Free_16,16,BattlePass_Free,CraftingResources_Box_S1,,,,,
S1_BattlePass_Free_17,17,BattlePass_Free,Coin_Stack_500,,,,,
S1_BattlePass_Free_18,18,BattlePass_Free,,Ent_StatusEffect_Token_Season_1,EntDisplay_StatusEffect_Token_Season_1,,,
S1_BattlePass_Free_19,19,BattlePass_Free,Bundle_GypsumOrb_2,,,,,
S1_BattlePass_Free_20,20,BattlePass_Free,,EntitlementSkin_Feet_Seasons1Cowboy,EntDisplay_Skin_Feet_Seasons1Cowboy,,,
S1_BattlePass_Free_21,21,BattlePass_Free,Armor_Box_S1,,,,,
S1_BattlePass_Free_22,22,BattlePass_Free,Bundle_UmbralShard_500,,,,,
S1_BattlePass_Free_23,23,BattlePass_Free,Elemental_Box_S1,,,,,
S1_BattlePass_Free_24,24,BattlePass_Free,Bundle_AzothVial_5,,,,,
S1_BattlePass_Free_25,25,BattlePass_Free,Bundle_GypsumOrb_5,,,,,
S1_BattlePass_Free_26,26,BattlePass_Free,Furniture_Box_S1,,,,,
S1_BattlePass_Free_27,27,BattlePass_Free,Coin_Stack_500,,,,,
S1_BattlePass_Free_28,28,BattlePass_Free,Bundle_GypsumOrb_2,,,,,
S1_BattlePass_Free_29,29,BattlePass_Free,Food_Box_S1,,,,,
S1_BattlePass_Free_30,30,BattlePass_Free,,Marks of Fortune:500,EntDisplay_MarksOfFortune_500,,Entitlement_Season1_UnclaimedFreePass30,
S1_BattlePass_Free_31,31,BattlePass_Free,Weapon_Box_S1,,,,,
S1_BattlePass_Free_32,32,BattlePass_Free,Bundle_GypsumOrb_2,,,,,
S1_BattlePass_Free_33,33,BattlePass_Free,Bundle_UmbralShard_500,,,,,
S1_BattlePass_Free_34,34,BattlePass_Free,Bundle_AncientCoating_3,,,,,
S1_BattlePass_Free_35,35,BattlePass_Free,,EntitlementSkin_Chest_Seasons1Cowboy,EntDisplay_Skin_Chest_Seasons1Cowboy,,,
S1_BattlePass_Free_36,36,BattlePass_Free,Gem_Box_S1,,,,,
S1_BattlePass_Free_37,37,BattlePass_Free,Bundle_AncientWard_3,,,,,
S1_BattlePass_Free_38,38,BattlePass_Free,Coin_Stack_500,,,,,
S1_BattlePass_Free_39,39,BattlePass_Free,Bundle_GypsumOrb_2,,,,,
S1_BattlePass_Free_40,40,BattlePass_Free,,Marks of Fortune:500,EntDisplay_MarksOfFortune_500,,Entitlement_Season1_UnclaimedFreePass40,
S1_BattlePass_Free_41,41,BattlePass_Free,Armor_Box_S1,,,,,
S1_BattlePass_Free_42,42,BattlePass_Free,Bundle_UmbralShard_500,,,,,
S1_BattlePass_Free_43,43,BattlePass_Free,Bundle_AzothVial_5,,,,,
S1_BattlePass_Free_44,44,BattlePass_Free,Bundle_AngryEarthCoating_3,,,,,
S1_BattlePass_Free_45,45,BattlePass_Free,Trinket_Box_S1,,,,,
S1_BattlePass_Free_46,46,BattlePass_Free,Salvage_Box_S1,,,,,
S1_BattlePass_Free_47,47,BattlePass_Free,Bundle_AngryEarthWard_3,,,,,
S1_BattlePass_Free_48,48,BattlePass_Free,Bundle_GypsumOrb_2,,,,,
S1_BattlePass_Free_49,49,BattlePass_Free,Coin_Stack_500,,,,,
S1_BattlePass_Free_50,50,BattlePass_Free,,Ent_Housing_Mar2023_Firelight_Wolf_Fire,EntDisplay_Housing_Mar2023_Firelight_Wolf_Fire,,,
S1_BattlePass_Free_51,51,BattlePass_Free,Elemental_Box_S1,,,,,
S1_BattlePass_Free_52,52,BattlePass_Free,Bundle_GypsumOrb_2,,,,,
S1_BattlePass_Free_53,53,BattlePass_Free,Bundle_UmbralShard_500,,,,,
S1_BattlePass_Free_54,54,BattlePass_Free,Bundle_CorruptCoating_3,,,,,
S1_BattlePass_Free_55,55,BattlePass_Free,Bundle_FlameCore_5,,,,,
S1_BattlePass_Free_56,56,BattlePass_Free,Food_Box_S1,,,,,
S1_BattlePass_Free_57,57,BattlePass_Free,Bundle_CorruptWard_3,,,,,
S1_BattlePass_Free_58,58,BattlePass_Free,Coin_Stack_500,,,,,
S1_BattlePass_Free_59,59,BattlePass_Free,Bundle_GypsumOrb_2,,,,,
S1_BattlePass_Free_60,60,BattlePass_Free,,Marks of Fortune:500,EntDisplay_MarksOfFortune_500,,Entitlement_Season1_UnclaimedFreePass60,
S1_BattlePass_Free_61,61,BattlePass_Free,Weapon_Box_S1,,,,,
S1_BattlePass_Free_62,62,BattlePass_Free,Bundle_UmbralShard_500,,,,,
S1_BattlePass_Free_63,63,BattlePass_Free,Bundle_AzothVial_5,,,,,
S1_BattlePass_Free_64,64,BattlePass_Free,Bundle_AncientCoating_3,,,,,
S1_BattlePass_Free_65,65,BattlePass_Free,CraftingResources_Box_S1,,,,,
S1_BattlePass_Free_66,66,BattlePass_Free,Gem_Box_S1,,,,,
S1_BattlePass_Free_67,67,BattlePass_Free,Bundle_AncientWard_3,,,,,
S1_BattlePass_Free_68,68,BattlePass_Free,Bundle_GypsumOrb_2,,,,,
S1_BattlePass_Free_69,69,BattlePass_Free,Coin_Stack_500,,,,,
S1_BattlePass_Free_70,70,BattlePass_Free,,EntitlementSkin_Hands_Seasons1Cowboy,EntDisplay_Skin_Hands_Seasons1Cowboy,,,
S1_BattlePass_Free_71,71,BattlePass_Free,Trinket_Box_S1,,,,,
S1_BattlePass_Free_72,72,BattlePass_Free,Bundle_GypsumOrb_2,,,,,
S1_BattlePass_Free_73,73,BattlePass_Free,Bundle_UmbralShard_500,,,,,
S1_BattlePass_Free_74,74,BattlePass_Free,Bundle_AngryEarthCoating_3,,,,,
S1_BattlePass_Free_75,75,BattlePass_Free,Weapon_Box_S1,,,,,
S1_BattlePass_Free_76,76,BattlePass_Free,Food_Box_S1,,,,,
S1_BattlePass_Free_77,77,BattlePass_Free,Bundle_AngryEarthWard_3,,,,,
S1_BattlePass_Free_78,78,BattlePass_Free,Coin_Stack_500,,,,,
S1_BattlePass_Free_79,79,BattlePass_Free,Bundle_GypsumOrb_5,,,,,
S1_BattlePass_Free_80,80,BattlePass_Free,,Marks of Fortune:500,EntDisplay_MarksOfFortune_500,,Entitlement_Season1_UnclaimedFreePass80,
S1_BattlePass_Free_81,81,BattlePass_Free,Armor_Box_S1,,,,,
S1_BattlePass_Free_82,82,BattlePass_Free,Bundle_UmbralShard_500,,,,,
S1_BattlePass_Free_83,83,BattlePass_Free,Bundle_AzothVial_5,,,,,
S1_BattlePass_Free_84,84,BattlePass_Free,Bundle_CorruptCoating_3,,,,,
S1_BattlePass_Free_85,85,BattlePass_Free,Trinket_Box_S1,,,,,
S1_BattlePass_Free_86,86,BattlePass_Free,Furniture_Box_S1,,,,,
S1_BattlePass_Free_87,87,BattlePass_Free,Bundle_CorruptWard_3,,,,,
S1_BattlePass_Free_88,88,BattlePass_Free,Bundle_GypsumOrb_5,,,,,
S1_BattlePass_Free_89,89,BattlePass_Free,Coin_Stack_500,,,,,
S1_BattlePass_Free_90,90,BattlePass_Free,Bundle_UmbralShard_1000,,,,,
S1_BattlePass_Free_91,91,BattlePass_Free,Elemental_Box_S1,,,,,
S1_BattlePass_Free_92,92,BattlePass_Free,Bundle_GypsumOrb_5,,,,,
S1_BattlePass_Free_93,93,BattlePass_Free,Bundle_UmbralShard_1000,,,,,
S1_BattlePass_Free_94,94,BattlePass_Free,Weapon_Box_S1,,,,,
S1_BattlePass_Free_95,95,BattlePass_Free,,EntitlementSkin_Head_Seasons1Cowboy,EntDisplay_Skin_Head_Seasons1Cowboy,,,
S1_BattlePass_Free_96,96,BattlePass_Free,Armor_Box_S1,,,,,
S1_BattlePass_Free_97,97,BattlePass_Free,Combatants_Box_S1_Inferno,,,,,
S1_BattlePass_Free_98,98,BattlePass_Free,Coin_Stack_3000,,,,,
S1_BattlePass_Free_99,99,BattlePass_Free,,EntitlementTitle_Season1_BattlePass,EntDisplay_Title_Season,,Entitlement_Season1_UnclaimedFreePass99,
S1_BattlePass_Free_100,100,BattlePass_Free,Champions_Box_S1,Gear_Set_Loadout,EntDisplay_BoxEntitlements_Champions_Box_S1,,Entitlement_Season1_UnclaimedGearSetStorage,
S1_BattlePass_Premium_01,101,BattlePass_Premium,Welcome_Box_S1_Inferno,Entitlements_Welcome_Box_S1_Inferno,EntDisplay_BoxEntitlements_Welcome_Box_S1_Inferno,,,
S1_BattlePass_Premium_02,102,BattlePass_Premium,Expedition_Box_S1_Tempest,,,,,
S1_BattlePass_Premium_03,103,BattlePass_Premium,,Ent_Emote_BlowFire,EntDisplay_Emote_BlowFire,,,
S1_BattlePass_Premium_04,104,BattlePass_Premium,Dyes_Box_S1,,,,,
S1_BattlePass_Premium_05,105,BattlePass_Premium,,Marks of Fortune:1000,EntDisplay_MarksOfFortune_1000,,Entitlement_Season1_UnclaimedPremiumPass05,
S1_BattlePass_Premium_06,106,BattlePass_Premium,Combatants_Box_S1_Inferno,,,,,
S1_BattlePass_Premium_07,107,BattlePass_Premium,,Ent_Crest_Pack_Season1Fire,EntDisplay_Crest_Pack_Season1Fire,,,
S1_BattlePass_Premium_08,108,BattlePass_Premium,,EntitlementSkin_SilverCrowsFire_Pickaxe,EntDisplay_Skin_SilverCrowsFire_Pickaxe,,,
S1_BattlePass_Premium_09,109,BattlePass_Premium,,EntitlementSkin_Mar2023_FireStaff,EntDisplay_Skin_Mar2023_FireStaff,,,
S1_BattlePass_Premium_10,110,BattlePass_Premium,,EntitlementCampSkin_SilverCrowsFire01_A,EntDisplay_CampSkin_SilverCrowsFire01_A,,,
S1_BattlePass_Premium_11,111,BattlePass_Premium,Weapon_Box_S1_Inferno,,,,,
S1_BattlePass_Premium_12,112,BattlePass_Premium,Bundle_UmbralShard_1500,,,,,
S1_BattlePass_Premium_13,113,BattlePass_Premium,Trinket_Box_S1_Inferno,,,,,
S1_BattlePass_Premium_14,114,BattlePass_Premium,Expedition_Box_S1_Lazarus,,,,,
S1_BattlePass_Premium_15,115,BattlePass_Premium,,EntitlementSkin_Mar2023_Musket,EntDisplay_Skin_Mar2023_Musket,,,
S1_BattlePass_Premium_16,116,BattlePass_Premium,Crafting_Box_S1_Inferno,,,,,
S1_BattlePass_Premium_17,117,BattlePass_Premium,Coin_Stack_3000,,,,,
S1_BattlePass_Premium_18,118,BattlePass_Premium,Bundle_FlameCore_10,,,,,
S1_BattlePass_Premium_19,119,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,
S1_BattlePass_Premium_20,120,BattlePass_Premium,,Marks of Fortune:1000,EntDisplay_MarksOfFortune_1000,,Entitlement_Season1_UnclaimedPremiumPass20,
S1_BattlePass_Premium_21,121,BattlePass_Premium,Armor_Box_S1_Inferno,,,,,
S1_BattlePass_Premium_22,122,BattlePass_Premium,,Ent_StatusEffect_Token_Territory_1:2,EntDisplay_StatusEffect_Token_Territory_2,,,
S1_BattlePass_Premium_23,123,BattlePass_Premium,Elemental_Box_S1_Inferno,,,,,
S1_BattlePass_Premium_24,124,BattlePass_Premium,Bundle_AzothVial_20,,,,,
S1_BattlePass_Premium_25,125,BattlePass_Premium,,EntitlementSkin_SilverCrowsFire_AzothScepter,EntDisplay_Skin_SilverCrowsFire_AzothScepter,,,
S1_BattlePass_Premium_26,126,BattlePass_Premium,Furniture_Box_S1_Inferno,,,,,
S1_BattlePass_Premium_27,127,BattlePass_Premium,Expedition_Box_S1_Genesis,,,,,
S1_BattlePass_Premium_28,128,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,
S1_BattlePass_Premium_29,129,BattlePass_Premium,Food_Box_S1_Inferno,,,,,
S1_BattlePass_Premium_30,130,BattlePass_Premium,,EntitlementSkin_Mar2023_Spear,EntDisplay_Skin_Mar2023_Spear,,,
S1_BattlePass_Premium_31,131,BattlePass_Premium,Weapon_Box_S1_Inferno,,,,,
S1_BattlePass_Premium_32,132,BattlePass_Premium,,Ent_StatusEffect_Token_Season_1:2,EntDisplay_StatusEffect_Token_Season_2,,,
S1_BattlePass_Premium_33,133,BattlePass_Premium,Bundle_UmbralShard_1500,,,,,
S1_BattlePass_Premium_34,134,BattlePass_Premium,Dyes_Box_S1,,,,,
S1_BattlePass_Premium_35,135,BattlePass_Premium,,Marks of Fortune:1000,EntDisplay_MarksOfFortune_1000,,Entitlement_Season1_UnclaimedPremiumPass35,
S1_BattlePass_Premium_36,136,BattlePass_Premium,Gem_Box_S1_Inferno,,,,,
S1_BattlePass_Premium_37,137,BattlePass_Premium,,Ent_StatusEffect_Token_Weapon_1:2,EntDisplay_StatusEffect_Token_Weapon_2,,,
S1_BattlePass_Premium_38,138,BattlePass_Premium,Coin_Stack_3000,,,,,
S1_BattlePass_Premium_39,139,BattlePass_Premium,Expedition_Box_S1_Barnacles,,,,,
