RewardId,RewardIndex,RewardType,ItemId,EntitlementIds,DisplayItemId,SeasonsXp,LimitingEntitlementId,IsHighValue,RequiresPremium
S7_BattlePass_Free_00,0,BattlePass_Free,,,,2750,,,
S7_BattlePass_Free_01,1,BattlePass_Free,Welcome_Box_S7,,,,,,
S7_BattlePass_Free_02,2,BattlePass_Free,Coin_Stack_500,,,,,,
S7_BattlePass_Free_03,3,BattlePass_Free,Refining_Box_S7,,,,,,
S7_BattlePass_Free_04,4,BattlePass_Free,Food_Box_S5,,,,,,
S7_BattlePass_Free_05,5,BattlePass_Free,,PremiumEmote_Firework1:2,EntDisplay_Fireworks1,,Entitlement_Season7_UnclaimedFreePass05,,
S7_BattlePass_Free_06,6,BattlePass_Free,Elemental_Box_S7,,,,,,
S7_BattlePass_Free_07,7,BattlePass_Free,Dyes1_Box_S7,,,,,,
S7_BattlePass_Free_08,8,BattlePass_Free,Ward_Box_S5,,,,,,
S7_BattlePass_Free_09,9,BattlePass_Free,ExpeditionBasic_Box_S5,,,,,,
S7_BattlePass_Free_10,10,BattlePass_Free,,EntitlementSkin_2hFishingPole_Season7Pass,EntDisplay_Skin_2hFishingPole_Season7Pass,,,,
S7_BattlePass_Free_11,11,BattlePass_Free,FactionTokenSmall_Box_S5,,,,,,
S7_BattlePass_Free_12,12,BattlePass_Free,Salvage_Box_S7,,,,,,
S7_BattlePass_Free_13,13,BattlePass_Free,Ward_Box_S5,,,,,,
S7_BattlePass_Free_14,14,BattlePass_Free,Gem_Box_S5,,,,,,
S7_BattlePass_Free_15,15,BattlePass_Free,,EntitlementSkin_1hSickle_Season7Pass,EntDisplay_Skin_1hSickle_Season7Pass,,,,
S7_BattlePass_Free_16,16,BattlePass_Free,Food_Box_S5,,,,,,
S7_BattlePass_Free_17,17,BattlePass_Free,,Marks of Fortune:500,EntDisplay_MarksOfFortune_500,,Entitlement_Season7_UnclaimedFreePass17,,
S7_BattlePass_Free_18,18,BattlePass_Free,Refining_Box_S7,,,,,,
S7_BattlePass_Free_19,19,BattlePass_Free,ExpeditionBasic_Box_S5,,,,,,
S7_BattlePass_Free_20,20,BattlePass_Free,Artifact_Set2_1hGauntletIce,,,,,,
S7_BattlePass_Free_21,21,BattlePass_Free,CraftingResources_Box_S5,,,,,,
S7_BattlePass_Free_22,22,BattlePass_Free,Coin_Stack_500,,,,,,
S7_BattlePass_Free_23,23,BattlePass_Free,Refining_Box_S7,,,,,,
S7_BattlePass_Free_24,24,BattlePass_Free,Food_Box_S5,,,,,,
S7_BattlePass_Free_25,25,BattlePass_Free,,PremiumEmote_Firework2:2,EntDisplay_Fireworks2,,Entitlement_Season7_UnclaimedFreePass25,,
S7_BattlePass_Free_26,26,BattlePass_Free,,Ent_StatusEffect_Token_Season_1,EntDisplay_StatusEffect_Token_Season_1,,Entitlement_Season7_UnclaimedFreePass26,,
S7_BattlePass_Free_27,27,BattlePass_Free,Dyes2_Box_S7,,,,,,
S7_BattlePass_Free_28,28,BattlePass_Free,Combat_Box_S7,,,,,,
S7_BattlePass_Free_29,29,BattlePass_Free,Expedition_Box_S5,,,,,,
S7_BattlePass_Free_30,30,BattlePass_Free,,EntitlementSkin_1hPickaxe_Season7Pass,EntDisplay_Skin_1hPickaxe_Season7Pass,,,,
S7_BattlePass_Free_31,31,BattlePass_Free,FactionTokenSmall_Box_S5,,,,,,
S7_BattlePass_Free_32,32,BattlePass_Free,Combat_Box_S7,,,,,,
S7_BattlePass_Free_33,33,BattlePass_Free,Elemental_Box_S7,,,,,,
