TitleID,TitleType,UIDisplayCategory,TitleMale,TitleFemale,TitleNeutral,Description,MetaAchievementId,AchievementId,CategoricalProgressionId,RequiredCategoricalProgressionLevel,RequiredPlayerLevel
PlayerTitle_PvE_KillsByFamily_Corrupted_First,Account,Enemies_By_Type,@ui_playertitle_pve_killsbyfamily_corrupted1,@ui_playertitle_pve_killsbyfamily_corrupted1_SHE,@ui_playertitle_pve_killsbyfamily_corrupted1_THEY,,PvE_FamilyKills_Corrupted3,,,,
PlayerTitle_PvE_KillsByFamily_Corrupted,Account,Enemies_By_Type,@ui_playertitle_pve_killsbyfamily_corrupted5,@ui_playertitle_pve_killsbyfamily_corrupted5_SHE,@ui_playertitle_pve_killsbyfamily_corrupted5_THEY,,PvE_FamilyKills_Corrupted5,,,,
PlayerTitle_PvE_KillsByFamily_Lost_First,Account,Enemies_By_Type,@ui_playertitles_pve_killsbyfamily_lost1,@ui_playertitles_pve_killsbyfamily_lost1_SHE,@ui_playertitles_pve_killsbyfamily_lost1_THEY,,PvE_FamilyKills_Lost3,,,,
PlayerTitle_PvE_KillsByFamily_Lost,Account,Enemies_By_Type,@ui_playertitles_pve_killsbyfamily_lost5,@ui_playertitles_pve_killsbyfamily_lost5_SHE,@ui_playertitles_pve_killsbyfamily_lost5_THEY,,PvE_FamilyKills_Lost5,,,,
PlayerTitle_PvE_KillsByFamily_AngryEarth_First,Account,Enemies_By_Type,@ui_playertitles_pve_killsbyfamily_angryearth1,@ui_playertitles_pve_killsbyfamily_angryearth1_SHE,@ui_playertitles_pve_killsbyfamily_angryearth1_THEY,,PvE_FamilyKills_AngryEarth3,,,,
PlayerTitle_PvE_KillsByFamily_AngryEarth,Account,Enemies_By_Type,@ui_playertitles_pve_killsbyfamily_angryearth5,@ui_playertitles_pve_killsbyfamily_angryearth5_SHE,@ui_playertitles_pve_killsbyfamily_angryearth5_THEY,,PvE_FamilyKills_AngryEarth5,,,,
PlayerTitle_PvE_KillsByFamily_Ancient_First,Account,Enemies_By_Type,@ui_playertitles_pve_killsbyfamily_ancient1,@ui_playertitles_pve_killsbyfamily_ancient1_SHE,@ui_playertitles_pve_killsbyfamily_ancient1_THEY,,PvE_FamilyKills_Ancients3,,,,
PlayerTitle_PvE_KillsByFamily_Ancient,Account,Enemies_By_Type,@ui_playertitles_pve_killsbyfamily_ancient5,@ui_playertitles_pve_killsbyfamily_ancient5_SHE,@ui_playertitles_pve_killsbyfamily_ancient5_THEY,,PvE_FamilyKills_Ancients5,,,,
PlayerTitle_PvE_KillsByFamily_Predator_First,Account,Enemies_By_Type,@ui_playertitles_pve_killsbyfamily_predator1,@ui_playertitles_pve_killsbyfamily_predator1_SHE,@ui_playertitles_pve_killsbyfamily_predator1_THEY,,PvE_FamilyKills_Predators3,,,,
PlayerTitle_PvE_KillsByFamily_Predators,Account,Enemies_By_Type,@ui_playertitles_pve_killsbyfamily_predator5,@ui_playertitles_pve_killsbyfamily_predator5_SHE,@ui_playertitles_pve_killsbyfamily_predator5_THEY,,PvE_FamilyKills_Predators5,,,,
PlayerTitle_PvE_KillTurkeys_Thanksgiving,Account,Enemies_By_Type,@ui_playertitle_pve_killturkeys_thanksgiving,@ui_playertitle_pve_killturkeys_thanksgiving_SHE,@ui_playertitle_pve_killturkeys_thanksgiving_THEY,,PvE_PreyKills_Turkeys,,,,
PlayerTitle_PvE_KillRabbits,Account,Enemies_By_Type,@ui_playertitle_pve_killrabbits,@ui_playertitle_pve_killrabbits_SHE,@ui_playertitle_pve_killrabbits_THEY,,PvE_PreyKills_Rabbits,,,,
PlayerTitle_PvE_KillCows,Account,Enemies_By_Type,@ui_playertitle_pve_killcows,@ui_playertitle_pve_killcows_SHE,@ui_playertitle_pve_killcows_THEY,,PvE_PreyKills_Cows,,,,
PlayerTitle_PvE_KillBoars,Account,Enemies_By_Type,@ui_playertitle_pve_killboars,@ui_playertitle_pve_killboars_SHE,@ui_playertitle_pve_killboars_THEY,,PvE_PreyKills_Boars,,,,
PlayerTitle_PvE_KillUniqueNamed_Corrupt,Account,Enemies_By_Type,@ui_playertitle_pve_killuniquenamed_corrupt,@ui_playertitle_pve_killuniquenamed_corrupt_SHE,@ui_playertitle_pve_killuniquenamed_corrupt_THEY,,PvE_NamedFamilyKills_Corrupted5,,,,
PlayerTitle_PvE_KillUniqueNamed_Lost,Account,Enemies_By_Type,@ui_playertitle_pve_killuniquenamed_lost,@ui_playertitle_pve_killuniquenamed_lost_SHE,@ui_playertitle_pve_killuniquenamed_lost_THEY,,PvE_NamedFamilyKills_Lost5,,,,
PlayerTitle_PvE_KillUniqueNamed_AngryEarth,Account,Enemies_By_Type,@ui_playertitle_pve_killuniquenamed_angryearth,@ui_playertitle_pve_killuniquenamed_angryearth_SHE,@ui_playertitle_pve_killuniquenamed_angryearth_THEY,,PvE_NamedFamilyKills_AngryEarth5,,,,
PlayerTitle_PvE_KillUniqueNamed_Ancient,Account,Enemies_By_Type,@ui_playertitle_pve_killuniquenamed_ancient,@ui_playertitle_pve_killuniquenamed_ancient_SHE,@ui_playertitle_pve_killuniquenamed_ancient_THEY,,PvE_NamedFamilyKills_Ancients5,,,,
