WeaponAppearanceID,Name,Description,ItemClass,Art ID Names,Weapon Material name Info,MeshOverride,SkinOverride1,MaterialOverride1,SkinOverride2,MaterialOverride2,SkinOverride3,MaterialOverride3,SkinOverride4,MaterialOverride4,MaskRColor,MaskROverride,MaskR,MaskGColor,MaskGOverride,MaskG,MaskBColor,MaskBOverride,MaskB,MaskASpecColor,MaskASpec,MaskAGlossShift,MaskAGloss,EmissiveColor,EmissiveIntensity,Appearance,FemaleAppearance,MountAttachmentAppearanceId,RDyeSlotDisabled,GDyeSlotDisabled,BDyeSlotDisabled,ADyeSlotDisabled,IconPath,HiResIconPath,IconCaptureGroup
Unarmed,,,,,,,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,,,,,,,,,,
1hRoundShieldLostT5MA,@MountAttachmentItem_Shield1_MasterName,@MountAttachmentItem_Shield_Description,EquippableMount+MountAttachment,shieldRoundT5,Lost,objects/weapons/Shields/shieldRoundVariant1/wep_shld_shieldroundvariant1_lookBase_MV1.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,,,Mounts_BasicShieldSettings,1,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldLostT5MA.png,lyshineui/images/icons/items_hires/1hRoundShieldLostT5MA.png,MountAttach
1hRoundShieldCorruptedT5MA,@MountAttachmentItem_Shield2_MasterName,@MountAttachmentItem_Shield_Description,EquippableMount+MountAttachment,shieldRoundT5,Corrupted,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_MV1.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,,,Mounts_BasicShieldSettings,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldCorruptedT5MA.png,lyshineui/images/icons/items_hires/1hRoundShieldCorruptedT5MA.png,MountAttach
1hRshield_DeterminationT2MA,@MountAttachmentItem_Shield3_MasterName,@MountAttachmentItem_Shield_Description,EquippableMount+MountAttachment,shieldRoundT2,Determination,objects/weapons/shields/shieldroundt2/wep_shld_shieldroundt2_lookbase_MV1.cdf,,,,,,,,,#943194,1,0.25,#A494A4,0.5,0.3,#9B1A9B,0.5,0.6,#5C5C69,1,0.8,0.5,,,,,Mounts_BasicShieldSettings,1,1,1,0,lyshineui/images/icons/items/Weapon/1hRshield_DeterminationT2MA.png,lyshineui/images/icons/items_hires/1hRshield_DeterminationT2MA.png,MountAttach
1hRshield_QuiescenseT2MA,@MountAttachmentItem_Shield4_MasterName,@MountAttachmentItem_Shield_Description,EquippableMount+MountAttachment,shieldRoundT2,Quiescense,objects/weapons/shields/shieldroundt2/wep_shld_shieldroundt2_lookbase_MV1.cdf,,,,,,,,,#3E7254,1,0.25,#0A6813,0.5,0.3,#0C9A5A,0.5,0.6,#343536,0.5,0.8,0.5,,,,,Mounts_BasicShieldSettings,1,1,1,0,lyshineui/images/icons/items/Weapon/1hRshield_QuiescenseT2MA.png,lyshineui/images/icons/items_hires/1hRshield_QuiescenseT2MA.png,MountAttach
1hRshield_UmbraT3MA,@MountAttachmentItem_Shield5_MasterName,@MountAttachmentItem_Shield_Description,EquippableMount+MountAttachment,shieldRoundT3,Umbra,objects/weapons/shields/shieldroundt3/wep_shld_shieldroundt3_lookbase_MV1.cdf,,,,,,,,,#7484B0,1,0.5,#394667,0.5,0.3,#5E73AA,1,0.5,#69697B,0.5,0.8,0.5,#FFFFFF,8,,,Mounts_BasicShieldSettings,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRshield_UmbraT3MA.png,lyshineui/images/icons/items_hires/1hRshield_UmbraT3MA.png,MountAttach
1hRoundShieldAngryEarthT5MA,@MountAttachmentItem_Shield6_MasterName,@MountAttachmentItem_Shield_Description,EquippableMount+MountAttachment,shieldRoundT5,AngryEarth,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_MV1.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,,,,,Mounts_BasicShieldSettings,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldAngryEarthT5MA.png,lyshineui/images/icons/items_hires/1hRoundShieldAngryEarthT5MA.png,MountAttach
1hRoundShieldFaeT5MA,@MountAttachmentItem_Shield7_MasterName,@MountAttachmentItem_Shield_Description,EquippableMount+MountAttachment,ShieldRound5,Fae,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_mv1.cdf,,,,,,,,,#007400,0.5,1,#AFB645,0.5,1,#B67F58,0.5,1,#3D3D3D,0.6,0.8,0.7,#2C9D41,3,,,Mounts_BasicShieldSettings,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldFaeT5MA.png,lyshineui/images/icons/items_hires/1hRoundShieldFaeT5MA.png,MountAttach
1hRoundShieldAbyssalT5MA,@MountAttachmentItem_Shield8_MasterName,@MountAttachmentItem_Shield_Description,EquippableMount+MountAttachment,ShieldRound5,Abyssal,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_mv1.cdf,,,,,,,,,#26037F,0.7,0.3,#8982A0,0.3,1,#432C99,0.1,1,#37044C,0.35,0.8,0.7,#A465CE,5,,,Mounts_BasicShieldSettings,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldAbyssalT5MA.png,lyshineui/images/icons/items_hires/1hRoundShieldAbyssalT5MA.png,MountAttach
1hRoundShieldWaveborneT3MA,@MountAttachmentItem_Shield9_MasterName,@MountAttachmentItem_Shield_Description,EquippableMount+MountAttachment,ShieldRound3,Waveborne,objects/weapons/shields/shieldroundt3/wep_shld_shieldroundt3_lookbase_mv1.cdf,,,,,,,,,#1BC7C2,0.3,1,#80EEB7,0.05,1,#54FFFF,0.1,1,#856C39,0.5,0.8,0.7,,,,,Mounts_BasicShieldSettings,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldWaveborneT3MA.png,lyshineui/images/icons/items_hires/1hRoundShieldWaveborneT3MA.png,MountAttach
1hRoundShieldImmolatedT5MA,@MountAttachmentItem_Shield10_MasterName,@MountAttachmentItem_Shield_Description,EquippableMount+MountAttachment,ShieldRound5,Immolated,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_mv1.cdf,,,,,,,,,#540000,0.7,1,#A35E00,0.5,1,#B3B3B3,0.1,1,#790002,0.35,0.8,0.7,#FF7200,2,,,Mounts_BasicShieldSettings,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldImmolatedT5MA.png,lyshineui/images/icons/items_hires/1hRoundShieldImmolatedT5MA.png,MountAttach
