ConditionId,Operation,PlayerLevel,CategoricalProgression,GameEvent,Achievement,Entitlement,Item,UIEvent,Notes
PlayerLevelOver1Condition,GreaterThan,1,,,,,,,
PlayerLevelOver2Condition,GreaterThan,2,,,,,,,
PlayerLevelEquals2Condition,Equals,2,,,,,,,
PlayerLevelOver3Condition,GreaterThan,3,,,,,,,
PlayerLevelEquals4Condition,Equals,4,,,,,,,
PlayerLevelOver7Condition,GreaterThan,7,,,,,,,
PlayerLevelUnder8Condition,LessThan,8,,,,,,,
PlayerLevelOver8Condition,GreaterThan,8,,,,,,,
PlayerLevelUnder10Condition,LessThan,10,,,,,,,
PlayerLevelEquals10Condition,Equals,10,,,,,,,
PlayerLevelOver10Condition,GreaterThan,10,,,,,,,
PlayerLevelEquals12Condition,Equals,12,,,,,,,
PlayerLevelEquals14Condition,Equals,14,,,,,,,
PlayerLevelEquals15Condition,Equals,15,,,,,,,
PlayerLevelOver15Condition,GreaterThan,15,,,,,,,
PlayerLevelEquals19Condition,Equals,19,,,,,,,
PlayerLevelOver20Condition,GreaterThan,20,,,,,,,
PlayerLevelEquals20Condition,Equals,20,,,,,,,
PlayerLevelEquals24Condition,Equals,24,,,,,,,
PlayerLevelOver24Condition,GreaterThan,24,,,,,,,
PlayerLevelUnder25Condition,LessThan,25,,,,,,,
PlayerLevelOver25Condition,GreaterThan,25,,,,,,,
PlayerLevelOver30Condition,GreaterThan,30,,,,,,,
PlayerLevelUnder40Condition,LessThan,40,,,,,,,
PlayerLevelOver59Condition,GreaterThan,59,,,,,,,
PlayerLevelUnder60Condition,LessThan,60,,,,,,,
PlayerLevelOver60Condition,GreaterThan,60,,,,,,,
PlayerLevelEquals65Condition,Equals,65,,,,,,,
PvpXpLevel5Condition,Equals,,PvP_XP:5,,,,,,
TerritoryStanding02Equals1Condition,Equals,,2:01,,,,,,Brightwood
TerritoryStanding04Equals1Condition,Equals,,4:01,,,,,,Everfall
TerritoryStanding05Equals1Condition,Equals,,5:01,,,,,,Reekwater
TerritoryStanding06Equals1Condition,Equals,,6:01,,,,,,Windsward
