TrackedStatID,StatType,CategoricalProgressionIds,TrackingType,IsDebit,Reasons,IsPermanent
CategoricalProgressionPvPRewardTrack,CategoricalProgression,PvP_XP,Ranked,,,
EarnAzoth,CategoricalProgression,AzothSalt_Currency,Points,,,
SpendAzoth,CategoricalProgression,Azoth_Currency,Points,true,,
CategoricalProgressionPvPXP,CategoricalProgression,PvP_XP,Points,,"PvpKill,ContributionReward",
CategoricalProgressionFishingPostCap,CategoricalProgression,Fishing_PostCap,Ranked,,,
CategoricalProgressionPvPXPAnyReason,CategoricalProgression,PvP_XP,Points,,,
CategoricalProgressionRiding,CategoricalProgression,Riding,Ranked,,,true
CategoricalProgressionFlail,CategoricalProgression,FlailAbilityTable,Ranked,,,true
CategoricalProgressionAnyTradeskill,CategoricalProgression,"Weaponsmithing,Armoring,Jewelcrafting,Arcana,Cooking,Furnishing,Engineering,Smelting,Woodworking,Leatherworking,Weaving,Stonecutting,Skinning,Mining,Logging,Harvesting,Musician,Riding",Ranked,,,true
CategoricalProgressionAnyPostCap,CategoricalProgression,"Weaponsmithing_PostCap,Armoring_PostCap,Jewelcrafting_PostCap,Arcana_PostCap,Cooking_PostCap,Fishing_PostCap,Furnishing_PostCap,Engineering_PostCap,Smelting_PostCap,Woodworking_PostCap,Leatherworking_PostCap,Weaving_PostCap,Stonecutting_PostCap,Skinning_PostCap,Mining_PostCap,Logging_PostCap,Harvesting_PostCap,Instruments_PostCap,Riding_PostCap",Ranked,,,
CategoricalProgressionFactionTokens,CategoricalProgression,"SyndicateTokens,MarauderTokens,CovenantTokens",Points,,,
CategoricalProgressionCraftingPostCap,CategoricalProgression,"Weaponsmithing_PostCap,Armoring_PostCap,Jewelcrafting_PostCap,Arcana_PostCap,Cooking_PostCap,Furnishing_PostCap,Engineering_PostCap",Ranked,,,
CategoricalProgressionGatheringPostCap,CategoricalProgression,"Fishing_PostCap,Skinning_PostCap,Mining_PostCap,Logging_PostCap,Harvesting_PostCap",Ranked,,,
CategoricalProgressionTerritoryStanding,CategoricalProgression,"2,4,5,6,8,9,10,11,12,13,14,15,16",Points,,,
