FishId,Size,FishingXp,MinWeight,MaxWeight,IsSmall,IsMedium,IsLarge
FishingBassSmallT1,Small,10,0,1,true,false,false
FishingBassMediumT1,Medium,20,1,2,false,true,false
FishingPerchSmallT1,Small,30,2,3,true,false,false
FishingPerchMediumT1,Medium,15,0,5,false,true,false
FishingPikeSmallT1,Small,45,5,10,true,false,false
FishingPikeMediumT1,Medium,10,0,1,false,true,false
FishingPikeLargeT1,Large,20,1,2,false,false,true
FishingTroutSmallT1,Small,30,2,3,true,false,false
FishingTroutMediumT1,Medium,15,0,5,false,true,false
FishingTroutLargeT1,Large,45,5,10,false,false,true
FishingSunfishSmallT1,Small,10,0,1,true,false,false
FishingSunfishMediumT1,Medium,20,1,2,false,true,false
FishingSunfishLargeT1,Large,30,2,3,false,false,true
FishingSalmonSmallT1,Small,15,0,5,true,false,false
FishingSalmonMediumT1,Medium,45,5,10,false,true,false
FishingSalmonLargeT1,Large,10,0,1,false,false,true
FishingMackerelSmallT1,Small,20,1,2,true,false,false
FishingMackerelMediumT1,Medium,30,2,3,false,true,false
FishingSnapperSmallT1,Small,15,0,5,true,false,false
FishingSnapperMediumT1,Medium,45,5,10,false,true,false
FishingFlounderSmallT1,Small,10,0,1,true,false,false
FishingFlounderMediumT1,Medium,20,1,2,false,true,false
FishingBluefishSmallT1,Small,30,2,3,true,false,false
FishingBluefishMediumT1,Medium,15,0,5,false,true,false
FishingHakeSmallT1,Small,45,5,10,true,false,false
FishingHakeMediumT1,Medium,10,0,1,false,true,false
FishingSturgeonLargeT2,Large,20,1,2,false,false,true
FishingCatfishSmallT2,Small,30,2,3,true,false,false
FishingCatfishMediumT2,Medium,15,0,5,false,true,false
FishingCatfishLargeT2,Large,45,5,10,false,false,true
FishingTadpolesSmallT2,Small,10,0,1,true,false,false
FishingSnailSmallT2,Small,20,1,2,true,false,false
FishingCodSmallT2,Small,30,2,3,true,false,false
FishingCodMediumT2,Medium,15,0,5,false,true,false
FishingCodLargeT2,Large,45,5,10,false,false,true
FishingHalibutMedium2,Medium,10,0,1,false,true,false
FishingHalibutLargeT2,Large,20,1,2,false,false,true
FishingClamsSmallT2,Small,30,2,3,true,false,false
FishingSquidSmallT2,Small,15,0,5,true,false,false
FishingSquidMediumT2,Medium,45,5,10,false,true,false
FishingSquidLargeT2,Large,10,0,1,false,false,true
FishingElectricEelSmallT3,Small,20,1,2,true,false,false
FishingElectricEelMediumT3,Medium,30,2,3,false,true,false
FishingPiranhaSmallT3,Small,15,0,5,true,false,false
FishingPiranhaMediumT3,Medium,45,5,10,false,true,false
FishingPaddlefishSmallT3,Small,10,0,1,true,false,false
FishingPaddlefishMediumT3,Medium,20,1,2,false,true,false
FishingPaddlefishLargeT3,Large,30,2,3,false,false,true
FishingSpeartoothSharkSmallT3,Small,15,0,5,true,false,false
FishingSpeartoothSharkMediumT3,Medium,45,5,10,false,true,false
FishingSpeartoothSharkLargeT3,Large,10,0,1,false,false,true
FishingMadtomSmallT3,Small,20,1,2,true,false,false
FishingMadtomMediumT3,Medium,30,2,3,false,true,false
FishingFrogfishSmallT3,Small,15,0,5,true,false,false
FishingFrogfishMediumT3,Medium,45,5,10,false,true,false
FishingDragonFishSmallT3,Small,10,0,1,true,false,false
FishingDragonFishMediumT3,Medium,20,1,2,false,true,false
FishingPearlOysterSmallT3,Small,30,2,3,true,false,false
FishingStarfishSmallT3,Small,15,0,5,true,false,false
FishingStingRaySmallT3,Small,45,5,10,true,false,false
FishingStingRayMediumT3,Medium,10,0,1,false,true,false
FishingStingRayLargeT3,Large,20,1,2,false,false,true
FishingSculpinSmallT3,Small,30,2,3,true,false,false
FishingSculpinMediumT3,Medium,15,0,5,false,true,false
FishingSwordfishMediumT3,Medium,45,5,10,false,true,false
FishingSwordfishLargeT3,Large,10,0,1,false,false,true
FishingMerrowT5,Invalid,20,1,2,false,false,false
FishingAnglerFishT5,Invalid,30,2,3,false,false,false
FishingBishopFishT5,Invalid,15,0,5,false,false,false
FishingMoragT5,Invalid,45,5,10,false,false,false
FishingSelkieT5,Invalid,10,0,1,false,false,false
FishingMandjeMandjeT5,Invalid,20,1,2,false,false,false
FishingEgedeSerpeT5,Invalid,30,2,3,false,false,false
FishingNamazuT5,Invalid,15,0,5,false,false,false
FishingOgopogoT5,Invalid,45,5,10,false,false,false
FishingTessieT5,Invalid,10,0,1,false,false,false
FishingHafgufaT5,Invalid,20,1,2,false,false,false
FishingAbaiaT5,Invalid,30,2,3,false,false,false
FishingMerlionT5,Invalid,15,0,5,false,false,false
FishingMishipeshuT5,Invalid,45,5,10,false,false,false
FishingSeaweedT1,Invalid,10,0,1,false,false,false
FishingBootT2,Invalid,20,1,2,false,false,false
FishingAnchorT2,Invalid,30,2,3,false,false,false
FishingFishSwordT2,Invalid,15,0,5,false,false,false
FishingHeadedHammerT2,Invalid,45,5,10,false,false,false
FishingOarT2,Invalid,10,0,1,false,false,false
FishingTreasureChestT3,Invalid,20,1,2,false,false,false
