Id,Type,CastDistanceRange,CastDistanceMultiplier,FishRarityRollModifier,FishSizeRollModifier,SummerFishRarityRollModifier,RequiredWaterTags,ActiveAtDawn,ActiveAtDaytime,ActiveAtDusk,ActiveAtNight,LootTableId,LootTag,RequiredLevel,FishSize,FishWeightRange,FishLengthRange,FishingXp,TimeToNibbleSecondsRange,TimeToNibbleSecondsMultiplier,TimeToBiteSecondsRange,FishReelTimeSeconds,FishDistanceSwamAwayPerSecond,LineTensionGainPerSecond,LineTensionGainPerSecondMultiplier,LineTensionRecoverPerSecond,FishBehaviors,FishBehaviorPattern,FishBehaviorLocalizationKey,ZoomCameraOnSuccess,FishCharacterDefinitionPath,FishScale,RewardGameEventId
FreshWater_VeryShallow,Water,,,,,,,,,,,,,,,,,,20-30,,1-1.5,,,,,,,,,,,,
FreshWater_Shallow,Water,,,,,,,,,,,,,,,,,,10-25,,1-1.5,,,,,,,,,,,,
FreshWater_Deep,Water,,,,,,,,,,,,,,,,,,5-15,,1-1.5,,,,,,,,,,,,
SaltWater_VeryShallow,Water,,,,,,,,,,,,,,,,,,15-25,,1-1.5,,,,,,,,,,,,
SaltWater_Shallow,Water,,,,,,,,,,,,,,,,,,10-20,,1-1.5,,,,,,,,,,,,
SaltWater_Deep,Water,,,,,,,,,,,,,,,,,,5-15,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_1,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,2,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_2,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,2,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_3,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,4,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_4,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,4,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_5,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,7,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_6,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,3,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_7,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,9,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_8,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,12,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_9,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,16,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_10,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,16,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_11,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,20,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_12,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,25,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_13,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,25,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_14,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,27,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_15,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,30,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_16,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,34,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_17,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,37,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_18,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,37,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_19,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,41,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_20,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,41,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_21,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,45,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_22,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,52,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_23,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,52,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_24,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,56,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_25,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,59,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_26,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,59,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Broad_27,Hotspot,,,0,0,0,,,,,,FishingHotspotLoot,Broad,70,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_28,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,7,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_29,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,20,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_30,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,30,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_31,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,45,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_32,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,56,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_33,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,60,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_34,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,60,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_35,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,62,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_36,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,67,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_37,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,67,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_38,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,70,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_39,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,74,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_40,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,74,,,,,3-6,,1-1.5,,,,,,,,,,,,
