AbilityID,Time,MinTime,WeaponTag
Ability_Sword_ReverseStab,20,0,Sword
Ability_Sword_WhirlingBlade,15,0,Sword
Ability_Sword_Rush,20,0,Sword
Ability_Sword_Bash,25,0,Sword
Ability_Sword_FinalStand,35,0,Sword
Ability_Sword_LeapingStrike,18,0,Sword
Ability_Greataxe_Whirlwind,30,0,GreatAxe
Ability_Greataxe_Charge,20,0,GreatAxe
Ability_Greataxe_Executioner,20,0,GreatAxe
Ability_Greataxe_Reap,18,0,GreatAxe
Ability_Greataxe_Maelstorm,20,0,GreatAxe
Ability_Greataxe_GravityWell,30,0,GreatAxe
Ability_WarHammer_ArmorBreaker,12,0,Warhammer
Ability_WarHammer_MightyGavel,20,0,Warhammer
Ability_WarHammer_WreckingBall,15,0,Warhammer
Ability_WarHammer_ClearOut,15,0,Warhammer
Ability_WarHammer_Shockwave,20,0,Warhammer
Ability_WarHammer_PathOfDestiny,22,0,Warhammer
Ability_Hatchet_SocialDistancing,18,0,Axe
Ability_Hatchet_RendingThrow,8,0,Axe
Ability_Hatchet_InfectedThrow,15,0,Axe
Ability_Hatchet_Berserk,18,0,Axe
Ability_Hatchet_FeralRush,12,0,Axe
Ability_Hatchet_RagingTorrent,15,0,Axe
Ability_Musket_PowerShot,12,0,Rifle
Ability_Musket_ShootersStance,18,0,Rifle
Ability_Musket_PowderBurn,15,0,Rifle
Ability_Musket_Traps,20,0,Rifle
Ability_Musket_StoppingPower,20,0,Rifle
Ability_Musket_StickyBomb,12,0,Rifle
Ability_Bow_RapidShot,14,0,Bow
Ability_Bow_EvadeShot,15,0,Bow
Ability_Bow_PenetratingShot,18,0,Bow
Ability_Bow_SplinterShot,22,0,Bow
Ability_Bow_PoisonShot,20,0,Bow
Ability_Bow_RainofArrows,20,0,Bow
Ability_Lifestaff_DivineEmbrace,6,0,MagicStaff
Ability_Lifestaff_SacredGround,20,0,MagicStaff
Ability_Lifestaff_SplashofLight,15,0,MagicStaff
Ability_Lifestaff_OrbofProtection,10,0,MagicStaff
Ability_Lifestaff_LightsEmbrace,4,0,MagicStaff
Ability_Lifestaff_Beacon,35,0,MagicStaff
Ability_Firestaff_Fireball,15,0,MagicStaff
Ability_Firestaff_PillarofFire,15,0,MagicStaff
Ability_Firestaff_MeteorShower,18,0,MagicStaff
Ability_Firestaff_BurnOut,20,0,MagicStaff
Ability_Firestaff_Incinerate,12,0,MagicStaff
Ability_Firestaff_FlameThrower,8,0,MagicStaff
Ability_Spear_Javelin,15,0,Spear
Ability_Spear_Skewer,15,0,Spear
Ability_Spear_Perforate,12,0,Spear
Ability_Spear_Sweep,10,0,Spear
Ability_Spear_Cyclone,12,0,Spear
Ability_Spear_VaultKick,15,0,Spear
Ability_Rapier_Slash,6,0,Rapier
Ability_Rapier_Flurry,16,0,Rapier
Ability_Rapier_Flourish,20,0,Rapier
Ability_Rapier_Riposte,18,0,Rapier
Ability_Rapier_Lunge,16,0,Rapier
Ability_Rapier_Evasion,12,0,Rapier
Ability_Rapier_Aerial_Lunge_Intro,20,0,Rapier
IceMagic_Spikes,10,0,MagicGauntlet
IceMagic_IceStorm,20,0,MagicGauntlet
IceMagic_WindChill,15,0,MagicGauntlet
IceMagic_Entombed,30,0,MagicGauntlet
IceMagic_IceShower,30,0,MagicGauntlet
IceMagic_IcePylon,10,0,MagicGauntlet
Ability_VoidGauntlet_VoidBlade,10,0,VoidGauntlet
Ability_VoidGauntlet_NullChamber,20,0,VoidGauntlet
Ability_VoidGauntlet_Scream,25,0,VoidGauntlet
Ability_VoidGauntlet_DecayingOrb,15,0,VoidGauntlet
Ability_VoidGauntlet_DrainingTether,25,0,VoidGauntlet
Ability_VoidGauntlet_EssenceRupture,20,0,VoidGauntlet
Ability_Blunderbuss_ClawShot,20,0,Blunderbuss
Ability_Blunderbuss_NetShot,20,0,Blunderbuss
Ability_Blunderbuss_VortexShot,30,0,Blunderbuss
Ability_Blunderbuss_SplittingGrenade,30,0,Blunderbuss
Ability_Blunderbuss_AzothShrapnelBlast,14,0,Blunderbuss
Ability_Blunderbuss_MortarShot,18,0,Blunderbuss
Ability_Blunderbuss_Charge,2,0,Blunderbuss
Ability_Greatsword_DashAttack,20,0,Greatsword
Ability_Greatsword_Combo,20,0,Greatsword
Ability_Greatsword_DefenseBreak,18,0,Greatsword
Ability_Greatsword_Counter,20,0,Greatsword
Ability_Greatsword_DrainAttack,18,0,Greatsword
Ability_Greatsword_Burst,20,0,Greatsword
Ability_Flail_Slam,18,0,Flail
Ability_Flail_Blast,20,0,Flail
Ability_Flail_Burst,16,0,Flail
Ability_Flail_Charge,25,0,Flail
Ability_Flail_Trip,18,0,Flail
Ability_Flail_DefensiveStrike,22,0,Flail
