Level,MaximumInfluence,InfluenceCost,FreeRewardId,PremiumRewardId
0,2750,0,S6_BattlePass_Free_00,
1,2750,2750,S6_BattlePass_Free_01,S6_BattlePass_Premium_01
2,2750,2750,S6_BattlePass_Free_02,S6_BattlePass_Premium_02
3,2750,2750,S6_BattlePass_Free_03,S6_BattlePass_Premium_03
4,2750,2750,S6_BattlePass_Free_04,S6_BattlePass_Premium_04
5,2750,2750,S6_BattlePass_Free_05,S6_BattlePass_Premium_05
6,2750,2750,S6_BattlePass_Free_06,S6_BattlePass_Premium_06
7,2750,2750,S6_BattlePass_Free_07,S6_BattlePass_Premium_07
8,2750,2750,S6_BattlePass_Free_08,S6_BattlePass_Premium_08
9,2750,2750,S6_BattlePass_Free_09,S6_BattlePass_Premium_09
10,2750,2750,S6_BattlePass_Free_10,S6_BattlePass_Premium_10
11,2750,2750,S6_BattlePass_Free_11,S6_BattlePass_Premium_11
12,2750,2750,S6_BattlePass_Free_12,S6_BattlePass_Premium_12
13,2750,2750,S6_BattlePass_Free_13,S6_BattlePass_Premium_13
14,2750,2750,S6_BattlePass_Free_14,S6_BattlePass_Premium_14
15,2750,2750,S6_BattlePass_Free_15,S6_BattlePass_Premium_15
16,2750,2750,S6_BattlePass_Free_16,S6_BattlePass_Premium_16
17,2750,2750,S6_BattlePass_Free_17,S6_BattlePass_Premium_17
18,2750,2750,S6_BattlePass_Free_18,S6_BattlePass_Premium_18
19,2750,2750,S6_BattlePass_Free_19,S6_BattlePass_Premium_19
20,2750,2750,S6_BattlePass_Free_20,S6_BattlePass_Premium_20
21,2750,2750,S6_BattlePass_Free_21,S6_BattlePass_Premium_21
22,2750,2750,S6_BattlePass_Free_22,S6_BattlePass_Premium_22
23,2750,2750,S6_BattlePass_Free_23,S6_BattlePass_Premium_23
24,2750,2750,S6_BattlePass_Free_24,S6_BattlePass_Premium_24
25,2750,2750,S6_BattlePass_Free_25,S6_BattlePass_Premium_25
26,2750,2750,S6_BattlePass_Free_26,S6_BattlePass_Premium_26
27,2750,2750,S6_BattlePass_Free_27,S6_BattlePass_Premium_27
28,2750,2750,S6_BattlePass_Free_28,S6_BattlePass_Premium_28
29,2750,2750,S6_BattlePass_Free_29,S6_BattlePass_Premium_29
30,2750,2750,S6_BattlePass_Free_30,S6_BattlePass_Premium_30
31,2750,2750,S6_BattlePass_Free_31,S6_BattlePass_Premium_31
32,2750,2750,S6_BattlePass_Free_32,S6_BattlePass_Premium_32
33,2750,2750,S6_BattlePass_Free_33,S6_BattlePass_Premium_33
34,2750,2750,S6_BattlePass_Free_34,S6_BattlePass_Premium_34
35,2750,2750,S6_BattlePass_Free_35,S6_BattlePass_Premium_35
36,2750,2750,S6_BattlePass_Free_36,S6_BattlePass_Premium_36
37,2750,2750,S6_BattlePass_Free_37,S6_BattlePass_Premium_37
38,2750,2750,S6_BattlePass_Free_38,S6_BattlePass_Premium_38
39,2750,2750,S6_BattlePass_Free_39,S6_BattlePass_Premium_39
40,2750,2750,S6_BattlePass_Free_40,S6_BattlePass_Premium_40
41,2750,2750,S6_BattlePass_Free_41,S6_BattlePass_Premium_41
42,2750,2750,S6_BattlePass_Free_42,S6_BattlePass_Premium_42
43,2750,2750,S6_BattlePass_Free_43,S6_BattlePass_Premium_43
44,2750,2750,S6_BattlePass_Free_44,S6_BattlePass_Premium_44
45,2750,2750,S6_BattlePass_Free_45,S6_BattlePass_Premium_45
46,2750,2750,S6_BattlePass_Free_46,S6_BattlePass_Premium_46
47,2750,2750,S6_BattlePass_Free_47,S6_BattlePass_Premium_47
48,2750,2750,S6_BattlePass_Free_48,S6_BattlePass_Premium_48
49,2750,2750,S6_BattlePass_Free_49,S6_BattlePass_Premium_49
50,2750,2750,S6_BattlePass_Free_50,S6_BattlePass_Premium_50
51,2750,2750,S6_BattlePass_Free_51,S6_BattlePass_Premium_51
52,2750,2750,S6_BattlePass_Free_52,S6_BattlePass_Premium_52
53,2750,2750,S6_BattlePass_Free_53,S6_BattlePass_Premium_53
54,2750,2750,S6_BattlePass_Free_54,S6_BattlePass_Premium_54
55,2750,2750,S6_BattlePass_Free_55,S6_BattlePass_Premium_55
56,2750,2750,S6_BattlePass_Free_56,S6_BattlePass_Premium_56
57,2750,2750,S6_BattlePass_Free_57,S6_BattlePass_Premium_57
58,2750,2750,S6_BattlePass_Free_58,S6_BattlePass_Premium_58
59,2750,2750,S6_BattlePass_Free_59,S6_BattlePass_Premium_59
60,2750,2750,S6_BattlePass_Free_60,S6_BattlePass_Premium_60
61,2750,2750,S6_BattlePass_Free_61,S6_BattlePass_Premium_61
62,2750,2750,S6_BattlePass_Free_62,S6_BattlePass_Premium_62
63,2750,2750,S6_BattlePass_Free_63,S6_BattlePass_Premium_63
64,2750,2750,S6_BattlePass_Free_64,S6_BattlePass_Premium_64
65,2750,2750,S6_BattlePass_Free_65,S6_BattlePass_Premium_65
66,2750,2750,S6_BattlePass_Free_66,S6_BattlePass_Premium_66
67,2750,2750,S6_BattlePass_Free_67,S6_BattlePass_Premium_67
68,2750,2750,S6_BattlePass_Free_68,S6_BattlePass_Premium_68
69,2750,2750,S6_BattlePass_Free_69,S6_BattlePass_Premium_69
70,2750,2750,S6_BattlePass_Free_70,S6_BattlePass_Premium_70
71,2750,2750,S6_BattlePass_Free_71,S6_BattlePass_Premium_71
72,2750,2750,S6_BattlePass_Free_72,S6_BattlePass_Premium_72
73,2750,2750,S6_BattlePass_Free_73,S6_BattlePass_Premium_73
74,2750,2750,S6_BattlePass_Free_74,S6_BattlePass_Premium_74
75,2750,2750,S6_BattlePass_Free_75,S6_BattlePass_Premium_75
76,2750,2750,S6_BattlePass_Free_76,S6_BattlePass_Premium_76
77,2750,2750,S6_BattlePass_Free_77,S6_BattlePass_Premium_77
78,2750,2750,S6_BattlePass_Free_78,S6_BattlePass_Premium_78
79,2750,2750,S6_BattlePass_Free_79,S6_BattlePass_Premium_79
80,2750,2750,S6_BattlePass_Free_80,S6_BattlePass_Premium_80
81,2750,2750,S6_BattlePass_Free_81,S6_BattlePass_Premium_81
82,2750,2750,S6_BattlePass_Free_82,S6_BattlePass_Premium_82
83,2750,2750,S6_BattlePass_Free_83,S6_BattlePass_Premium_83
84,2750,2750,S6_BattlePass_Free_84,S6_BattlePass_Premium_84
85,2750,2750,S6_BattlePass_Free_85,S6_BattlePass_Premium_85
86,2750,2750,S6_BattlePass_Free_86,S6_BattlePass_Premium_86
87,2750,2750,S6_BattlePass_Free_87,S6_BattlePass_Premium_87
