ProgressionPoolId,Category,PointCap,InitialPoints,VersionNumber
TEMP_Crafting_Specialization_Blacksmithing,Player,20,,
TEMP_Crafting_Specialization_Alchemy,Player,20,,
TEMP_Crafting_Specialization_Outfitting,Player,20,,
TEMP_Crafting_Specialization_Cooking,Player,20,,
HatchetAbilityTable,Player,20,,5
SwordAbilityTable,Player,20,,5
BowAbilityTable,Player,20,,6
SpearAbilityTable,Player,20,,3
GreatAxeAbilityTable,Player,20,,4
WarHammerAbilityTable,Player,20,,4
MusketAbilityTable,Player,20,,4
LifeMagicAbilityTable,Player,20,,5
FireMagicAbilityTable,Player,20,,6
RapierAbilityTable,Player,20,,4
IceMagicAbilityTable,Player,20,,2
VoidGauntletAbilityTable,Player,20,,0
BlunderbussAbilityTable,Player,20,,1
GreatSwordAbilityTable,Player,20,,1
FlailAbilityTable,Player,20,,0
TerritoryRankBonus_2,Territory,300,,
TerritoryRankBonus_4,Territory,300,,
TerritoryRankBonus_5,Territory,300,,
TerritoryRankBonus_6,Territory,300,,
TerritoryRankBonus_8,Territory,300,,
TerritoryRankBonus_9,Territory,300,,
TerritoryRankBonus_10,Territory,300,,
TerritoryRankBonus_11,Territory,300,,
TerritoryRankBonus_12,Territory,300,,
TerritoryRankBonus_13,Territory,300,,
TerritoryRankBonus_14,Territory,300,,
TerritoryRankBonus_15,Territory,300,,
TerritoryRankBonus_16,Territory,300,,
TerritoryRankBonus_74,Territory,300,,
TerritoryRankBonus_75,Territory,300,,
