VariantID,StartMesh,StartMat,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,AudioPreload_Depletion,DepletedSFX,Collision_Play_SFX,Collision_Stop_SFX,CollisionFX,DepletedVFX,DepletedMesh,DepletedMat,StartMeshLOD,EndMeshLOD,AmbientType,ShowOnCompass,CompassIcon,TradeskillIconUnlockType,MarkerRadius,AllowGatheringInGameModes,AudioPreload_gathering,SFX_Gathering
BarleyPlant_a,Objects\Nature\Veg_Plants\Plants_Forest\Barley\jav_fst_barleyplant_a.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Barley\JAV_Fst_BarleyPlant_A_mat.mtl,Barley,1,2.2,2,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Grain_A,Objects\Nature\Veg_Plants\Plants_Forest\Barley\jav_fst_barleyplant_pick_a.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Barley\JAV_Fst_BarleyPlant_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Grain_Compass.png,FarmPlants,3.7,,gather_interact_resources,Play_Gather_Interact_Plant
BarleyPlant_b,Objects\Nature\Veg_Plants\Plants_Forest\Barley\jav_fst_barleyplant_b.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Barley\JAV_Fst_BarleyPlant_A_mat.mtl,Barley,1,1.8,2,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Grain_B,Objects\Nature\Veg_Plants\Plants_Forest\Barley\jav_fst_barleyplant_pick_b.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Barley\JAV_Fst_BarleyPlant_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Grain_Compass.png,FarmPlants,3.3,,gather_interact_resources,Play_Gather_Interact_Plant
BarleyPlant_c,Objects\Nature\Veg_Plants\Plants_Forest\Barley\jav_fst_barleyplant_c.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Barley\JAV_Fst_BarleyPlant_A_mat.mtl,Barley,1,1.8,1,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Grain_C,Objects\Nature\Veg_Plants\Plants_Forest\Barley\jav_fst_barleyplant_pick_c.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Barley\JAV_Fst_BarleyPlant_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Grain_Compass.png,FarmPlants,3.3,,gather_interact_resources,Play_Gather_Interact_Plant
Berrybush_a,Objects\Nature\Veg_Bushes\Bushes_Resources\BurstBerryBush\jav_rsrc_burstberrybush_a.cgf,Objects\Nature\Veg_Bushes\Bushes_Resources\BurstBerryBush\JAV_Rsrc_BurstBerryBush_A_mat.mtl,BerryBushLarge,0.4,2.2,1,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Burstberry_Summer_A,Objects\Nature\Veg_Bushes\Bushes_Resources\BurstBerryBush\jav_rsrc_burstberrybush_pick_a.cgf,Objects\Nature\Veg_Bushes\Bushes_Resources\BurstBerryBush\JAV_Rsrc_BurstBerryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.7,,gather_interact_resources,Play_Gather_Interact_Plant
Berrybush_b,Objects\Nature\Veg_Bushes\Bushes_Resources\BurstBerryBush\jav_rsrc_burstberrybush_b.cgf,Objects\Nature\Veg_Bushes\Bushes_Resources\BurstBerryBush\JAV_Rsrc_BurstBerryBush_A_mat.mtl,BerryBushMedium,0.2,1.8,1,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Burstberry_Summer_B,Objects\Nature\Veg_Bushes\Bushes_Resources\BurstBerryBush\jav_rsrc_burstberrybush_pick_b.cgf,Objects\Nature\Veg_Bushes\Bushes_Resources\BurstBerryBush\JAV_Rsrc_BurstBerryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.3,,gather_interact_resources,Play_Gather_Interact_Plant
Berrybush_c,Objects\Nature\Veg_Bushes\Bushes_Resources\BurstBerryBush\jav_rsrc_burstberrybush_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Resources\BurstBerryBush\JAV_Rsrc_BurstBerryBush_A_mat.mtl,BerryBushSmall,0.1,1.8,1,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Burstberry_Summer_C,Objects\Nature\Veg_Bushes\Bushes_Resources\BurstBerryBush\jav_rsrc_burstberrybush_pick_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Resources\BurstBerryBush\JAV_Rsrc_BurstBerryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.3,,gather_interact_resources,Play_Gather_Interact_Plant
BlueberryBush_a,Objects\Nature\Veg_Bushes\Bushes_Forest\Blueberry\jav_fst_blueberrybush_a.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Blueberry\JAV_Fst_BlueberryBush_A_mat.mtl,BlueberryBushLarge,0.65,2.2,2,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Blueberry_A,Objects\Nature\Veg_Bushes\Bushes_Forest\Blueberry\jav_fst_blueberrybush_pick_a.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Blueberry\JAV_Fst_BlueberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.7,,gather_interact_resources,Play_Gather_Interact_Plant
BlueberryBush_b,Objects\Nature\Veg_Bushes\Bushes_Forest\Blueberry\jav_fst_blueberrybush_b.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Blueberry\JAV_Fst_BlueberryBush_A_mat.mtl,BlueberryBushMedium,0.65,1.8,1.5,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Blueberry_B,Objects\Nature\Veg_Bushes\Bushes_Forest\Blueberry\jav_fst_blueberrybush_pick_b.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Blueberry\JAV_Fst_BlueberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.3,,gather_interact_resources,Play_Gather_Interact_Plant
BlueberryBush_c,Objects\Nature\Veg_Bushes\Bushes_Forest\Blueberry\jav_fst_blueberrybush_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Blueberry\JAV_Fst_BlueberryBush_A_mat.mtl,BlueberryBushSmall,0.65,1.8,1,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Blueberry_C,Objects\Nature\Veg_Bushes\Bushes_Forest\Blueberry\jav_fst_blueberrybush_pick_c.cgf,Objects\Nature\Veg_Bushes\Bushes_Forest\Blueberry\JAV_Fst_BlueberryBush_A_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Fruit_Compass.png,FarmPlants,3.3,,gather_interact_resources,Play_Gather_Interact_Plant
CarrotPlant_a,Objects\Nature\Veg_Plants\Plants_Forest\Carrot\jav_fst_carrotplant_a.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Carrot\jav_fst_carrotplant_a_mat.mtl,Carrot,0.65,2.2,1.5,gath_bush_leaves_small,Play_Gather_Bush_Sml,Play_Foliage_Green_Med,Stop_Foliage_Green_Med,Gatherable.Edible_Flora.Loop_Burstberry_Summer_A,Gatherable.Edible_Flora.Demolish.Carrot_B,Objects\Nature\Veg_Plants\Plants_Forest\Carrot\jav_fst_carrotplant_pick_a.cgf,Objects\Nature\Veg_Plants\Plants_Forest\Carrot\jav_fst_carrotplant_a_mat.mtl,100,100,Bush,1,LyShineUI\Images\Map\Icon\Gatherables\Vegetable_Compass.png,FarmPlants,3.7,,gather_interact_resources,Play_Gather_Interact_Plant
