VariantID,NPCId,Name,CharacterDefinition,ByeTimeline,GreetTimeline,IdleTimeline,InteractTimeline,SwapAchievementId,PlaceholderMesh,AttachedMesh,AttachmentPositionX,AttachmentPositionY,AttachmentPositionZ,AttachmentRotationX,AttachmentRotationY,AttachmentRotationZ,InteractOverride_X,InteractOverride_Y,MarkerOffset_Z
0428_Jones,0428_Jones,@0428_Jones,Objects\Characters\npc\Settlements\0428_jones.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,,,,,,,,,,,,
7506_Spawn,7506_Spawn,@7506_Spawn,Objects\Characters\npc\Settlements\9921_msq_warden_Walker.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,,,,,,,,,,,,
7507_Swap,7507_Swap,@7507_Swap,Objects\Characters\npc\Settlements\9914_msq_Hunter.cdf,Libs\Timeline\Npc\NPC_PlayByeAnim.timeline,Libs\Timeline\Npc\NPC_PlayGreetAnim.timeline,Libs\Timeline\Npc\NPC_PlayIdleLoop.timeline,Libs\Timeline\Npc\NPC_PlayInteractLoop.timeline,DevWorld_Spawn_TopicUnlock,Objects\Crafting\Props\FoodStuffs\Mushrooms\glowing_mushrooms_a.cgf,Objects\Crafting\Props\Tools\Hammers\Mallet\JAV_PRP_Mallet.cgf,-4.2695,-3.0969,1.1753,288.3241,1.7843,294.3229,,,
0831_TangZhi_Start,0831_TangZhi_Start,@0831_TangZhi,Objects\Characters\npc\Settlements\0831_tangzhi.cdf,Libs\Timeline\Npc\settle_adjudicator_exit_01.timeline,Libs\Timeline\Npc\settle_adjudicator_intro_01.timeline,Libs\Timeline\Npc\settle_adjudicator_ambient_01.timeline,Libs\Timeline\Npc\settle_adjudicator_interact_01.timeline,SwapActive_LastArgument_FinalNPCs_On,Objects\Crafting\Props\Storage\Barrels\jav_prp_ShopBarrel_Closed_a.cgf,,,,,,,,,,
0831_TangZhi_Final,0831_TangZhi_Final,@0831_TangZhi,Objects\Characters\npc\Settlements\0831_tangzhi.cdf,Libs\Timeline\Npc\settle_adjudicator_exit_01.timeline,Libs\Timeline\Npc\settle_adjudicator_intro_01.timeline,Libs\Timeline\Npc\settle_adjudicator_ambient_01.timeline,Libs\Timeline\Npc\settle_adjudicator_interact_01.timeline,SwapActive_LastArgument_FinalNPCs_On,Objects\Crafting\Props\Storage\Barrels\jav_prp_ShopBarrel_Closed_a.cgf,,,,,,,,,,
0832_Alvaro_Start,0832_Alvaro_Start,@0832_Alvaro,Objects\Characters\npc\Settlements\0832_alvaro.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,SwapActive_LastArgument_FinalNPCs_On,Objects\Crafting\Props\Storage\Barrels\jav_prp_ShopBarrel_Closed_a.cgf,,,,,,,,,,
0832_Alvaro_Final,0832_Alvaro_Final,@0832_Alvaro,Objects\Characters\npc\Settlements\0832_alvaro.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,SwapActive_LastArgument_FinalNPCs_On,Objects\Crafting\Props\Storage\Barrels\jav_prp_ShopBarrel_Closed_a.cgf,,,,,,,,,,
1124_PierreAuguste,1124_PierreAuguste,@1124_PierreAuguste,Objects\Characters\npc\Settlements\1124_pierreauguste.cdf,Libs\Timeline\Npc\settle_adjudicator_exit_01.timeline,Libs\Timeline\Npc\settle_adjudicator_intro_01.timeline,Libs\Timeline\Npc\settle_adjudicator_ambient_01.timeline,Libs\Timeline\Npc\settle_adjudicator_interact_01.timeline,SwapActive_1124_Pierre_Town_off,,,,,,,,,,,
1124_PierreAuguste_2,1124_PierreAuguste2,@1124_PierreAuguste,Objects\Characters\npc\Settlements\1124_pierreauguste2.cdf,Libs\Timeline\Npc\settle_ranger_exit_01.timeline,Libs\Timeline\Npc\settle_ranger_intro_01.timeline,Libs\Timeline\Npc\settle_ranger_ambient_01.timeline,Libs\Timeline\Npc\settle_ranger_interact_01.timeline,SwapActive_1124_Pierre_Town_off,,,,,,,,,,,
1124_Pierre_Note,1124_Pierre_Note,,,,,,,SwapActive_1124_Pierre_Town_off,,,,,,,,,,,
1127_Harunobu,1127_Harunobu,@1127_harunobu,Objects\Characters\npc\Settlements\1127_harunobu.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,SwapActive_1127_Harunobu_Off,,,,,,,,,,,
1127_Harunobu2,1127_Harunobu2,@1127_Harunobu2,Objects\Characters\npc\Settlements\1127_harunobu.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,SwapActive_1127_Harunobu_Off,,,,,,,,,,,
1128_Lerato,1128_Lerato,@1128_Lerato,Objects\Characters\npc\Settlements\1128_lerato.cdf,Libs\Timeline\Npc\settle_ranger_exit_01.timeline,Libs\Timeline\Npc\settle_ranger_intro_01.timeline,Libs\Timeline\Npc\settle_ranger_ambient_01.timeline,Libs\Timeline\Npc\settle_ranger_interact_01.timeline,SwapActive_1128_Lerato_Off,,,,,,,,,,,
1128_Lerato2,1128_Lerato2,@1128_Lerato2,Objects\Characters\npc\Settlements\1128_lerato.cdf,Libs\Timeline\Npc\settle_warden_exit_01.timeline,Libs\Timeline\Npc\settle_warden_intro_01.timeline,Libs\Timeline\Npc\settle_warden_ambient_01.timeline,Libs\Timeline\Npc\settle_warden_interact_01.timeline,SwapActive_1128_Lerato_Off,,,,,,,,,,,
1129_Jaansen,1129_Jaansen,@1129_Jaansen,Objects\Characters\npc\Settlements\1129_jaansen.cdf,Libs\Timeline\Npc\settle_alchemist_exit_01.timeline,Libs\Timeline\Npc\settle_alchemist_intro_01.timeline,Libs\Timeline\Npc\settle_alchemist_ambient_01.timeline,Libs\Timeline\Npc\settle_alchemist_interact_01.timeline,SwapActive_1129_Jaansen_1_Off,,,,,,,,,,,
1129_Jaansen2,1129_Jaansen2,@1129_Jaansen,Objects\Characters\npc\Settlements\1129_jaansen.cdf,Libs\Timeline\Npc\settle_alchemist_exit_01.timeline,Libs\Timeline\Npc\settle_alchemist_intro_01.timeline,Libs\Timeline\Npc\settle_alchemist_ambient_01.timeline,Libs\Timeline\Npc\settle_alchemist_interact_01.timeline,SwapActive_1129_Jaansen_2_On_Off,,,,,,,,,,,
