VariantID,StartMesh,Mass,StartMeshLOD,Play_Falling_SFX,Stop_Falling_SFX,Play_Sliding_SFX,X_Sliding_SFX,Y_Sliding_SFX,Z_Sliding_SFX,CutMaterial
AspenTree_a_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\jav_fst_aspentree_cuttrunk_a.cgf,1000,70,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,10,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\JAV_Fst_AspenTree_mat_Cut.mtl
AspenTree_b_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\jav_fst_aspentree_cuttrunk_b.cgf,1000,65,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,10,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\JAV_Fst_AspenTree_mat_Cut.mtl
AspenTree_c_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\jav_fst_aspentree_cuttrunk_c.cgf,1000,60,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,10,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\JAV_Fst_AspenTree_mat_Cut.mtl
AspenTree_d_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\jav_fst_aspentree_cuttrunk_d.cgf,1000,90,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,6,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\JAV_Fst_AspenTree_mat_Cut.mtl
AspenTree_e_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\jav_fst_aspentree_cuttrunk_e.cgf,500,90,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,4,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\JAV_Fst_AspenTree_mat_Cut.mtl
AspenTree_a_super01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\jav_fst_aspentree_cuttrunk_a.cgf,1000,70,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,10,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\JAV_Fst_AspenTree_Super01_mat_Cut.mtl
AspenTree_b_super01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\jav_fst_aspentree_cuttrunk_b.cgf,1000,65,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,10,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\JAV_Fst_AspenTree_Super01_mat_Cut.mtl
AspenTree_c_super01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\jav_fst_aspentree_cuttrunk_c.cgf,1000,60,Play_Gather_TreeFall_Med,Stop_Gather_TreeFall_Med,Play_Slide_Tree_Med,0,0,10,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\JAV_Fst_AspenTree_Super01_mat_Cut.mtl
AspenTree_d_super01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\jav_fst_aspentree_cuttrunk_d.cgf,1000,90,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,6,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\JAV_Fst_AspenTree_Super01_mat_Cut.mtl
AspenTree_e_super01_cuttrunk,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\jav_fst_aspentree_cuttrunk_e.cgf,500,90,Play_Gather_TreeFall_Small,Stop_Gather_TreeFall_Small,Play_Slide_Tree_Small,0,0,4,Objects\Nature\Veg_Trees\Trees_Forest\Aspen\JAV_Fst_AspenTree_Super01_mat_Cut.mtl
