VariantID,Visuals_Healthy,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,MarkerRadius,AudioPreload_loop,AudioPreload_Burst_1,AudioPreload_Burst_2,AudioPreload_Burst_3,AudioPreload_depleted,SFX_depleted,SFX_Idle,VFX_Idle,SFX_Burst_1,SFX_Burst_2,SFX_Burst_3,VFX_Burst_1,VFX_Burst_2,VFX_Burst_3,IdleVFX_Offset_Z,DepletedVFX,DepletedMesh,StartMeshLOD,EndMeshLOD,GatheringFX,ShowOnMap,ShowOnCompass,MapIcon,CompassIcon,TradeskillIconUnlockType,MapTooltipTitleLocTag,MapTooltipDescLocTag,EnableBurstParticle1,EnableBurstParticle2,EnableBurstParticle3
CorruptionCore_Major_Monolith_DT1,slices/Darkness/Events/General/Core/Art/Darkness_Core_Art.dynamicslice,DarknessMajorMonolithDT1,5,5,3,7,Corruption_Beam_A,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_Monolith_idle01,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,,,,,env_darkness.Core.Core_death01,,,,env_darkness.Core.Core_minor_monolith_gather01,,,,,,,,,,
CorruptionCore_Major_Monolith_DT2,slices/Darkness/Events/General/Core/Art/Darkness_Core_Art.dynamicslice,DarknessMajorMonolithDT2,5,5,3,7,Corruption_Beam_A,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_Monolith_idle01,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,,,,,env_darkness.Core.Core_death01,,,,env_darkness.Core.Core_minor_monolith_gather01,,,,,,,,,,
CorruptionCore_Major_Monolith_DT3,slices/Darkness/Events/General/Core/Art/Darkness_Core_Art.dynamicslice,DarknessMajorMonolithDT3,5,5,3,7,Corruption_Beam_A,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_Monolith_idle01,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,,,,,env_darkness.Core.Core_death01,,,,env_darkness.Core.Core_minor_monolith_gather01,,,,,,,,,,
CorruptionCore_Major_Monolith_DT4,slices/Darkness/Events/General/Core/Art/Darkness_Core_Art.dynamicslice,DarknessMajorMonolithDT4,5,5,3,7,Corruption_Beam_A,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_Monolith_idle01,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,,,,,env_darkness.Core.Core_death01,,,,env_darkness.Core.Core_minor_monolith_gather01,,,,,,,,,,
CorruptionCore_Major_Monolith_DT5,slices/Darkness/Events/General/Core/Art/Darkness_Core_Art.dynamicslice,DarknessMajorMonolithDT5,5,5,3,7,Corruption_Beam_A,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_Monolith_idle01,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,,,,,env_darkness.Core.Core_death01,,,,env_darkness.Core.Core_minor_monolith_gather01,,,,,,,,,,
CorruptionCore_Major_Monolith_DT6,slices/Darkness/Events/General/Core/Art/Darkness_Core_Art.dynamicslice,DarknessMajorMonolithDT6,5,5,3,7,Corruption_Beam_A,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_Monolith_idle01,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,,,,,env_darkness.Core.Core_death01,,,,env_darkness.Core.Core_minor_monolith_gather01,,,,,,,,,,
CorruptionCore_Minor_Monolith_DT1,slices/Darkness/Events/General/Core/Art/Darkness_Core_Art.dynamicslice,DarknessMinorMonolithDT1,5,5,3,7,Corruption_Beam_A,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,,,,,env_darkness.Core.Core_death01,,,,env_darkness.Core.Core_minor_monolith_gather01,,,,,,,,,,
CorruptionCore_Minor_Monolith_DT2,slices/Darkness/Events/General/Core/Art/Darkness_Core_Art.dynamicslice,DarknessMinorMonolithDT2,5,5,3,7,Corruption_Beam_A,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,,,,,env_darkness.Core.Core_death01,,,,env_darkness.Core.Core_minor_monolith_gather01,,,,,,,,,,
CorruptionCore_Minor_Monolith_DT3,slices/Darkness/Events/General/Core/Art/Darkness_Core_Art.dynamicslice,DarknessMinorMonolithDT3,5,5,3,7,Corruption_Beam_A,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,,,,,env_darkness.Core.Core_death01,,,,env_darkness.Core.Core_minor_monolith_gather01,,,,,,,,,,
CorruptionCore_Minor_Monolith_DT4,slices/Darkness/Events/General/Core/Art/Darkness_Core_Art.dynamicslice,DarknessMinorMonolithDT4,5,5,3,7,Corruption_Beam_A,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Gath_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Corruption_Beam_A,env_darkness.Core.Core_minor_monolith_idle01,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,Play_Alchemy_Fire_Boid,,,,,env_darkness.Core.Core_death01,,,,env_darkness.Core.Core_minor_monolith_gather01,,,,,,,,,,
