VariantID,Visual_Healthy,Visual_Depleted,Visual_NotOnRequiredQuest,Visual_Basemesh,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,MarkerRadius,AudioPreload_depleted,SFX_depleted,AudioPreload_idle,SFX_Idle,VFX_Idle,IdleVFX_Offset_Z,DepletedVFX,depletedVFX_Offset_Z,GatheringFX,gatheringVFX_Offzet_Z,interactionMarker_Offset_Z,InteractionEvent,InteractTag,InteractOnlyOnQuest,AchievementID,AchievementServerState,ReleaseVersion,ShowOnCompass,CompassIcon,TradeskillIconUnlockType
WinterConv_LostPresent,slices\Holiday\WinterConvergence\WinterConv_PackagePile_A.dynamicslice,,,,LostPresent00,0.6,3,1.25,5,StandardPresent,Play_SFX_StandardPresent_Depleted,StandardPresent,Play_SFX_StandardPresent_Lp,Event_Winter_Convergence.Present.Idle_Common,,Event_Winter_Convergence.Present.End_Common,0,,0,0,,,,,,Event_WinterConvergence_Temp,1,LyShineUI\Images\Map\Icon\icon_map_wc.png,
WinterConv_GleamiteChunk,slices\Holiday\WinterConvergence\Activities\Gleamites\Art\WinterConv_Gleamite_Chunk_ART_00.dynamicslice,,,,WinterConvGleamiteChunk,1.25,3,2.2,6,Gleamite_Chunks,Play_SFX_Gleamite_DepletedChunk,Gleamite_Chunks,Play_SFX_Gleamite_BigIdleChunk,Event_Gleamite.Gleamite_Chunk_Idle,,Event_Gleamite.Gleamite_Chunk_Depleted,0,,0,0,,,,,,Event_WinterConvergence_Temp,,,
WinterConv_GleamiteShard,slices\Holiday\WinterConvergence\Activities\Gleamites\Art\WinterConv_Gleamite_Shard_ART_00.dynamicslice,,,,WinterConvGleamiteShard,1,2.25,1.5,4,Gleamite_Chunks,Play_SFX_Gleamite_Shards_Depleted,Gleamite_Chunks,Play_SFX_Gleamite_SmallIdleChunk,Event_Gleamite.Gleamite_Shard_Idle,,Event_Gleamite.Gleamite_Shard_Depleted,0,,0,0,,,,,,Event_WinterConvergence_Temp,,,
SpringTide_WispyBloom_Small_Green,slices\Holiday\SpringTide\Activities\Wispybloom\SpringTide_Wispybloom_Small_Green_Art_Temp.slice,,,,SpringTideWispyBloomGreenS,0.5,1.75,2.5,5,,,,,,,,0,,0,0,,,,,,Event_SpringtideBloom_Temp,,,
SpringTide_WispyBloom_Small_Purple,slices\Holiday\SpringTide\Activities\Wispybloom\SpringTide_Wispybloom_Small_Purple_Art_Temp.slice,,,,SpringTideWispyBloomPurpleS,0.5,1.75,2.5,5,,,,,,,,0,,0,0,,,,,,Event_SpringtideBloom_Temp,,,
SpringTide_WispyBloom_Small_Yellow,slices\Holiday\SpringTide\Activities\Wispybloom\SpringTide_Wispybloom_Small_Yellow_Art_Temp.slice,,,,SpringTideWispyBloomYellowS,0.5,1.75,2.5,5,,,,,,,,0,,0,0,,,,,,Event_SpringtideBloom_Temp,,,
SpringTide_WispyBloom_Large_Green,slices\Holiday\SpringTide\Activities\Wispybloom\SpringTide_Wispybloom_Large_Green_Art_Temp.slice,,,,SpringTideWispyBloomGreenL,0.5,1.75,2.5,5,,,,,,,,0,,0,0,,,,,,Event_SpringtideBloom_Temp,,,
SpringTide_WispyBloom_Large_Purple,slices\Holiday\SpringTide\Activities\Wispybloom\SpringTide_Wispybloom_Large_Purple_Art_Temp.slice,,,,SpringTideWispyBloomPurpleL,0.5,1.75,2.5,5,,,,,,,,0,,0,0,,,,,,Event_SpringtideBloom_Temp,,,
SpringTide_WispyBloom_Large_Yellow,slices\Holiday\SpringTide\Activities\Wispybloom\SpringTide_Wispybloom_Large_Yellow_Art_Temp.slice,,,,SpringTideWispyBloomYellowL,0.5,1.75,2.5,5,,,,,,,,0,,0,0,,,,,,Event_SpringtideBloom_Temp,,,
Springtide_Glowmelon,slices\Holiday\SpringTide\Activities\Wispybloom\SpringTide_Wispybloom_Small_Green_Art_Temp.slice,,,,SpringtideGlowmelon,2,4,3,5,,,,,,,,0,,0,0,,,,,,Event_SpringtideBloom_Temp,,,
