VariantID,StartMesh,DepletedSFX,GatherableEntryID,GatheringRadius,InteractionX,InteractionY,InteractionZ,DetectableX,DetectableY,DetectableZ,DepletedVFX,DepletedMesh,StartMeshLOD,MarkerX,MarkerY,MarkerZ,StartMat,DepletedMat
OakFallenLog_a,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oakfallenlog_a.cgf,Play_Gather_Log_Med,TreeWithered,0,3,14,4,3,8,2,Gatherable.Log.Demolish.OakFallenLog_A,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oakfallenlog_frag_a.cgf,50,4.5,15.5,5.5,,
OakFallenLog_b,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oakfallenlog_b.cgf,Play_Gather_Log_Med,TreeWithered,0,3,8,4,1.5,4,1,Gatherable.Log.Demolish.OakFallenLog_B,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oakfallenlog_frag_b.cgf,50,4.5,9.5,5.5,,
OakFallenLog_c,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oakfallenlog_c.cgf,Play_Gather_Log_Med,TreeWithered,0,2,6,4,1,4,1,Gatherable.Log.Demolish.OakFallenLog_C,Objects\Nature\Veg_Trees\Trees_Forest\Oak\jav_fst_oakfallenlog_frag_c.cgf,50,3.5,7.5,5.5,,
PineTree_FallenLog_a,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pine_fallenlog_a.cgf,Play_Gather_Log_Med,TreeWithered,0,3,15,4,1,8,2,Gatherable.Log.Demolish.PineTree_Fallenlog_A,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pine_fallenlog_frag_a.cgf,50,4.5,16.5,5.5,,
PineTree_FallenLog_b,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pine_fallenlog_b.cgf,Play_Gather_Log_Med,TreeWithered,0,3,15.5,4,1,6.5,2,Gatherable.Log.Demolish.PineTree_Fallenlog_B,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pine_fallenlog_frag_a.cgf,50,4.5,17,5.5,,
PineTree_FallenLog_c,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pine_fallenlog_c.cgf,Play_Gather_Log_Med,TreeWithered,0,3,15.5,4,1,6.5,2,Gatherable.Log.Demolish.PineTree_Fallenlog_C,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pine_fallenlog_frag_b.cgf,50,4.5,17,5.5,,
PineTree_FallenLog_d,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pine_fallenlog_d.cgf,Play_Gather_Log_Med,TreeWithered,0,3,10,4,1,4.25,1,Gatherable.Log.Demolish.PineTree_Fallenlog_D,Objects\Nature\Veg_Trees\Trees_Forest\Pine\jav_fst_pine_fallenlog_frag_c.cgf,50,4.5,11.5,5.5,,
PoplarFallenLog_a,Objects\Nature\Veg_Trees\Trees_Forest\Poplar\jav_fst_poplarfallenlog_a.cgf,Play_Gather_Log_Med,TreeWithered,0,3,8,4,2,9,2,Gatherable.Log.Demolish.PoplarFallenlog_A,Objects\Nature\Veg_Trees\Trees_Forest\Poplar\jav_fst_poplarfallenlog_frag_a.cgf,50,4.5,9.5,5.5,,
PoplarFallenLog_b,Objects\Nature\Veg_Trees\Trees_Forest\Poplar\jav_fst_poplarfallenlog_b.cgf,Play_Gather_Log_Med,TreeWithered,0,3,8,4,3,7,2.5,Gatherable.Log.Demolish.PoplarFallenlog_B,Objects\Nature\Veg_Trees\Trees_Forest\Poplar\jav_fst_poplarfallenlog_frag_b.cgf,50,4.5,9.5,5.5,,
PoplarFallenLog_c,Objects\Nature\Veg_Trees\Trees_Forest\Poplar\jav_fst_poplarfallenlog_c.cgf,Play_Gather_Log_Med,TreeWithered,0,3,8,4,1.5,5.5,1,Gatherable.Log.Demolish.PoplarFallenlog_C,Objects\Nature\Veg_Trees\Trees_Forest\Poplar\jav_fst_poplarfallenlog_frag_c.cgf,50,4.5,9.5,5.5,,
RottenLog_a,Objects\Nature\Veg_Trees\Trees_Forest\Rotten\jav_fst_rottenlog_a.cgf,Play_Gather_Log_Med,TreeWithered,0,2,11,2,1,5.5,1,Gatherable.Log.Demolish.RottenLog_A,Objects\Nature\Veg_Trees\Trees_Forest\Rotten\jav_fst_rottenlog_frag_a.cgf,50,3.5,12.5,3.5,,
RottenLog_ab,Objects\Nature\Veg_Trees\Trees_Forest\Rotten\jav_fst_rottenlog_ab.cgf,Play_Gather_Log_Med,TreeWithered,0,2,6,2,1,3,1,Gatherable.Log.Demolish.RottenLog_AB,Objects\Nature\Veg_Trees\Trees_Forest\Rotten\jav_fst_rottenlog_frag_ab.cgf,50,3.5,7.5,3.5,,
RottenLog_b,Objects\Nature\Veg_Trees\Trees_Forest\Rotten\jav_fst_rottenlog_b.cgf,Play_Gather_Log_Med,TreeWithered,0,4,12,2,2,6,1,Gatherable.Log.Demolish.RottenLog_B,Objects\Nature\Veg_Trees\Trees_Forest\Rotten\jav_fst_rottenlog_frag_b.cgf,50,5.5,13.5,3.5,,
RottenLog_c,Objects\Nature\Veg_Trees\Trees_Forest\Rotten\jav_fst_rottenlog_c.cgf,Play_Gather_Log_Med,TreeWithered,0,2,8,2,1,4,1,Gatherable.Log.Demolish.RottenLog_C,Objects\Nature\Veg_Trees\Trees_Forest\Rotten\jav_fst_rottenlog_frag_c.cgf,50,3.5,9.5,3.5,,
RottenLog_d,Objects\Nature\Veg_Trees\Trees_Forest\Rotten\jav_fst_rottenlog_d.cgf,Play_Gather_Log_Med,TreeWithered,0,2,5,2,0.5,2.5,0.5,Gatherable.Log.Demolish.RottenLog_D,Objects\Nature\Veg_Trees\Trees_Forest\Rotten\jav_fst_rottenlog_frag_d.cgf,50,3.5,6.5,3.5,,
damnedtree_fallenlog_a,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_fallenlog_a.cgf,Play_Gather_Log_Med,TreeWithered,0,2,10,4,1,4,1,Gatherable.Log.Demolish.DamnedTree_Fallenlog_A,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_fallenlog_frag_a.cgf,50,3.5,11.5,5.5,,
