HouseItemID,ExcludeFromGame,PrefabPath,DEV-FurnitureSet,UIHousingCategory,HousingTag1 Placed,HousingTag2 Points,HousingTag3 Limiter,HousingTag5 Buffs,HousingTags,IsEntitlement,AttributionId,HowToOptain (Primarily),ItemRarity,ForceRarity,RankingPointsDuplicateLimit,RankingPointsNegativeLimit,PointModifier,RankingPoints,MaxPotentialPoints,HousingStatusEffect,StorageBonus,InteractionAnimationID,Name,Description,IconPath,HiResIconPath,Weight,TradingCategory,TradingFamily,TradingGroup,ItemType,UiItemClass,Tier,IsSalvageable,SalvageResources,IsRepairable,BindOnPickup,CraftingRecipe,RepairRecipe,SalvageRecipe,SalvageGameEventID,RepairDustModifier,ConfirmBeforeUse,ConsumeOnUse,MaxStackSize,DeathDropPercentage,ItemTypeDisplayName,Nonremovable,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,Notes
DEFAULTS,1,Housing/Items/Tests/HousingItemDefault,0-TEST_ONLY-0,,,,,,,,,,,0,1,2,0,0.02,0.02,,,,@DEFAULTS_MasterName,@DEFAULTS_Description,,,10,,,,HousingItem,UI_Furniture,1,false,false,false,true,,,,,0,false,false,1,0,,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Entitlement_WinterDragon2022_DragonPillar01,0,Housing/Items/MTX_Packs/WinterDragon2023/HousingItem_WinterDragon2023_DragonPillar01,MTX-Pack-16-NewYears-2023,Misc,OnFloor,#NAME?,,,OnFloor+IsLargeDecor,true,,MTX Shop/Gift,Rare,2,2,3,0,0.12,0.24,,,,@House_HousingItem_Entitlement_WinterDragon2022_DragonPillar01_MasterName,@House_HousingItem_Entitlement_WinterDragon2022_DragonPillar01_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_WinterDragon2022_DragonPillar01.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_WinterDragon2022_DragonPillar01.png,9,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,2,0,@ui_itemtypedescription_housingitem,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Entitlement_WinterDragon2023_DragonFireScreen01,0,Housing/Items/MTX_Packs/WinterDragon2023/HousingItem_WinterDragon2023_DragonFireScreen01,MTX-Pack-16-NewYears-2023,Misc,OnFloor,#NAME?,,,OnFloor+IsLargeDecor,true,,MTX Shop/Gift,Rare,2,2,3,0,0.12,0.24,,,,@House_HousingItem_Entitlement_WinterDragon2023_DragonFireScreen01_MasterName,@House_HousingItem_Entitlement_WinterDragon2023_DragonFireScreen01_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_WinterDragon2023_DragonFireScreen01.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_WinterDragon2023_DragonFireScreen01.png,9,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,2,0,@ui_itemtypedescription_housingitem,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Entitlement_WinterDragon2023_Gong01,0,Housing/Items/MTX_Packs/WinterDragon2023/HousingItem_WinterDragon2023_DragonGong01,MTX-Pack-16-NewYears-2023,Misc,OnFloor,#NAME?,,,OnFloor+IsLargeDecor,true,,MTX Shop/Gift,Rare,2,2,3,0,0.12,0.24,,,,@House_HousingItem_Entitlement_WinterDragon2023_Gong01_MasterName,@House_HousingItem_Entitlement_WinterDragon2023_Gong01_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Entitlement_WinterDragon2023_Gong01.png,lyshineui/images/icons/items_hires/House_HousingItem_Entitlement_WinterDragon2023_Gong01.png,9,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,2,0,@ui_itemtypedescription_housingitem,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Ent_OmensWinter2023_driftwoodbench01,0,Housing/Items/MTX_Packs/OmensofWinter2023/HousingItem_omensofwinter2023_driftwoodbench01,MTX-Pack-17-Omens-2023,Chairs,OnFloor,#NAME?,,,OnFloor+IsChairDining,true,,MTX Shop/Gift,Rare,2,4,8,0,0.11,0.44,,,HousingItemSitOnChair,@House_HousingItem_Ent_OmensWinter2023_driftwoodbench01_MasterName,@House_HousingItem_Ent_OmensWinter2023_driftwoodbench01_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Ent_OmensWinter2023_driftwoodbench01.png,lyshineui/images/icons/items_hires/House_HousingItem_Ent_OmensWinter2023_driftwoodbench01.png,7,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,4,0,@ui_itemtypedescription_housingitem,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Ent_OmensWinter2023_Rug,0,Housing/Items/MTX_Packs/OmensofWinter2023/HousingItem_omensofwinter2023_rug01,MTX-Pack-17-Omens-2023,Misc,OnFloor,#NAME?,,,OnFloor+IsRug,true,,MTX Shop/Gift,Rare,2,6,12,0,0.11,0.66,,,HousingItemLieOnRug,@House_HousingItem_Ent_OmensWinter2023_Rug_MasterName,@House_HousingItem_Ent_OmensWinter2023_Rug_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Ent_OmensWinter2023_Rug.png,lyshineui/images/icons/items_hires/House_HousingItem_Ent_OmensWinter2023_Rug.png,5,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,6,0,@ui_itemtypedescription_housingitem,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Pet_Entitlement_Wolf_Fire,0,Housing/Items/MTX_Packs/Firelight2023/HousingItem_Pet_Wolf_Fire,MTX-Pack-18-Firelight-2023,Pets,OnFloor,#NAME?,#NAME?,#NAME?,OnFloor+IsAnimal+LimiterAnimatedRigged+NoStacking,true,,MTX Shop/Gift,Rare,2,1,3,0,0.12,0.24,,,HousingItemPetWolf,@House_HousingItem_Pet_Entitlement_Wolf_Fire_MasterName,@House_HousingItem_Pet_Entitlement_Wolf_Fire_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Pet_Entitlement_Wolf_Fire.png,lyshineui/images/icons/items_hires/House_HousingItem_Pet_Entitlement_Wolf_Fire.png,9,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,2,0,@ui_itemtypedescription_housingitem,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Firelight_MTX_ShadowBox,0,Housing/Items/MTX_Packs/Firelight2023/HousingItem_Firelight2023_shadowbox01,MTX-Pack-18-Firelight-2023,Decorations,OnWall,#NAME?,,,OnWall+IsPainting,true,,MTX Shop/Gift,Rare,2,5,10,0,0.11,0.55,,,,@House_HousingItem_Firelight_MTX_ShadowBox_MasterName,@House_HousingItem_Firelight_MTX_ShadowBox_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Firelight_MTX_ShadowBox.png,lyshineui/images/icons/items_hires/House_HousingItem_Firelight_MTX_ShadowBox.png,6,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,5,0,@ui_itemtypedescription_housingitem,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Firelight_MTX_Lantern_Hanging,0,Housing/Items/MTX_Packs/Firelight2023/HousingItem_Firelight2023_hanginglantern01,MTX-Pack-18-Firelight-2023,Lighting,OnCeiling,#NAME?,#NAME?,,OnCeiling+IsLighting+LimiterLighting,true,,MTX Shop/Gift,Rare,2,4,8,0,0.11,0.44,,,,@House_HousingItem_Firelight_MTX_Lantern_Hanging_MasterName,@House_HousingItem_Firelight_MTX_Lantern_Hanging_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Firelight_MTX_Lantern_Hanging.png,lyshineui/images/icons/items_hires/House_HousingItem_Firelight_MTX_Lantern_Hanging.png,7,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,4,0,@ui_itemtypedescription_housingitem,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
House_HousingItem_Firelight_MTX_Lantern_Table,0,Housing/Items/MTX_Packs/Firelight2023/HousingItem_Firelight2023_tablelantern01,MTX-Pack-18-Firelight-2023,Lighting,OnFurniture,#NAME?,#NAME?,,OnFurniture+IsLighting+LimiterLighting,true,,MTX Shop/Gift,Rare,2,4,8,0,0.11,0.44,,,,@House_HousingItem_Firelight_MTX_Lantern_Table_MasterName,@House_HousingItem_Firelight_MTX_Lantern_Table_Description,lyshineui/images/icons/items/HousingItem/House_HousingItem_Firelight_MTX_Lantern_Table.png,lyshineui/images/icons/items_hires/House_HousingItem_Firelight_MTX_Lantern_Table.png,7,,,,HousingItem,UI_Furniture,3,false,false,false,true,,,,,0,false,false,4,0,@ui_itemtypedescription_housingitem,false,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,
