VariantID,StartMesh,StartMat,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,DepletedSFX,IdleSFX,AudioPreloadName,IdleVFX,DepletedVFX,DepletedMesh,DepletedMaterial,VegAreaClearRadius,StartMeshLOD,EndMeshLOD,ShowOnCompass,CompassIcon,TradeskillIconUnlockType,AcceptSnow,MarkerRadius,AllowGatheringInGameModes,AddonMesh,AddonMaterial
Boulder_lg_a,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_lg_a.cgf,,BoulderLarge,4,6.5,6,Play_Gather_Boulder_Lrg,,,,Gatherable_Mineral.Demolish.Boulder_lg_A,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_lg_frag_a.cgf,,4.5,100,100,,,,false,9.5,,,
Boulder_lg_b,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_lg_b.cgf,,BoulderLarge,3,4.5,4,Play_Gather_Boulder_Lrg,,,,Gatherable_Mineral.Demolish.Boulder_lg_B,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_lg_frag_b.cgf,,3.6,100,100,,,,false,7.5,,,
Boulder_lg_c,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_lg_c.cgf,,BoulderLarge,3,4.5,4,Play_Gather_Boulder_Lrg,,,,Gatherable_Mineral.Demolish.Boulder_lg_C,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_lg_frag_c.cgf,,3.2,100,100,,,,false,7.5,,,
Boulder_md_a,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_md_a.cgf,,BoulderMedium,1.75,4.5,3,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Boulder_md_A,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_md_frag_a.cgf,,3.1,100,100,,,,false,7.5,,,
Boulder_md_b,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_md_b.cgf,,BoulderMedium,1.35,3,2.5,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Boulder_md_B,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_md_frag_b.cgf,,2.4,100,100,,,,false,6,,,
Boulder_md_c,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_md_c.cgf,,BoulderMedium,1.35,3,2.5,Play_Gather_Boulder_Med,,,,Gatherable_Mineral.Demolish.Boulder_md_C,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_md_frag_c.cgf,,2.1,100,100,,,,false,6,,,
Boulder_sm_a,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_a.cgf,,BoulderSmall,0.95,2.5,1.5,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Boulder_sm_A,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_frag_a.cgf,,1.2,100,100,,,,false,5.5,,,
Boulder_sm_b,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_b.cgf,,BoulderSmall,0.65,2,1,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Boulder_sm_B,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_frag_b.cgf,,0.9,100,100,,,,false,5,,,
Boulder_sm_c,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_c.cgf,,BoulderSmall,0.85,2,1.5,Play_Gather_Boulder_Sml,,,,Gatherable_Mineral.Demolish.Boulder_sm_C,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_sm_frag_c.cgf,,1.5,100,100,,,,false,5,,,
Boulder_Desert_lg_a,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_lg_a.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Lg_A_mat.mtl,BoulderLarge,4,6.5,6,Play_Gather_Boulder_Lrg,,,,Gatherable_Mineral.Demolish.Boulder_lg_A,Objects\Nature\Rock_Boulders\Boulders_Forest\jav_fst_boulder_lg_frag_a.cgf,Objects\Nature\Rock_Boulders\Boulders_Desert\JAV_Fst_Boulder_Lg_A_mat.mtl,4.5,100,100,,,,false,9.5,,,
