VariantID,LootTableID,Name,BottomMesh,BottomMat,TopMesh,TopMat,TopMesh_TransformX,TopMesh_TransformY,TopMesh_TransformZ
ChestTrueSteel_L,POI_LootLarge,LargeChest,Objects\Crafting\Props\Storage\Lockboxes\ChestTrueSteel\JAV_PRP_ChestTrueSteel.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestTrueSteel\JAV_PRP_ChestTrueSteel_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestTrueSteel\JAV_PRP_ChestTrueSteel_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestTrueSteel\JAV_PRP_ChestTrueSteel_mat.mtl,,,
ChestSteel_L,POI_LootLarge,LargeChest,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\jav_prp_cheststeel_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestSteel\JAV_PRP_ChestSteel_mat.mtl,,,
ChestLog_S,POI_LootSmall,LargeChest,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\jav_prp_chestlog.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\JAV_PRP_ChestLog_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\jav_prp_chestlog_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\JAV_PRP_ChestLog_mat.mtl,,,
ChestIron_M,POI_LootMedium,LargeChest,Objects\Crafting\Props\Storage\Lockboxes\ChestIron\jav_prp_chestiron.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestIron\jav_prp_chestiron_glow_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestIron\jav_prp_chestiron_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestIron\jav_prp_chestiron_glow_mat.mtl,,,
Crate_M,POI_LootMedium,MediumCrate,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_glow_mat.mtl,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_trip.cgf,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_glow_mat.mtl,,,
Basket_S,POI_LootSmall,SmallBasket,Objects\Crafting\Props\Storage\Baskets\jav_prp_basket_c.cgf,Objects\Crafting\Props\Storage\Baskets\jav_prp_baskets_glow_mat.mtl,Objects\Crafting\Props\Storage\Baskets\jav_prp_basket_c_cover.cgf,Objects\Crafting\Props\Storage\Baskets\jav_prp_baskets_glow_mat.mtl,,,
ShopBarrel_M,POI_LootMedium,LargeChest,Objects\Crafting\Props\Storage\Barrels\Jav_prp_ShopBarrel_Closed_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,,,
Basket_B_S,POI_LootSmall,LargeChest,Objects\Crafting\Props\Storage\Baskets\JAV_PRP_Basket_B.cgf,Objects\Crafting\Props\Storage\Baskets\jav_prp_baskets_glow_mat.mtl,,,,,
Basket_C_S,POI_LootSmall,LargeChest,Objects\Crafting\Props\Storage\Baskets\JAV_PRP_Basket_C.cgf,Objects\Crafting\Props\Storage\Baskets\jav_prp_baskets_glow_mat.mtl,,,,,
Supply_Box_A_M,POI_LootMedium,LargeChest,Objects\Crafting\Props\Storage\Boxes\SupplyBox\jav_prp_supply_box_t1.cgf,objects\crafting\props\storage\boxes\supplybox\jav_prp_supply_box_mat.mtl,,,,,
Supply_Box_B_M,POI_LootMedium,LargeChest,Objects\Crafting\Props\Storage\Boxes\SupplyBox\JAV_Prp_Supply_Box_T1_B.cgf,objects\crafting\props\storage\boxes\supplybox\jav_prp_supply_box_b_mat.mtl,,,,,
Supply_Box_C_M,POI_LootMedium,LargeChest,Objects\Crafting\Props\Storage\Boxes\SupplyBox\jav_prp_supply_box_t2.cgf,objects\crafting\props\storage\boxes\supplybox\jav_prp_supply_box_mat.mtl,,,,,
ShopBucket_A_S,POI_LootSmall,LargeChest,Objects\Crafting\Props\Storage\Buckets\Jav_prp_ShopBucketT3_Asmbly_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,,,
ShopBucket_A_Stack_S,POI_LootSmall,LargeChest,Objects\Crafting\Props\Storage\Buckets\Jav_prp_ShopBucketT3_Stack_A.cgf,objects\crafting\props\shopwares\shoptools\jav_prp_shopbuckets_mat.mtl,,,,,
ClothPackage_A_M,POI_LootMedium,LargeChest,Objects\Crafting\Props\Storage\ClothPackage\JAV_PRP_ClothPackage_A.cgf,objects\crafting\props\storage\clothpackage\jav_prp_clothpackage_mat.mtl,,,,,
Crate_A_S,POI_LootSmall,LargeChest,Objects\Crafting\Props\Storage\Crates\OldCrate\crate_a_nod.cgf,objects\crafting\props\storage\crates\oldcrate\crate_a_mat.mtl,,,,,
Crate_B_S,POI_LootSmall,LargeChest,Objects\Crafting\Props\Storage\Crates\OldCrate\crate_b_nod.cgf,objects\crafting\props\storage\crates\oldcrate\crate_a_mat.mtl,,,,,
PaperParcels_C_S,POI_LootSmall,LargeChest,Objects\Crafting\Props\Storage\PaperParcels\JAV_PRP_PaperParcels_C.cgf,objects\crafting\props\storage\paperparcels\jav_prp_paperparcels_mat.mtl,,,,,
Farmland_A_S,POI_FarmlandSmall,,Objects\Crafting\Props\Shopwares\Cookery\jav_prp_fruit_box_empty.cgf,objects\crafting\props\shopwares\cookery\jav_prp_sw_tool_mat,Objects\Crafting\Props\Shopwares\Cookery\jav_prp_fruit_box_lid.cgf,objects\crafting\props\shopwares\cookery\jav_prp_sw_tool_mat,,,0.42
Farmland_A_M,POI_FarmlandMedium,,Objects\Crafting\Props\Storage\Baskets\jav_prp_basket_c.cgf,Objects\Crafting\Props\Storage\Baskets\jav_prp_baskets_mat.mtl,Objects\Crafting\Props\Storage\Baskets\jav_prp_basket_c_cover.cgf,Objects\Crafting\Props\Storage\Baskets\jav_prp_baskets_mat.mtl,,,0.81
Farmland_A_L,POI_FarmlandLarge,,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\jav_prp_chestlog.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\JAV_PRP_ChestLog_mat.mtl,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\jav_prp_chestlog_lid.cgf,Objects\Crafting\Props\Storage\Lockboxes\ChestLog\JAV_PRP_ChestLog_mat.mtl,,,0.001
Abandoned_A_S,POI_AbandonedSmall,,Objects\Crafting\Props\Storage\Crates\shopcrate\Jav_prp_ShopCrateb.cgf,Objects\Crafting\Props\Storage\Crates\shopcrate\jav_prp_shopcrate_mat.mtl,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_trip.cgf,Objects\Crafting\Props\Shopwares\TanningBolts\jav_prp_leatherbolt_mat.mtl,,,0.001
