ActivitiesTaskId,Task,Type,Description
ActivitiesS1Task1,Close1MajorBreach,Pve,@SeasonsActivities_Close1MajorBreach
ActivitiesS1Task2,Close1MinorBreaches,Pve,@SeasonsActivities_Close1MinorBreaches
ActivitiesS1Task3,Kill10Lost,Pve,@SeasonsActivities_Kill10Lost
ActivitiesS1Task4,Kill10AngryEarth,Pve,@SeasonsActivities_Kill10AngryEarth
ActivitiesS1Task5,Kill10Ancients,Pve,@SeasonsActivities_Kill10Ancients
ActivitiesS1Task6,Kill10Corrupted,Pve,@SeasonsActivities_Kill10Corrupted
ActivitiesS1Task7,Kill10Beasts,Pve,@SeasonsActivities_Kill10Beasts
ActivitiesS1Task8,Kill10EnemiesOneHanded,Pve,@SeasonsActivities_Kill10EnemiesOneHanded
ActivitiesS1Task9,Kill10EnemiesTwoHanded,Pve,@SeasonsActivities_Kill10EnemiesTwoHanded
ActivitiesS1Task10,Kill10EnemiesRanged,Pve,@SeasonsActivities_Kill10EnemiesRanged
ActivitiesS1Task11,Kill10EnemiesMagic,Pve,@SeasonsActivities_Kill10EnemiesMagic
ActivitiesS1Task12,Kill1Players,Pvp,@SeasonsActivities_Kill1Player
ActivitiesS1Task13,Capture1FactionControlPoint,Pvp,@SeasonsActivities_Capture1FactionControlPoint
ActivitiesS1Task14,ParticipateIn1Duels,Pvp,@SeasonsActivities_ParticipateIn3Duels
ActivitiesS1Task15,Gather5T5ResourceNodes,Gathering,@SeasonsActivities_Gather5T5Nodes
ActivitiesS1Task16,Skin10T5Animals,Gathering,@SeasonsActivities_Skin10T5Animals
ActivitiesS1Task17,Catch150lbsOfFish,Gathering,@SeasonsActivities_Catch150lbsFish
ActivitiesS1Task19,Complete2TownProjects,Gathering,@SeasonsActivities_Complete2TownProjects
ActivitiesS1Task20,Salvage5T5Items,Crafting,@SeasonsActivities_Salvage5T5Items
ActivitiesS1Task21,Complete2FactionMissions,Pve,@SeasonsActivities_Complete2FactionMissions
ActivitiesS1Task22,Refine50T5Resources,Crafting,@SeasonsActivities_Refine50T5Resources
ActivitiesS1Task23,CatchTreasureChest,Gathering,@SeasonsActivities_Catch1TreasureChest
ActivitiesS1Task24,Catch5RareFish,Gathering,@SeasonsActivities_Catch5RareFish
ActivitiesS1Task25,Craft5T5WeaponOrApparel,Crafting,@SeasonsActivities_Craft5T5WeaponOrApparel
ActivitiesS1Task26,Craft10T5Consumables,Crafting,@SeasonsActivities_Craft10T5Consumables
ActivitiesS1Task27,GetKillingBlowOnEnemyInOutpostRush,Pvp,@SeasonsActivities_KillingBlowOPR
ActivitiesS1Task28,Play1OutpostRush,Pvp,@SeasonsActivities_ParticipateIn1OPR
ActivitiesS1Task29,ParticipateIn3Arena3x3,Pvp,@SeasonsActivities_ParticipateIn3_3v3
ActivitiesS1Task30,DealOrHeal50000InArena3v3,Pvp,@SeasonsActivities_DealOrHeal100000In3v3
ActivitiesS1Task34,Complete1Expedition,Expedition,@SeasonsActivities_Complete1Expedition
ActivitiesS1Task37,Complete1MutatedExpedition,Expedition,@SeasonsActivities_Complete1MutatedExpedition
ActivitiesS1Task39,Earn100PvPXPFromPlayers,Pvp,@SeasonsActivities_Earn1000PvpXp
ActivitiesS1Task40,DefeatZygormat,Expedition,@SeasonsActivities_DefeatZygormat
